tick,time,barY,standRefY,heightDeficit,barVelY,barSpeed,barAngSpeed,lKnee,rKnee,maxKnee,lHip,rHip,maxHip,trunk,completionRegion,linStill,angStill,kneesQ,hipsQ,trunkQ,physicalLockout,state,sq,demand,drive01
118,1.180000,1.403096,1.403096,0.000000,0.009522,0.010298,0.031406,0.021407,0.023151,0.023151,0.012138,0.010289,0.012138,0.139477,1,1,1,1,1,1,1,SETUP,0.000000,0.242907,0.000000
119,1.190000,1.403126,1.403096,-0.000030,0.008998,0.009765,0.033168,0.021451,0.023192,0.023192,0.012099,0.010289,0.012099,0.139278,1,1,1,1,1,1,1,SETUP,0.000000,0.243114,0.000000
120,1.200000,1.403159,1.403096,-0.000063,0.009371,0.009985,0.034674,0.021306,0.023079,0.023079,0.012060,0.010289,0.012060,0.139098,1,1,1,1,1,1,1,SETUP,0.000000,0.243017,0.000000
121,1.210000,1.403191,1.403096,-0.000095,0.008639,0.009213,0.032641,0.021340,0.023130,0.023130,0.012020,0.010266,0.012020,0.138927,1,1,1,1,1,1,1,SETUP,0.000000,0.243098,0.000000
122,1.220000,1.403217,1.403096,-0.000121,0.008734,0.008735,0.066783,0.016830,0.018555,0.018555,0.016002,0.014353,0.016002,0.139203,1,1,1,1,1,1,1,DESCENT,0.003000,0.240515,0.000000
123,1.230000,1.403242,1.403096,-0.000146,0.008433,0.008503,0.089673,0.012992,0.014713,0.014713,0.019604,0.017967,0.019604,0.139812,1,1,1,1,1,1,1,DESCENT,0.006000,0.240750,0.000000
124,1.240000,1.403263,1.403096,-0.000167,0.008017,0.008066,0.091741,0.009790,0.011575,0.011575,0.022482,0.020819,0.022482,0.140438,1,1,1,1,1,1,1,DESCENT,0.009000,0.241048,0.000000
125,1.250000,1.403288,1.403096,-0.000192,0.008843,0.008890,0.095801,0.006974,0.008816,0.008816,0.024647,0.022934,0.024647,0.141016,1,1,1,1,1,1,1,DESCENT,0.012000,0.241078,0.000000
126,1.260000,1.403318,1.403096,-0.000222,0.008400,0.008469,0.081514,0.005074,0.006940,0.006940,0.026149,0.024453,0.026149,0.141507,1,1,1,1,1,1,1,DESCENT,0.015000,0.241379,0.000000
127,1.270000,1.403338,1.403096,-0.000242,0.008169,0.008266,0.079127,0.003719,0.005652,0.005652,0.027002,0.025306,0.027002,0.141894,1,1,1,1,1,1,1,DESCENT,0.018000,0.241461,0.000000
128,1.280000,1.403349,1.403096,-0.000253,0.006526,0.006681,0.071861,0.003010,0.005074,0.005074,0.027388,0.025727,0.027388,0.142201,1,1,1,1,1,1,1,DESCENT,0.021000,0.241683,0.000000
129,1.290000,1.403346,1.403096,-0.000250,0.005190,0.005407,0.058851,0.002847,0.004883,0.004883,0.027213,0.025587,0.027213,0.142414,1,1,1,1,1,1,1,DESCENT,0.024000,0.241636,0.000000
130,1.300000,1.403323,1.403096,-0.000227,0.003226,0.003662,0.049027,0.003521,0.005567,0.005567,0.026566,0.024984,0.026566,0.142514,1,1,1,1,1,1,1,DESCENT,0.027000,0.241778,0.000000
131,1.310000,1.403283,1.403096,-0.000187,0.001809,0.002794,0.043427,0.004528,0.006514,0.006514,0.025531,0.023991,0.025531,0.142531,1,1,1,1,1,1,1,DESCENT,0.030000,0.241776,0.000000
132,1.320000,1.403227,1.403096,-0.000131,-0.000001,0.002636,0.036709,0.006138,0.008112,0.008112,0.024110,0.022609,0.024110,0.142451,1,1,1,1,1,1,1,DESCENT,0.033000,0.241986,0.000000
133,1.330000,1.403165,1.403096,-0.000068,-0.000324,0.003036,0.033064,0.008082,0.010102,0.010102,0.022248,0.020762,0.022248,0.142281,1,1,1,1,1,1,1,DESCENT,0.036000,0.241941,0.000000
134,1.340000,1.403101,1.403096,-0.000005,-0.000656,0.003511,0.030697,0.010631,0.012639,0.012639,0.020049,0.018593,0.020049,0.142012,1,1,1,1,1,1,1,DESCENT,0.039000,0.242094,0.000000
135,1.350000,1.403044,1.403096,0.000053,0.000246,0.003698,0.030960,0.013319,0.015332,0.015332,0.017565,0.016136,0.017565,0.141665,1,1,1,1,1,1,1,DESCENT,0.042000,0.241977,0.000000
136,1.360000,1.402995,1.403096,0.000101,0.000818,0.004126,0.034811,0.016530,0.018580,0.018580,0.014778,0.013372,0.014778,0.141220,1,1,1,1,1,1,1,DESCENT,0.045000,0.242133,0.000000
137,1.370000,1.402948,1.403096,0.000148,0.001157,0.004613,0.041190,0.020097,0.022162,0.022162,0.011698,0.010358,0.011698,0.140663,1,1,1,1,1,1,1,DESCENT,0.048000,0.242228,0.000000
138,1.380000,1.402902,1.403096,0.000194,0.001036,0.005065,0.048379,0.023971,0.026058,0.026058,0.008457,0.007076,0.008457,0.140010,1,1,1,1,1,1,1,DESCENT,0.051000,0.242292,0.000000
139,1.390000,1.402863,1.403096,0.000233,0.001996,0.005740,0.055428,0.027999,0.030155,0.030155,0.004883,0.003521,0.004883,0.139261,1,1,1,1,1,1,1,DESCENT,0.054000,0.242211,0.000000
140,1.400000,1.402831,1.403096,0.000265,0.002383,0.006458,0.066229,0.032477,0.034665,0.034665,0.000977,0.000000,0.000977,0.138402,1,1,1,1,1,1,1,DESCENT,0.057000,0.242334,0.000000
141,1.410000,1.402803,1.403096,0.000293,0.003050,0.007301,0.075664,0.037129,0.039361,0.039361,-0.002762,-0.004026,0.004026,0.137432,1,1,1,1,1,1,1,DESCENT,0.060000,0.242318,0.000000
142,1.420000,1.402775,1.403096,0.000321,0.002726,0.007936,0.086250,0.042095,0.044384,0.044384,-0.006871,-0.008171,0.008171,0.136360,1,1,1,1,1,1,1,DESCENT,0.063000,0.242423,0.000000
