load_kg,tick,time_s,image,pelvis_y_m,trunk_pitch_rad,com_z_m,com_speed_mps,capture_margin_m,contacts,support,posture_error_deg,limit_proximity,guard_scale
25,0,0,"load-025kg-t0000.png",0.9816114,NaN,-0.0484493338,0,0,0,False,0,0,1
25,100,1,"load-025kg-t0100.png",0.977674067,0.145924687,-0.04660513,0.005462539,0.108353361,8,True,1.43583131,0.0176501572,0.912665248
25,250,2.5,"load-025kg-t0250.png",0.9777915,0.139182746,-0.0466558859,0.000658356468,0.107881784,8,True,1.37683654,0.0154802045,0.912665248
25,500,5,"load-025kg-t0500.png",0.9777863,0.139884934,-0.04690001,0.000254977844,0.107742824,8,True,1.38081,0.01553006,0.912665248
60,0,0,"load-060kg-t0000.png",0.9816114,NaN,-0.06300729,0,0,0,False,0,0,1
60,100,1,"load-060kg-t0100.png",0.966801,0.8785727,-0.07592879,0.180934682,0.05033329,8,True,23.656168,0.164707378,0
60,250,2.5,"load-060kg-t0250.png",0.9741768,0.7218601,-1.25115359,1.278121,-0.138754725,0,False,10.7118311,0.179280519,0.7022228
60,500,5,"load-060kg-t0500.png",0.10208641,1.579119,-1.90001178,0.003721188,-0.5352446,7,True,9.142037,0.159178436,0.7790481
300,0,0,"load-300kg-t0000.png",0.9816114,NaN,-0.09420292,0,0,0,False,0,0,1
300,100,1,"load-300kg-t0100.png",0.7257545,2.80969334,-0.331637949,1.42776132,-0.4854945,8,True,77.63774,1,0
300,250,2.5,"load-300kg-t0250.png",0.336869031,1.71329367,-0.7849429,0.602381766,-0.0860030651,0,False,4.574946,0.101650245,0.367170572
300,500,5,"load-300kg-t0500.png",0.104952469,1.07394075,-0.6100262,0.00292466115,-1.21941018,8,True,15.2007856,0.323079258,0.6153843
