tick,hip_actual_x_deg,hip_target_x_deg,hip_track_err_deg,hip_limit_prox,hip_demand,hip_solver_torque_nm,knee_actual_x_deg,knee_target_x_deg,thigh_self_contact_impulse,thigh_self_contact_partner,thigh_contact_count
0,0.00,-0.32,0.31,0.000,0.026,0.0,0.42,0.34,0.000,NONE,0
1,0.19,-0.64,0.84,0.004,0.048,0.0,0.15,0.68,0.000,NONE,0
2,0.38,-0.96,1.34,0.008,0.050,0.0,-0.09,1.03,0.000,NONE,0
3,0.52,-1.28,1.81,0.012,0.051,0.0,-0.28,1.37,0.000,NONE,0
4,0.63,-1.61,2.24,0.014,0.051,0.0,-0.45,1.72,0.000,NONE,0
5,0.71,-1.91,2.62,0.016,0.051,0.0,-0.56,2.07,0.000,NONE,0
6,0.75,-2.26,3.01,0.017,0.052,0.0,-0.64,2.42,0.000,NONE,0
7,0.76,-2.59,3.35,0.017,0.052,0.0,-0.70,2.78,0.000,NONE,0
8,0.74,-2.92,3.67,0.017,0.053,0.0,-0.70,3.14,0.000,NONE,0
9,0.71,-3.26,3.96,0.016,0.054,0.0,-0.67,3.49,0.000,NONE,0
10,0.65,-3.59,4.24,0.014,0.054,0.0,-0.62,3.86,0.000,NONE,0
11,0.57,-3.93,4.49,0.013,0.055,0.0,-0.53,4.22,0.000,NONE,0
12,0.46,-4.26,4.72,0.010,0.054,0.0,-0.42,4.58,0.000,NONE,0
13,0.34,-4.60,4.94,0.007,0.055,0.0,-0.28,4.95,0.000,NONE,0
14,0.19,-4.94,5.14,0.004,0.055,0.0,-0.13,5.32,0.000,NONE,0
15,0.00,-5.29,5.32,0.000,0.055,0.0,0.04,5.69,0.000,NONE,0
16,-0.14,-5.63,5.49,0.001,0.056,0.0,0.25,6.06,0.000,NONE,0
17,-0.32,-5.97,5.65,0.003,0.056,0.0,0.47,6.43,0.000,NONE,0
18,-0.52,-6.32,5.80,0.004,0.056,0.0,0.71,6.81,0.000,NONE,0
19,-0.74,-6.67,5.93,0.006,0.056,0.0,0.95,7.18,0.000,NONE,0
20,-0.96,-7.02,6.05,0.008,0.057,0.0,1.22,7.56,0.000,NONE,0
21,-1.20,-7.37,6.17,0.010,0.057,0.0,1.50,7.94,0.000,NONE,0
22,-1.44,-7.72,6.27,0.012,0.057,0.0,1.79,8.32,0.000,NONE,0
23,-1.70,-8.07,6.36,0.014,0.057,0.0,2.09,8.70,0.000,NONE,0
24,-1.97,-8.42,6.45,0.016,0.057,0.0,2.40,9.09,0.000,NONE,0
25,-2.24,-8.78,6.53,0.019,0.057,0.0,2.71,9.47,0.000,NONE,0
26,-2.53,-9.13,6.60,0.021,0.057,0.0,3.04,9.86,0.000,NONE,0
27,-2.82,-9.49,6.67,0.023,0.057,0.0,3.36,10.24,0.000,NONE,0
28,-3.11,-9.85,6.73,0.026,0.057,0.0,3.70,10.63,0.000,NONE,0
29,-3.42,-10.20,6.79,0.028,0.057,0.0,4.05,11.02,0.000,NONE,0
30,-3.73,-10.56,6.83,0.031,0.057,0.0,4.40,11.41,0.000,NONE,0
31,-4.04,-10.92,6.88,0.034,0.057,0.0,4.76,11.80,0.000,NONE,0
32,-4.37,-11.28,6.92,0.036,0.057,0.0,5.12,12.19,0.000,NONE,0
33,-4.70,-11.65,6.95,0.039,0.057,0.0,5.49,12.59,0.000,NONE,0
34,-5.03,-12.01,6.98,0.042,0.057,0.0,5.86,12.98,0.000,NONE,0
35,-5.37,-12.37,7.01,0.045,0.057,0.0,6.24,13.37,0.000,NONE,0
36,-5.71,-12.74,7.02,0.048,0.056,0.0,6.62,13.77,0.000,NONE,0
37,-6.06,-13.10,7.05,0.050,0.056,0.0,7.01,14.17,0.000,NONE,0
38,-6.41,-13.47,7.06,0.053,0.056,0.0,7.40,14.56,0.000,NONE,0
39,-6.77,-13.84,7.07,0.056,0.056,0.0,7.80,14.96,0.000,NONE,0
40,-7.13,-14.21,7.08,0.059,0.056,0.0,8.19,15.36,0.000,NONE,0
