tick,joint,actual_x_deg,applied_target_x_deg,nominal_x_deg,tracking_err_deg,command_offset_deg,reference_dev_deg,limit_proximity,demand,solver_torque_nm,max_force_nm
-60,left_foot,0.00,1.15,0.00,1.15,0.00,0.00,0.000,0.008,3.7,1710.0
-60,right_foot,0.00,1.15,0.00,1.15,0.00,0.00,0.000,0.008,3.2,1710.0
-60,left_shank,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,2.3,2052.0
-60,right_shank,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.3,2052.0
-60,left_thigh,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0,2052.0
-60,right_thigh,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0,2052.0
-60,abdomen,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0,1482.0
-60,thorax,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0,1482.0
-55,left_foot,-0.15,5.18,0.00,5.34,8.62,0.30,0.003,0.040,4.8,1710.0
-55,right_foot,-0.17,5.18,0.00,5.36,8.62,0.30,0.004,0.040,4.0,1710.0
-55,left_shank,-0.08,0.00,0.00,0.00,0.00,0.00,0.016,0.002,3.5,2052.0
-55,right_shank,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.2,2052.0
-55,left_thigh,-0.20,0.22,0.00,0.43,0.22,0.22,0.002,0.006,0.0,2052.0
-55,right_thigh,-0.27,0.22,0.00,0.49,0.22,0.28,0.002,0.008,0.0,2052.0
-55,abdomen,0.31,-0.10,0.00,0.42,0.00,0.32,0.007,0.002,0.1,1482.0
-55,thorax,0.18,-0.10,0.00,0.30,0.00,0.19,0.004,0.003,0.0,1482.0
-50,left_foot,-0.34,10.91,0.00,11.26,15.00,0.44,0.008,0.076,5.6,1710.0
-50,right_foot,-0.45,10.91,0.00,11.36,15.00,0.53,0.010,0.077,4.6,1710.0
-50,left_shank,-0.22,0.00,0.00,0.22,0.00,0.22,0.043,0.004,7.1,2052.0
-50,right_shank,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.003,2.0,2052.0
-50,left_thigh,-0.13,1.09,0.00,1.22,1.09,0.18,0.001,0.005,0.0,2052.0
-50,right_thigh,-0.27,1.09,0.00,1.36,1.09,0.28,0.002,0.006,0.0,2052.0
-50,abdomen,-0.13,-0.54,0.00,0.49,0.55,0.32,0.003,0.007,0.1,1482.0
-50,thorax,-0.37,-0.54,0.00,0.18,0.55,0.37,0.010,0.008,0.0,1482.0
-45,left_foot,-0.47,10.42,0.00,10.89,8.13,0.49,0.010,0.075,3.2,1710.0
-45,right_foot,-0.58,10.42,0.00,11.00,8.13,0.60,0.013,0.076,2.7,1710.0
-45,left_shank,-0.29,0.00,0.00,0.29,0.00,0.29,0.058,0.002,5.3,2052.0
-45,right_shank,-0.11,0.00,0.00,0.00,0.00,0.00,0.022,0.001,1.9,2052.0
-45,left_thigh,0.11,0.75,0.00,0.64,0.76,0.00,0.002,0.003,0.0,2052.0
-45,right_thigh,0.04,0.75,0.00,0.71,0.76,0.00,0.001,0.003,0.0,2052.0
-45,abdomen,-0.77,-0.38,0.00,0.53,0.38,0.87,0.022,0.016,0.0,1482.0
-45,thorax,-0.86,-0.38,0.00,0.48,0.38,0.86,0.025,0.013,0.0,1482.0
-40,left_foot,-0.81,6.98,0.00,7.79,7.56,0.82,0.018,0.056,3.4,1710.0
-40,right_foot,-0.90,6.98,0.00,7.88,7.56,0.91,0.020,0.056,2.8,1710.0
-40,left_shank,-0.11,0.00,0.00,0.00,0.00,0.00,0.022,0.002,5.8,2052.0
-40,right_shank,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.003,1.7,2052.0
-40,left_thigh,0.24,0.24,0.00,0.00,0.26,0.25,0.005,0.002,0.0,2052.0
-40,right_thigh,0.19,0.24,0.00,0.00,0.26,0.19,0.004,0.002,0.0,2052.0
-40,abdomen,-1.38,-0.12,0.00,1.32,0.00,1.45,0.039,0.022,0.1,1482.0
-40,thorax,-1.32,-0.12,0.00,1.20,0.00,1.32,0.038,0.019,0.0,1482.0
-35,left_foot,-0.85,7.55,0.00,8.41,5.27,0.86,0.019,0.056,2.8,1710.0
-35,right_foot,-0.97,7.55,0.00,8.53,5.27,0.98,0.022,0.057,2.2,1710.0
-35,left_shank,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.001,6.0,2052.0
-35,right_shank,0.14,0.00,0.00,0.00,0.00,0.00,0.001,0.001,1.8,2052.0
-35,left_thigh,0.30,0.00,0.00,0.31,0.00,0.31,0.007,0.004,0.0,2052.0
-35,right_thigh,0.25,0.00,0.00,0.27,0.00,0.26,0.006,0.004,0.0,2052.0
-35,abdomen,-1.83,0.00,0.00,1.89,0.00,1.90,0.052,0.024,0.1,1482.0
-35,thorax,-1.70,0.00,0.00,1.70,0.00,1.70,0.049,0.020,0.0,1482.0
-30,left_foot,-0.99,6.41,0.00,7.40,7.66,1.00,0.022,0.050,2.3,1710.0
-30,right_foot,-1.12,6.41,0.00,7.53,7.66,1.13,0.025,0.051,1.9,1710.0
-30,left_shank,0.16,0.00,0.00,0.16,0.00,0.16,0.001,0.003,5.4,2052.0
-30,right_shank,0.34,0.00,0.00,0.34,0.00,0.34,0.002,0.004,1.5,2052.0
-30,left_thigh,0.34,0.00,0.00,0.36,0.00,0.34,0.008,0.004,0.0,2052.0
-30,right_thigh,0.31,0.00,0.00,0.33,0.00,0.31,0.007,0.004,0.0,2052.0
-30,abdomen,-2.09,0.00,0.00,2.15,0.00,2.17,0.060,0.024,0.0,1482.0
-30,thorax,-1.88,0.00,0.00,1.88,0.00,1.88,0.054,0.020,0.0,1482.0
-25,left_foot,-0.93,6.50,0.00,7.43,5.35,0.94,0.021,0.048,2.1,1710.0
-25,right_foot,-1.09,6.50,0.00,7.59,5.35,1.10,0.024,0.049,1.6,1710.0
-25,left_shank,0.23,0.00,0.00,0.23,0.00,0.23,0.002,0.001,5.5,2052.0
-25,right_shank,0.44,0.00,0.00,0.44,0.00,0.44,0.003,0.002,1.4,2052.0
-25,left_thigh,0.35,0.00,0.00,0.36,0.00,0.35,0.008,0.004,0.0,2052.0
-25,right_thigh,0.30,0.00,0.00,0.33,0.00,0.31,0.007,0.004,0.0,2052.0
-25,abdomen,-2.26,0.00,0.00,2.33,0.00,2.34,0.065,0.023,0.0,1482.0
-25,thorax,-2.00,0.00,0.00,2.00,0.00,2.00,0.057,0.018,0.0,1482.0
-20,left_foot,-0.91,6.50,0.00,7.41,7.20,0.91,0.020,0.049,1.8,1710.0
-20,right_foot,-1.07,6.50,0.00,7.57,7.20,1.07,0.024,0.049,1.4,1710.0
-20,left_shank,0.29,0.00,0.00,0.29,0.00,0.29,0.002,0.002,5.1,2052.0
-20,right_shank,0.51,0.00,0.00,0.51,0.00,0.51,0.004,0.003,1.2,2052.0
-20,left_thigh,0.33,0.00,0.00,0.34,0.00,0.33,0.007,0.003,0.0,2052.0
-20,right_thigh,0.27,0.00,0.00,0.31,0.00,0.29,0.006,0.003,0.0,2052.0
-20,abdomen,-2.25,0.00,0.00,2.32,0.00,2.33,0.064,0.020,0.0,1482.0
-20,thorax,-1.97,0.00,0.00,1.97,0.00,1.97,0.056,0.017,0.0,1482.0
-15,left_foot,-0.82,7.19,0.00,8.01,8.33,0.83,0.018,0.052,1.8,1710.0
-15,right_foot,-0.99,7.19,0.00,8.17,8.33,0.99,0.022,0.053,1.3,1710.0
-15,left_shank,0.30,0.00,0.00,0.30,0.00,0.30,0.002,0.002,5.0,2052.0
-15,right_shank,0.53,0.00,0.00,0.53,0.00,0.53,0.004,0.003,1.0,2052.0
-15,left_thigh,0.28,0.00,0.00,0.29,0.00,0.28,0.006,0.003,0.0,2052.0
-15,right_thigh,0.20,0.00,0.00,0.23,0.00,0.21,0.004,0.002,0.0,2052.0
-15,abdomen,-2.17,0.00,0.00,2.24,0.00,2.25,0.062,0.018,0.0,1482.0
-15,thorax,-1.90,0.00,0.00,1.90,0.00,1.90,0.054,0.015,0.0,1482.0
-10,left_foot,-0.73,6.04,0.00,6.77,6.04,0.73,0.016,0.043,1.8,1710.0
-10,right_foot,-0.88,6.04,0.00,6.93,6.04,0.89,0.020,0.044,1.4,1710.0
-10,left_shank,0.27,0.00,0.00,0.27,0.00,0.27,0.002,0.001,4.8,2052.0
-10,right_shank,0.51,0.00,0.00,0.51,0.00,0.51,0.004,0.002,0.9,2052.0
-10,left_thigh,0.22,0.00,0.00,0.22,0.00,0.22,0.005,0.002,0.0,2052.0
-10,right_thigh,0.13,0.00,0.00,0.17,0.00,0.00,0.003,0.002,0.0,2052.0
-10,abdomen,-2.04,0.00,0.00,2.11,0.00,2.12,0.058,0.017,0.0,1482.0
-10,thorax,-1.79,0.00,0.00,1.79,0.00,1.79,0.051,0.013,0.0,1482.0
-5,left_foot,-0.65,7.86,0.00,8.51,9.00,0.65,0.014,0.055,2.0,1710.0
-5,right_foot,-0.80,7.86,0.00,8.66,9.00,0.80,0.018,0.056,1.4,1710.0
-5,left_shank,0.23,0.00,0.00,0.23,0.00,0.23,0.002,0.001,4.8,2052.0
-5,right_shank,0.48,0.00,0.00,0.48,0.00,0.48,0.003,0.002,0.9,2052.0
-5,left_thigh,0.15,0.00,0.00,0.00,0.00,0.00,0.003,0.002,0.0,2052.0
-5,right_thigh,0.06,0.00,0.00,0.00,0.00,0.00,0.001,0.002,0.0,2052.0
-5,abdomen,-1.90,0.00,0.00,1.97,0.00,1.98,0.054,0.015,0.0,1482.0
-5,thorax,-1.67,0.00,0.00,1.67,0.00,1.67,0.048,0.012,0.0,1482.0
0,left_foot,-0.55,6.71,-0.10,7.26,6.71,0.44,0.012,0.039,2.1,1710.0
0,right_foot,-0.70,6.71,-0.10,7.41,6.71,0.59,0.015,0.039,1.6,1710.0
0,left_shank,0.17,0.34,0.34,0.17,0.00,0.17,0.001,0.026,4.7,2052.0
0,right_shank,0.42,0.34,0.34,0.00,0.00,0.00,0.003,0.025,0.8,2052.0
0,left_thigh,0.08,-0.32,-0.32,0.41,0.00,0.40,0.002,0.027,0.0,2052.0
0,right_thigh,0.00,-0.32,-0.32,0.31,0.00,0.30,0.000,0.026,0.0,2052.0
0,abdomen,-1.76,0.00,0.00,1.88,0.00,1.88,0.050,0.019,0.0,1482.0
0,thorax,-1.56,0.06,0.06,1.63,0.00,1.63,0.045,0.019,0.0,1482.0
2,left_foot,-0.32,6.71,-0.32,7.04,6.71,0.00,0.007,0.032,2.4,1710.0
2,right_foot,-0.46,6.71,-0.32,7.18,6.71,0.00,0.010,0.032,1.8,1710.0
2,left_shank,-0.33,1.03,1.03,1.36,0.00,1.36,0.067,0.050,4.9,2052.0
2,right_shank,-0.09,1.03,1.03,1.11,0.00,1.11,0.018,0.049,0.9,2052.0
2,left_thigh,0.48,-0.96,-0.96,1.44,0.00,1.44,0.011,0.050,0.0,2052.0
2,right_thigh,0.38,-0.96,-0.96,1.34,0.00,1.34,0.008,0.050,0.0,2052.0
2,abdomen,-1.68,0.13,0.13,1.88,0.00,1.89,0.048,0.019,0.0,1482.0
2,thorax,-1.53,0.19,0.19,1.73,0.00,1.73,0.044,0.021,0.0,1482.0
4,left_foot,-0.19,6.06,-0.54,6.25,5.36,0.36,0.004,0.029,2.2,1710.0
4,right_foot,-0.33,6.06,-0.54,6.39,5.36,0.22,0.007,0.029,1.7,1710.0
4,left_shank,-0.70,1.72,1.72,2.42,0.00,2.42,0.140,0.052,4.6,2052.0
4,right_shank,-0.45,1.72,1.72,2.17,0.00,2.17,0.089,0.051,0.7,2052.0
4,left_thigh,0.74,-1.61,-1.61,2.35,0.00,2.35,0.017,0.052,0.0,2052.0
4,right_thigh,0.63,-1.61,-1.61,2.24,0.00,2.24,0.014,0.051,0.0,2052.0
4,abdomen,-1.66,0.22,0.22,1.95,0.00,1.95,0.047,0.021,0.0,1482.0
4,thorax,-1.55,0.33,0.33,1.88,0.00,1.88,0.044,0.024,0.0,1482.0
6,left_foot,-0.10,8.14,-0.77,8.24,9.39,0.67,0.002,0.044,2.4,1710.0
6,right_foot,-0.24,8.14,-0.77,8.38,9.39,0.53,0.005,0.044,1.8,1710.0
6,left_shank,-0.90,2.42,2.42,3.32,0.00,3.32,0.180,0.053,4.7,2052.0
6,right_shank,-0.64,2.42,2.42,3.06,0.00,3.06,0.128,0.052,0.9,2052.0
6,left_thigh,0.86,-2.26,-2.26,3.13,0.00,3.13,0.019,0.053,0.0,2052.0
6,right_thigh,0.75,-2.26,-2.26,3.01,0.00,3.01,0.017,0.052,0.0,2052.0
6,abdomen,-1.64,0.31,0.31,2.03,0.00,2.03,0.047,0.023,0.0,1482.0
6,thorax,-1.56,0.47,0.47,2.03,0.00,2.03,0.045,0.026,0.0,1482.0
8,left_foot,-0.04,6.59,-0.99,6.64,7.58,0.95,0.001,0.035,2.4,1710.0
8,right_foot,-0.19,6.59,-0.99,6.78,7.58,0.81,0.004,0.036,1.8,1710.0
8,left_shank,-0.96,3.14,3.14,4.10,0.00,4.10,0.192,0.053,4.9,2052.0
8,right_shank,-0.70,3.14,3.14,3.84,0.00,3.84,0.140,0.052,1.0,2052.0
8,left_thigh,0.86,-2.92,-2.92,3.78,0.00,3.78,0.019,0.053,0.0,2052.0
8,right_thigh,0.74,-2.92,-2.92,3.67,0.00,3.67,0.017,0.053,0.0,2052.0
8,abdomen,-1.64,0.41,0.41,2.12,0.00,2.12,0.047,0.024,0.0,1482.0
8,thorax,-1.57,0.61,0.61,2.19,0.00,2.19,0.045,0.027,0.0,1482.0
10,left_foot,-0.08,5.67,-1.23,5.75,5.64,1.15,0.002,0.031,2.4,1710.0
10,right_foot,-0.22,5.67,-1.23,5.89,5.64,1.01,0.005,0.032,1.8,1710.0
