tick,joint,actual_x_deg,applied_target_x_deg,nominal_x_deg,tracking_err_deg,command_offset_deg,reference_dev_deg,limit_proximity,demand,solver_torque_nm,max_force_nm
-60,left_foot,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,1.7,1710.0
-60,right_foot,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,1.0,1710.0
-60,left_shank,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,3.0,2052.0
-60,right_shank,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,11.0,2052.0
-60,left_thigh,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,1.5,2052.0
-60,right_thigh,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,2.2,2052.0
-60,abdomen,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,8.7,1482.0
-60,thorax,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.7,1482.0
-55,left_foot,-0.15,5.73,0.00,5.89,11.46,0.31,0.003,0.043,4.9,1710.0
-55,right_foot,-0.18,5.73,0.00,5.91,11.46,0.31,0.004,0.044,4.1,1710.0
-55,left_shank,-0.07,0.00,0.00,0.00,0.00,0.00,0.014,0.002,3.6,2052.0
-55,right_shank,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.2,2052.0
-55,left_thigh,-0.20,0.26,0.00,0.46,0.26,0.21,0.002,0.007,0.0,2052.0
-55,right_thigh,-0.27,0.26,0.00,0.52,0.26,0.27,0.002,0.008,0.0,2052.0
-55,abdomen,0.30,-0.13,0.00,0.44,0.00,0.31,0.007,0.003,0.1,1482.0
-55,thorax,0.18,-0.13,0.00,0.31,0.00,0.18,0.004,0.003,0.0,1482.0
-50,left_foot,-0.33,11.46,0.00,11.79,15.00,0.43,0.007,0.080,5.6,1710.0
-50,right_foot,-0.43,11.46,0.00,11.89,15.00,0.51,0.010,0.080,4.5,1710.0
-50,left_shank,-0.23,0.00,0.00,0.23,0.00,0.23,0.047,0.004,7.1,2052.0
-50,right_shank,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.003,2.0,2052.0
