tick,joint,actual_x_deg,applied_target_x_deg,nominal_x_deg,tracking_err_deg,command_offset_deg,reference_dev_deg,limit_proximity,demand,solver_torque_nm,max_force_nm
-60,left_foot,0.00,-1.15,0.00,1.15,0.00,0.00,0.000,0.006,38.1,2137.5
-60,right_foot,0.00,-1.15,0.00,1.15,0.00,0.00,0.000,0.006,22.7,2137.5
-60,left_shank,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,3.6,2565.0
-60,right_shank,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,5.4,2565.0
-60,left_thigh,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0,2565.0
-60,right_thigh,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0,2565.0
-60,abdomen,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0,1852.5
-60,thorax,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0,1852.5
-55,left_foot,-0.04,4.58,0.00,4.63,6.88,0.18,0.000,0.027,3.7,2137.5
-55,right_foot,0.00,4.58,0.00,4.58,6.88,0.00,0.000,0.027,3.0,2137.5
-55,left_shank,-0.20,0.00,0.00,0.20,0.00,0.20,0.040,0.003,2.7,2565.0
-55,right_shank,-0.11,0.00,0.00,0.00,0.00,0.00,0.022,0.002,0.4,2565.0
-55,left_thigh,-0.23,0.19,0.00,0.42,0.19,0.23,0.002,0.007,0.0,2565.0
-55,right_thigh,-0.36,0.19,0.00,0.56,0.19,0.36,0.003,0.009,0.0,2565.0
-55,abdomen,1.16,-0.10,0.00,1.26,0.00,1.16,0.026,0.012,0.0,1852.5
-55,thorax,1.00,-0.10,0.00,1.09,0.00,1.00,0.020,0.003,0.0,1852.5
-50,left_foot,-0.65,10.31,0.00,10.98,15.00,0.84,0.014,0.063,9.4,2137.5
-50,right_foot,-0.66,10.31,0.00,10.98,15.00,0.83,0.015,0.062,7.9,2137.5
-50,left_shank,-0.17,0.00,0.00,0.17,0.00,0.17,0.034,0.002,9.7,2565.0
-50,right_shank,0.15,0.00,0.00,0.00,0.00,0.00,0.001,0.001,3.5,2565.0
-50,left_thigh,-0.20,1.39,0.00,1.59,1.39,0.26,0.002,0.006,0.0,2565.0
-50,right_thigh,-0.52,1.39,0.00,1.92,1.39,0.54,0.004,0.008,0.1,2565.0
-50,abdomen,0.26,-0.69,0.00,1.02,0.69,0.45,0.006,0.013,0.3,1852.5
-50,thorax,-0.61,-0.69,0.00,0.00,0.69,0.62,0.017,0.026,0.0,1852.5
-45,left_foot,-1.11,13.75,0.00,14.87,12.71,1.20,0.025,0.085,4.1,2137.5
-45,right_foot,-1.12,13.75,0.00,14.87,12.71,1.16,0.025,0.083,3.9,2137.5
-45,left_shank,-0.25,0.00,0.00,0.25,0.00,0.25,0.050,0.004,7.0,2565.0
-45,right_shank,0.04,0.00,0.00,0.00,0.00,0.00,0.000,0.004,4.1,2565.0
-45,left_thigh,0.53,0.48,0.00,0.00,0.43,0.55,0.012,0.012,0.0,2565.0
-45,right_thigh,0.24,0.48,0.00,0.34,0.43,0.36,0.005,0.011,0.1,2565.0
