tick,sq,state,failure_reason,com_ap,com_vel_ap,capture_ap,sup_ap_min,sup_ap_max,cop_ap,has_cop,contacts,slip_mps,pelvis_y,trunk_pitch_deg,sad_attached,sad_sep_m,sad_force_n,sad_torque_nm,sad_dev_x_deg,sad_dev_y_deg,sad_dev_z_deg,bar_d_ap_m,bar_d_up_m,bar_d_lat_m,max_demand,max_demand_joint,max_torque_ratio,max_torque_joint,chain_demand,chain_demand_joint,chain_track_err_deg,chain_track_joint,chain_limit_prox,chain_limit_joint,chain_cmd_offset_deg,chain_cmd_joint,posture_err_rad,posture_worst_joint,max_omega,max_speed
0,0.0030,DESCENT,NONE,-0.0297,0.0003,-0.0296,-0.1547,0.1353,-0.0338,1,8,0.0017,0.9793,2.20,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.282,left_upper_arm,0.083,right_upper_arm,0.046,right_foot,8.31,right_foot,0.050,abdomen,7.72,left_foot,0.0325,abdomen,0.28,0.06
1,0.0060,DESCENT,NONE,-0.0297,0.0004,-0.0296,-0.1547,0.1353,-0.0315,1,8,0.0015,0.9794,2.18,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.282,left_upper_arm,0.084,right_upper_arm,0.048,left_thigh,7.98,right_foot,0.049,abdomen,7.64,left_foot,0.0328,abdomen,0.30,0.06
2,0.0090,DESCENT,NONE,-0.0297,-0.0010,-0.0300,-0.1547,0.1353,-0.0309,1,8,0.0026,0.9794,2.16,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.282,left_upper_arm,0.084,right_upper_arm,0.050,left_thigh,6.73,right_foot,0.064,left_shank,5.35,left_foot,0.0326,abdomen,0.28,0.06
3,0.0120,DESCENT,NONE,-0.0297,-0.0012,-0.0301,-0.1547,0.1353,-0.0355,1,8,0.0015,0.9795,2.15,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.283,left_upper_arm,0.084,right_upper_arm,0.052,left_thigh,7.60,right_foot,0.103,left_shank,7.64,left_foot,0.0330,abdomen,0.26,0.05
4,0.0150,DESCENT,NONE,-0.0297,-0.0001,-0.0297,-0.1547,0.1353,-0.0301,1,8,0.0011,0.9796,2.14,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.284,left_upper_arm,0.084,right_upper_arm,0.052,left_shank,6.38,right_foot,0.137,left_shank,5.35,left_foot,0.0336,abdomen,0.22,0.05
5,0.0180,DESCENT,NONE,-0.0297,0.0015,-0.0292,-0.1547,0.1353,-0.0351,1,8,0.0003,0.9796,2.14,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.285,left_upper_arm,0.084,right_upper_arm,0.052,left_thigh,7.26,right_foot,0.160,left_shank,7.64,left_foot,0.0420,left_shank,0.19,0.04
6,0.0210,DESCENT,NONE,-0.0297,0.0032,-0.0286,-0.1547,0.1353,-0.0295,1,8,0.0013,0.9797,2.14,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.285,left_upper_arm,0.084,right_upper_arm,0.053,left_thigh,8.37,right_foot,0.176,left_shank,9.48,left_foot,0.0501,left_shank,0.17,0.04
7,0.0240,DESCENT,NONE,-0.0296,0.0045,-0.0281,-0.1547,0.1353,-0.0221,1,8,0.0009,0.9797,2.15,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.286,left_upper_arm,0.084,right_upper_arm,0.054,left_shank,7.18,right_foot,0.187,left_shank,7.19,left_foot,0.0577,left_shank,0.14,0.03
8,0.0270,DESCENT,NONE,-0.0296,0.0048,-0.0280,-0.1547,0.1353,-0.0252,1,8,0.0007,0.9797,2.17,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.287,left_upper_arm,0.084,right_upper_arm,0.054,left_thigh,6.62,right_foot,0.189,left_shank,7.42,left_foot,0.0649,left_shank,0.11,0.03
9,0.0300,DESCENT,NONE,-0.0295,0.0046,-0.0280,-0.1547,0.1353,-0.0265,1,8,0.0007,0.9797,2.19,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.288,left_upper_arm,0.083,right_upper_arm,0.054,left_thigh,7.65,right_foot,0.181,left_shank,8.56,left_foot,0.0712,left_shank,0.08,0.03
10,0.0330,DESCENT,NONE,-0.0295,0.0044,-0.0280,-0.1547,0.1353,-0.0204,1,8,0.0008,0.9797,2.22,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.288,left_upper_arm,0.083,right_upper_arm,0.055,left_thigh,6.52,right_foot,0.172,left_shank,6.27,left_foot,0.0768,left_shank,0.10,0.02
11,0.0360,DESCENT,NONE,-0.0294,0.0038,-0.0282,-0.1547,0.1353,-0.0249,1,8,0.0014,0.9796,2.26,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.289,left_upper_arm,0.083,right_upper_arm,0.055,left_thigh,5.40,right_foot,0.154,left_shank,4.99,left_foot,0.0823,left_shank,0.13,0.02
12,0.0390,DESCENT,NONE,-0.0294,0.0032,-0.0284,-0.1547,0.1353,-0.0309,1,8,0.0009,0.9796,2.31,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.290,left_upper_arm,0.083,right_upper_arm,0.055,left_thigh,6.12,right_foot,0.128,left_shank,7.28,left_foot,0.0871,left_shank,0.15,0.03
13,0.0420,DESCENT,NONE,-0.0294,0.0030,-0.0284,-0.1547,0.1353,-0.0281,1,8,0.0011,0.9795,2.36,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.290,left_upper_arm,0.083,right_upper_arm,0.056,left_thigh,5.45,left_shank,0.100,left_shank,5.97,left_foot,0.0912,left_shank,0.18,0.04
14,0.0450,DESCENT,NONE,-0.0294,0.0030,-0.0284,-0.1547,0.1353,-0.0343,1,8,0.0005,0.9794,2.42,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.291,left_upper_arm,0.083,right_upper_arm,0.056,left_thigh,6.24,right_foot,0.066,left_shank,8.27,left_foot,0.0951,left_shank,0.20,0.05
15,0.0480,DESCENT,NONE,-0.0293,0.0032,-0.0283,-0.1547,0.1353,-0.0286,1,8,0.0008,0.9793,2.48,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.291,left_upper_arm,0.083,right_upper_arm,0.056,left_thigh,5.84,left_shank,0.047,abdomen,5.97,left_foot,0.0986,left_shank,0.23,0.05
