tick,sq,state,failure_reason,com_ap,com_vel_ap,capture_ap,sup_ap_min,sup_ap_max,cop_ap,has_cop,contacts,slip_mps,pelvis_y,trunk_pitch_deg,sad_attached,sad_sep_m,sad_force_n,sad_torque_nm,sad_dev_x_deg,sad_dev_y_deg,sad_dev_z_deg,bar_d_ap_m,bar_d_up_m,bar_d_lat_m,max_demand,max_demand_joint,max_torque_ratio,max_torque_joint,chain_demand,chain_demand_joint,chain_track_err_deg,chain_track_joint,chain_limit_prox,chain_limit_joint,chain_cmd_offset_deg,chain_cmd_joint,posture_err_rad,posture_worst_joint,max_omega,max_speed
0,0.0030,DESCENT,NONE,-0.0941,-0.2959,-0.1890,-0.1653,0.1299,-0.0077,1,8,0.0078,0.9353,-45.14,1,0.0517,2324.1,0.0,-0.44,-3.41,0.26,-0.0477,-0.0690,0.0497,1.181,left_hand,0.545,left_hand,0.136,abdomen,28.75,right_thigh,0.714,abdomen,8.47,left_foot,0.4636,abdomen,11.14,1.49
1,0.0060,DESCENT,NONE,-0.0972,-0.3115,-0.1971,-0.1653,0.1299,-0.0126,1,8,0.0075,0.9353,-45.43,1,0.0515,2041.7,0.0,-0.42,-3.40,0.27,-0.0475,-0.0688,0.0497,0.873,left_hand,0.527,left_hand,0.129,abdomen,27.75,right_thigh,0.714,abdomen,6.38,left_foot,0.4677,right_thigh,11.93,1.49
2,0.0090,DESCENT,NONE,-0.1005,-0.3273,-0.2054,-0.1653,0.1299,-0.0169,1,8,0.0071,0.9353,-45.69,1,0.0514,1867.4,0.0,-0.41,-3.38,0.28,-0.0475,-0.0686,0.0496,0.913,left_hand,0.436,left_hand,0.128,abdomen,27.39,right_thigh,0.712,abdomen,4.49,left_foot,0.4775,right_thigh,13.23,1.39
3,0.0120,DESCENT,NONE,-0.1039,-0.3408,-0.2131,-0.1653,0.1299,-0.0217,1,8,0.0087,0.9355,-45.89,1,0.0514,1798.5,0.0,-0.39,-3.31,0.28,-0.0476,-0.0684,0.0496,0.773,left_hand,0.370,left_hand,0.128,abdomen,27.93,right_thigh,0.711,abdomen,3.18,left_foot,0.4873,right_thigh,14.64,1.18
4,0.0150,DESCENT,NONE,-0.1074,-0.3526,-0.2204,-0.1653,0.1299,-0.0239,1,8,0.0091,0.9357,-46.08,1,0.0515,1873.4,0.0,-0.35,-3.22,0.29,-0.0477,-0.0683,0.0496,0.605,left_hand,0.345,left_hand,0.128,abdomen,28.39,right_thigh,0.709,abdomen,3.00,left_foot,0.4967,right_thigh,15.18,1.11
5,0.0180,DESCENT,NONE,-0.1111,-0.3635,-0.2274,-0.1653,0.1299,-0.0234,1,8,0.0086,0.9359,-46.24,1,0.0515,1941.9,0.0,-0.31,-3.12,0.29,-0.0478,-0.0682,0.0496,0.661,left_hand,0.358,left_hand,0.128,abdomen,28.80,right_thigh,0.707,abdomen,3.00,left_foot,0.5048,right_thigh,14.85,1.07
6,0.0210,DESCENT,NONE,-0.1148,-0.3740,-0.2345,-0.1653,0.1299,-0.0251,1,8,0.0105,0.9363,-46.39,1,0.0515,1960.1,0.0,-0.26,-3.00,0.27,-0.0479,-0.0681,0.0496,0.692,left_hand,0.373,left_hand,0.128,abdomen,29.17,right_thigh,0.706,abdomen,3.00,left_foot,0.5120,right_thigh,14.06,1.08
7,0.0240,DESCENT,NONE,-0.1187,-0.3843,-0.2416,-0.1653,0.1299,-0.0261,1,8,0.0095,0.9366,-46.52,1,0.0514,1934.4,0.0,-0.21,-2.90,0.25,-0.0480,-0.0680,0.0496,0.709,left_hand,0.392,left_hand,0.128,abdomen,29.49,right_thigh,0.704,abdomen,3.00,left_foot,0.5184,right_thigh,14.79,1.13
8,0.0270,DESCENT,NONE,-0.1226,-0.3947,-0.2489,-0.1653,0.1299,-0.0263,1,8,0.0106,0.9370,-46.59,1,0.0514,2019.9,0.0,-0.20,-2.71,0.23,-0.0483,-0.0680,0.0495,0.824,left_hand,0.399,left_hand,0.128,abdomen,29.75,right_thigh,0.703,abdomen,3.00,left_foot,0.5240,right_thigh,8.97,1.23
9,0.0300,DESCENT,NONE,-0.1267,-0.4058,-0.2565,-0.1653,0.1299,-0.0278,1,8,0.0081,0.9374,-46.71,1,0.0516,2430.1,0.0,-0.11,-2.47,0.15,-0.0482,-0.0680,0.0497,1.207,right_hand,0.438,left_hand,0.127,abdomen,29.98,right_thigh,0.701,abdomen,3.00,left_foot,0.5285,right_thigh,12.10,1.18
10,0.0330,DESCENT,NONE,-0.1308,-0.4167,-0.2641,-0.1653,0.1304,-0.0286,1,8,0.0118,0.9377,-46.76,1,0.0515,2183.6,0.0,-0.08,-2.27,0.11,-0.0482,-0.0679,0.0496,0.796,left_hand,0.580,left_hand,0.127,abdomen,30.21,right_thigh,0.699,abdomen,3.00,left_foot,0.5326,right_thigh,10.33,1.28
11,0.0360,DESCENT,NONE,-0.1351,-0.4279,-0.2720,-0.1653,0.1304,-0.0299,1,8,0.0098,0.9381,-46.78,1,0.0514,2002.0,0.0,-0.06,-2.11,0.07,-0.0484,-0.0678,0.0494,0.830,left_hand,0.510,left_hand,0.127,abdomen,30.39,right_thigh,0.697,abdomen,3.00,left_foot,0.5367,right_thigh,12.02,1.27
12,0.0390,DESCENT,NONE,-0.1395,-0.4391,-0.2799,-0.1653,0.1304,-0.0304,1,8,0.0145,0.9385,-46.74,1,0.0513,1882.3,0.0,-0.06,-1.92,0.04,-0.0487,-0.0678,0.0493,0.851,left_hand,0.438,left_hand,0.128,abdomen,30.49,right_thigh,0.696,abdomen,3.00,left_foot,0.5397,right_thigh,8.79,1.31
13,0.0420,DESCENT,NONE,-0.1440,-0.4503,-0.2880,-0.1653,0.1304,-0.0315,1,8,0.0091,0.9389,-46.71,1,0.0514,1848.1,0.0,0.00,-1.61,0.01,-0.0488,-0.0677,0.0493,0.979,right_hand,0.399,left_hand,0.128,abdomen,30.54,right_thigh,0.695,abdomen,3.00,left_foot,0.5416,right_thigh,9.99,1.25
14,0.0450,DESCENT,NONE,-0.1486,-0.4615,-0.2962,-0.1653,0.1304,-0.0323,1,8,0.0117,0.9392,-46.64,1,0.0513,1796.5,0.0,0.01,-1.36,0.03,-0.0489,-0.0676,0.0492,0.881,left_hand,0.419,left_hand,0.131,abdomen,31.50,right_thigh,0.694,abdomen,3.78,left_foot,0.5425,right_thigh,10.34,1.19
15,0.0480,DESCENT,NONE,-0.1533,-0.4729,-0.3046,-0.1653,0.1304,-0.0368,1,8,0.0167,0.9393,-46.55,1,0.0514,2142.4,0.0,0.04,-1.28,0.06,-0.0489,-0.0674,0.0494,0.990,left_hand,0.385,left_hand,0.137,abdomen,32.37,right_thigh,0.693,abdomen,5.48,left_foot,0.5437,right_thigh,6.84,1.17
16,0.0510,DESCENT,NONE,-0.1582,-0.4842,-0.3131,-0.1653,0.1304,-0.0422,1,8,0.0157,0.9393,-46.39,1,0.0513,1915.7,0.0,0.07,-1.07,0.12,-0.0488,-0.0672,0.0493,0.788,left_hand,0.498,left_hand,0.144,abdomen,33.12,right_thigh,0.695,abdomen,7.50,left_foot,0.5434,right_thigh,10.35,1.31
17,0.0540,DESCENT,NONE,-0.1631,-0.4958,-0.3218,-0.1653,0.1303,-0.0548,1,8,0.0169,0.9393,-46.22,1,0.0512,1866.3,0.0,0.06,-0.98,0.20,-0.0489,-0.0670,0.0493,0.918,left_hand,0.432,left_hand,0.147,abdomen,33.78,right_thigh,0.696,abdomen,9.64,left_foot,0.5409,right_thigh,10.65,1.26
18,0.0570,DESCENT,NONE,-0.1682,-0.5061,-0.3301,-0.1653,0.1303,-0.0644,1,8,0.0201,0.9393,-46.00,1,0.0512,1754.4,0.0,0.05,-0.89,0.27,-0.0491,-0.0667,0.0491,0.933,left_hand,0.436,left_hand,0.154,abdomen,34.43,right_thigh,0.699,abdomen,11.84,left_foot,0.5369,right_thigh,10.42,1.24
19,0.0600,DESCENT,NONE,-0.1734,-0.5162,-0.3386,-0.1653,0.1303,-0.0698,1,8,0.0202,0.9394,-45.76,1,0.0511,1651.7,0.0,0.04,-0.72,0.34,-0.0494,-0.0666,0.0490,0.849,left_hand,0.401,left_hand,0.157,abdomen,34.96,right_thigh,0.702,abdomen,14.07,left_foot,0.5327,right_thigh,8.43,1.23
20,0.0630,DESCENT,NONE,-0.1786,-0.5261,-0.3470,-0.1638,0.1303,-0.0766,1,8,0.0187,0.9394,-45.50,1,0.0511,1647.5,0.0,0.06,-0.41,0.39,-0.0497,-0.0665,0.0489,0.751,left_hand,0.378,left_hand,0.159,abdomen,35.46,right_thigh,0.706,abdomen,15.30,left_foot,0.5264,right_thigh,10.11,1.21
21,0.0660,DESCENT,NONE,-0.1840,-0.5358,-0.3555,-0.1638,0.1311,-0.0799,1,8,0.0180,0.9396,-45.23,1,0.0510,1568.0,0.0,0.07,-0.08,0.46,-0.0501,-0.0664,0.0488,0.838,left_hand,0.404,left_hand,0.159,abdomen,35.62,right_thigh,0.708,abdomen,15.30,left_foot,0.5198,right_thigh,11.16,1.20
22,0.0690,DESCENT,NONE,-0.1894,-0.5459,-0.3643,-0.1638,0.1311,-0.0848,1,8,0.0215,0.9398,-44.96,1,0.0511,1913.1,0.0,0.11,0.13,0.52,-0.0505,-0.0663,0.0488,1.010,left_hand,0.399,left_hand,0.160,abdomen,35.16,right_thigh,0.711,abdomen,15.30,left_foot,0.5130,right_thigh,7.11,1.22
23,0.0720,DESCENT,NONE,-0.1950,-0.5560,-0.3731,-0.1638,0.1311,-0.0896,1,8,0.0218,0.9401,-44.67,1,0.0511,1698.1,0.0,0.15,0.47,0.57,-0.0507,-0.0661,0.0486,0.716,left_hand,0.515,left_hand,0.161,abdomen,34.69,right_thigh,0.715,abdomen,15.30,left_foot,0.5054,right_thigh,9.59,1.24
24,0.0750,DESCENT,NONE,-0.2006,-0.5662,-0.3821,-0.1638,0.1311,-0.0955,1,8,0.0232,0.9403,-44.36,1,0.0510,1598.6,0.0,0.17,0.67,0.64,-0.0511,-0.0660,0.0485,0.875,left_hand,0.440,left_hand,0.161,abdomen,34.22,right_thigh,0.718,abdomen,15.30,left_foot,0.4974,right_thigh,11.01,1.26
25,0.0780,DESCENT,NONE,-0.2064,-0.5761,-0.3911,-0.1638,0.1311,-0.1012,1,8,0.0251,0.9406,-44.04,1,0.0510,1513.2,0.0,0.20,0.86,0.69,-0.0514,-0.0659,0.0483,1.007,left_hand,0.454,left_hand,0.161,abdomen,33.71,right_thigh,0.721,abdomen,15.30,left_foot,0.4897,right_thigh,10.80,1.30
26,0.0810,DESCENT,NONE,-0.2122,-0.5861,-0.4003,-0.1638,0.1311,-0.1081,1,8,0.0236,0.9409,-43.73,1,0.0509,1480.3,0.0,0.23,1.06,0.75,-0.0517,-0.0658,0.0482,0.930,left_hand,0.415,left_hand,0.156,abdomen,32.78,abdomen,0.725,abdomen,13.06,left_foot,0.4824,abdomen,8.69,1.32
27,0.0840,DESCENT,NONE,-0.2182,-0.5956,-0.4094,-0.1638,0.1311,-0.1132,1,8,0.0241,0.9413,-43.44,1,0.0510,1619.0,0.0,0.32,1.25,0.79,-0.0518,-0.0656,0.0482,0.817,left_hand,0.400,left_hand,0.151,abdomen,31.84,abdomen,0.728,abdomen,10.84,left_foot,0.4852,abdomen,10.24,1.34
28,0.0870,DESCENT,NONE,-0.2242,-0.6045,-0.4183,-0.1638,0.1311,-0.1123,1,8,0.0244,0.9418,-43.21,1,0.0510,1543.1,0.0,0.40,1.42,0.86,-0.0518,-0.0653,0.0483,0.917,left_hand,0.443,left_hand,0.143,abdomen,30.85,abdomen,0.729,abdomen,8.66,left_foot,0.4870,abdomen,11.18,1.37
29,0.0900,DESCENT,NONE,-0.2303,-0.6130,-0.4273,-0.1638,0.1311,-0.1116,1,8,0.0230,0.9423,-42.99,1,0.0510,1436.0,0.0,0.48,1.57,0.89,-0.0518,-0.0652,0.0483,0.964,left_hand,0.413,left_hand,0.138,abdomen,29.88,abdomen,0.729,abdomen,10.51,left_foot,0.4880,abdomen,8.60,1.42
30,0.0930,DESCENT,NONE,-0.2365,-0.6209,-0.4361,-0.1638,0.1311,-0.1159,1,8,0.0234,0.9428,-42.81,1,0.0510,1608.8,0.0,0.57,1.73,0.93,-0.0517,-0.0650,0.0484,0.813,left_hand,0.405,left_hand,0.132,abdomen,28.92,abdomen,0.730,abdomen,8.34,left_foot,0.4893,abdomen,10.91,1.45
