tick,hip_left_deg,hip_right_deg,physx_contact,physx_impulse,left_overlap,left_penetration_m,left_surface_gap_m,right_overlap,right_penetration_m,right_surface_gap_m,contact_offset_sum_m,hip_track_err_deg
0,0.08,0.00,0,0.000,0,0.00000,0.06986,0,0.00000,0.07177,0.0200,0.31
1,0.29,0.19,0,0.000,0,0.00000,0.06988,0,0.00000,0.07178,0.0200,0.84
2,0.48,0.38,0,0.000,0,0.00000,0.06991,0,0.00000,0.07181,0.0200,1.34
3,0.63,0.52,0,0.000,0,0.00000,0.06992,0,0.00000,0.07182,0.0200,1.81
4,0.74,0.63,0,0.000,0,0.00000,0.06994,0,0.00000,0.07184,0.0200,2.24
5,0.82,0.71,0,0.000,0,0.00000,0.06995,0,0.00000,0.07183,0.0200,2.62
6,0.86,0.75,0,0.000,0,0.00000,0.06994,0,0.00000,0.07182,0.0200,3.01
7,0.87,0.76,0,0.000,0,0.00000,0.06995,0,0.00000,0.07183,0.0200,3.35
8,0.86,0.74,0,0.000,0,0.00000,0.06995,0,0.00000,0.07183,0.0200,3.67
9,0.82,0.71,0,0.000,0,0.00000,0.06994,0,0.00000,0.07182,0.0200,3.96
10,0.75,0.65,0,0.000,0,0.00000,0.06994,0,0.00000,0.07182,0.0200,4.24
11,0.67,0.57,0,0.000,0,0.00000,0.06992,0,0.00000,0.07180,0.0200,4.49
12,0.56,0.46,0,0.000,0,0.00000,0.06992,0,0.00000,0.07179,0.0200,4.72
13,0.44,0.34,0,0.000,0,0.00000,0.06989,0,0.00000,0.07177,0.0200,4.94
14,0.29,0.19,0,0.000,0,0.00000,0.06988,0,0.00000,0.07176,0.0200,5.14
15,0.13,0.00,0,0.000,0,0.00000,0.06986,0,0.00000,0.07175,0.0200,5.32
16,0.00,0.14,0,0.000,0,0.00000,0.06984,0,0.00000,0.07173,0.0200,5.49
17,0.22,0.32,0,0.000,0,0.00000,0.06982,0,0.00000,0.07172,0.0200,5.65
18,0.43,0.52,0,0.000,0,0.00000,0.06979,0,0.00000,0.07169,0.0200,5.80
19,0.64,0.74,0,0.000,0,0.00000,0.06977,0,0.00000,0.07168,0.0200,5.93
20,0.87,0.96,0,0.000,0,0.00000,0.06974,0,0.00000,0.07165,0.0200,6.05
21,1.11,1.20,0,0.000,0,0.00000,0.06971,0,0.00000,0.07163,0.0200,6.17
22,1.35,1.44,0,0.000,0,0.00000,0.06967,0,0.00000,0.07159,0.0200,6.27
23,1.61,1.70,0,0.000,0,0.00000,0.06964,0,0.00000,0.07157,0.0200,6.36
24,1.88,1.97,0,0.000,0,0.00000,0.06959,0,0.00000,0.07153,0.0200,6.45
25,2.15,2.24,0,0.000,0,0.00000,0.06955,0,0.00000,0.07150,0.0200,6.53
26,2.44,2.53,0,0.000,0,0.00000,0.06950,0,0.00000,0.07145,0.0200,6.60
27,2.73,2.82,0,0.000,0,0.00000,0.06946,0,0.00000,0.07142,0.0200,6.67
28,3.02,3.11,0,0.000,0,0.00000,0.06940,0,0.00000,0.07137,0.0200,6.73
29,3.32,3.42,0,0.000,0,0.00000,0.06934,0,0.00000,0.07131,0.0200,6.79
30,3.64,3.73,0,0.000,0,0.00000,0.06928,0,0.00000,0.07126,0.0200,6.83
