phase_sq,hip_flexion_deg,trunk_flexion_deg,knee_flexion_deg,left_overlap,left_penetration_m,left_surface_gap_m,right_overlap,right_penetration_m,right_surface_gap_m,contact_within_offset
0.000,0.00,0.00,0.00,0,0.00000,0.06982,0,0.00000,0.07174,0
0.005,0.53,0.18,0.57,0,0.00000,0.06981,0,0.00000,0.07172,0
0.010,1.07,0.36,1.14,0,0.00000,0.06978,0,0.00000,0.07169,0
0.015,1.61,0.55,1.72,0,0.00000,0.06975,0,0.00000,0.07165,0
0.020,2.15,0.74,2.30,0,0.00000,0.06969,0,0.00000,0.07160,0
0.025,2.70,0.94,2.90,0,0.00000,0.06962,0,0.00000,0.07152,0
0.030,3.26,1.14,3.49,0,0.00000,0.06954,0,0.00000,0.07143,0
0.035,3.81,1.34,4.10,0,0.00000,0.06943,0,0.00000,0.07133,0
0.040,4.38,1.55,4.70,0,0.00000,0.06931,0,0.00000,0.07121,0
0.045,4.94,1.76,5.32,0,0.00000,0.06918,0,0.00000,0.07107,0
0.050,5.51,1.97,5.93,0,0.00000,0.06902,0,0.00000,0.07091,0
0.055,6.09,2.19,6.56,0,0.00000,0.06885,0,0.00000,0.07074,0
0.060,6.67,2.41,7.18,0,0.00000,0.06866,0,0.00000,0.07054,0
0.065,7.25,2.63,7.81,0,0.00000,0.06845,0,0.00000,0.07033,0
0.070,7.83,2.85,8.45,0,0.00000,0.06822,0,0.00000,0.07009,0
0.075,8.42,3.08,9.09,0,0.00000,0.06797,0,0.00000,0.06984,0
0.080,9.01,3.30,9.73,0,0.00000,0.06770,0,0.00000,0.06957,0
0.085,9.61,3.53,10.37,0,0.00000,0.06741,0,0.00000,0.06928,0
0.090,10.20,3.75,11.02,0,0.00000,0.06710,0,0.00000,0.06897,0
0.095,10.80,3.98,11.67,0,0.00000,0.06678,0,0.00000,0.06864,0
0.100,11.40,4.21,12.32,0,0.00000,0.06643,0,0.00000,0.06829,0
0.105,12.01,4.44,12.98,0,0.00000,0.06606,0,0.00000,0.06791,0
0.110,12.62,4.67,13.64,0,0.00000,0.06567,0,0.00000,0.06752,0
0.115,13.23,4.90,14.30,0,0.00000,0.06526,0,0.00000,0.06711,0
0.120,13.84,5.12,14.96,0,0.00000,0.06484,0,0.00000,0.06668,0
0.125,14.45,5.35,15.62,0,0.00000,0.06439,0,0.00000,0.06623,0
0.130,15.06,5.58,16.28,0,0.00000,0.06392,0,0.00000,0.06577,0
0.135,15.68,5.80,16.95,0,0.00000,0.06344,0,0.00000,0.06528,0
0.140,16.30,6.02,17.61,0,0.00000,0.06294,0,0.00000,0.06477,0
0.145,16.92,6.24,18.28,0,0.00000,0.06242,0,0.00000,0.06425,0
0.150,17.54,6.46,18.95,0,0.00000,0.06188,0,0.00000,0.06371,0
0.155,18.16,6.68,19.61,0,0.00000,0.06132,0,0.00000,0.06315,0
0.160,18.78,6.89,20.28,0,0.00000,0.06075,0,0.00000,0.06257,0
0.165,19.41,7.10,20.95,0,0.00000,0.06016,0,0.00000,0.06198,0
0.170,20.03,7.31,21.61,0,0.00000,0.05956,0,0.00000,0.06138,0
0.175,20.66,7.51,22.28,0,0.00000,0.05894,0,0.00000,0.06075,0
0.180,21.28,7.71,22.94,0,0.00000,0.05831,0,0.00000,0.06012,0
0.185,21.91,7.91,23.60,0,0.00000,0.05766,0,0.00000,0.05947,0
0.190,22.53,8.10,24.26,0,0.00000,0.05700,0,0.00000,0.05881,0
