load_kg,tick,sq,com_ap,com_height,com_vel_ap,com_acc_ap,com_acc_vert,h_x,hdot_x,total_mass,engine_cop_ap,lipm_cop_ap,vhip_cop_ap,full_cop_ap,lipm_residual,vhip_residual,full_residual,vertical_contribution,angular_contribution,capture_ap,support_min,support_max,contacts,guard_scale
0,5,0.0180,-0.02936,1.04692,0.00400,0.1335,-0.0739,0.1944,-13.598,100.00,-0.03484,-0.04361,-0.04371,-0.02975,-0.00877,-0.00888,0.00509,-0.00011,0.01397,-0.02910,-0.15472,0.13528,8,1.0000
0,10,0.0330,-0.02916,1.04698,0.00339,-0.0209,-0.4072,0.0682,2.158,100.00,-0.02359,-0.02693,-0.02684,-0.02913,-0.00334,-0.00325,-0.00554,0.00010,-0.00229,-0.02792,-0.15472,0.13528,8,0.8953
0,15,0.0480,-0.02903,1.04668,0.00249,-0.0017,-0.1087,0.1274,2.750,100.00,-0.03001,-0.02885,-0.02885,-0.03168,0.00116,0.00116,-0.00167,0.00000,-0.00283,-0.02818,-0.15472,0.13528,8,0.5801
0,20,0.0630,-0.02890,1.04627,0.00279,0.0033,-0.0555,0.2841,4.167,100.00,-0.03399,-0.02925,-0.02925,-0.03352,0.00473,0.00473,0.00046,0.00000,-0.00427,-0.02805,-0.15472,0.13528,8,0.3889
0,25,0.0780,-0.02875,1.04573,0.00270,-0.0247,-0.2023,0.5118,7.086,100.00,-0.02869,-0.02611,-0.02606,-0.03343,0.00258,0.00264,-0.00474,0.00006,-0.00738,-0.02777,-0.15472,0.13528,8,0.4666
0,30,0.0930,-0.02869,1.04501,0.00042,-0.0421,-0.2910,0.7697,6.892,100.00,-0.02601,-0.02421,-0.02407,-0.03131,0.00180,0.00194,-0.00530,0.00014,-0.00724,-0.02826,-0.15472,0.13528,8,0.6757
0,35,0.1080,-0.02872,1.04395,-0.00105,-0.0237,0.0485,0.9340,0.912,100.00,-0.03191,-0.02620,-0.02621,-0.02714,0.00571,0.00570,0.00478,-0.00001,-0.00092,-0.02890,-0.15472,0.13528,8,0.7734
0,40,0.1230,-0.02880,1.04258,-0.00187,-0.0123,-0.3047,1.0820,4.400,100.00,-0.02676,-0.02750,-0.02745,-0.03208,-0.00074,-0.00070,-0.00533,0.00004,-0.00463,-0.02927,-0.15472,0.13528,8,0.9928
0,45,0.1380,-0.02892,1.04085,-0.00239,-0.0068,-0.0302,1.1510,-0.453,100.00,-0.03193,-0.02820,-0.02820,-0.02774,0.00373,0.00373,0.00420,0.00000,0.00046,-0.02961,-0.15472,0.13528,8,1.0000
0,50,0.1530,-0.02904,1.03870,-0.00206,0.0107,-0.3028,1.2167,2.867,100.00,-0.02787,-0.03016,-0.03020,-0.03322,-0.00229,-0.00233,-0.00534,-0.00004,-0.00302,-0.02971,-0.15472,0.13528,8,1.0000
