phase,offset_deg,ankle_actual_deg,cop_ap,com_ap,support_min,support_max,contacts,settled
0.00,-3.0,0.428,-0.04568,-0.02860,-0.15472,0.13528,8,1
0.00,-2.0,0.367,-0.03843,-0.02875,-0.15472,0.13528,8,1
0.00,-1.0,0.293,-0.03157,-0.02896,-0.15472,0.13528,8,1
0.00,0.0,0.181,-0.01661,-0.02885,-0.15472,0.13528,8,1
0.00,1.0,0.319,-0.03358,-0.02900,-0.15472,0.13528,8,1
0.00,2.0,0.097,-0.01143,-0.02967,-0.15472,0.13528,8,1
0.00,3.0,0.177,-0.01979,-0.02944,-0.15472,0.13528,8,1
0.55,-3.0,26.092,-0.04526,-0.02746,-0.15472,0.13528,8,1
0.55,-2.0,26.010,-0.03815,-0.02761,-0.15472,0.13528,8,1
0.55,-1.0,25.939,-0.03144,-0.02785,-0.15472,0.13528,8,1
0.55,0.0,25.865,-0.02491,-0.02810,-0.15472,0.13528,8,1
0.55,1.0,25.786,-0.01856,-0.02850,-0.15472,0.13528,8,1
0.55,2.0,25.705,-0.01157,-0.02875,-0.15472,0.13528,8,1
0.55,3.0,25.638,-0.00453,-0.02894,-0.15472,0.13528,8,1
0.80,-3.0,46.217,0.13517,0.16455,-0.15466,0.13521,8,0
0.80,-2.0,46.215,0.13516,0.16401,-0.15465,0.13518,8,0
0.80,-1.0,46.217,0.13517,0.16469,-0.15466,0.13521,8,0
0.80,0.0,46.217,0.13517,0.16452,-0.15466,0.13521,8,0
0.80,1.0,46.216,0.13515,0.16441,-0.15465,0.13517,8,0
0.80,2.0,46.217,0.13515,0.16443,-0.15465,0.13517,8,0
0.80,3.0,46.218,0.13516,0.16503,-0.15465,0.13520,8,0
1.00,-3.0,47.878,0.13594,0.47647,0.10833,0.13691,8,0
1.00,-2.0,28.101,NaN,-1.20991,-1.20991,-1.20991,0,0
1.00,-1.0,47.868,0.13570,0.47736,0.10835,0.13698,8,0
1.00,0.0,27.061,NaN,-1.22477,-1.22477,-1.22477,0,0
1.00,1.0,47.868,0.13570,0.47736,0.10835,0.13698,8,0
1.00,2.0,25.983,NaN,-1.22613,-1.22613,-1.22613,0,0
1.00,3.0,47.868,0.13570,0.47736,0.10835,0.13698,8,0
