tick,sq,reference_trunk_JOINT_flexion_deg,actual_WORLD_trunk_pitch_deg,mixed_frame_difference_deg,actual_trunk_ang_vel_deg_s,abdomen_target_deg,abdomen_actual_deg,abdomen_error_deg,thorax_target_deg,thorax_actual_deg,thorax_error_deg,com_ap,guard_scale
0,0.0030,0.107,2.228,2.121,-2.20,0.000,-1.758,1.878,0.056,-1.560,1.626,-0.02938,1.0000
5,0.0180,0.665,2.173,1.508,0.02,0.253,-1.649,1.975,0.386,-1.558,1.945,-0.02942,1.0000
10,0.0330,1.261,2.259,0.998,3.05,0.505,-1.646,2.216,0.757,-1.571,2.329,-0.02923,0.8953
15,0.0480,1.889,2.523,0.635,6.66,0.756,-1.637,2.452,1.134,-1.512,2.647,-0.02907,0.5801
20,0.0630,2.541,2.958,0.417,10.03,1.016,-1.548,2.622,1.525,-1.353,2.877,-0.02895,0.3889
25,0.0780,3.211,3.559,0.349,13.30,1.284,-1.362,2.705,1.927,-1.091,3.018,-0.02880,0.4666
30,0.0930,3.892,4.323,0.431,16.40,1.557,-1.078,2.694,2.335,-0.736,3.072,-0.02870,0.6757
35,0.1080,4.577,5.220,0.643,18.86,1.830,-0.699,2.593,2.746,-0.299,3.046,-0.02870,0.7734
40,0.1230,5.260,6.209,0.950,20.34,2.103,-0.244,2.417,3.155,0.198,2.958,-0.02877,0.9928
45,0.1380,5.933,7.267,1.334,21.61,2.373,0.262,2.187,3.559,0.740,2.819,-0.02887,1.0000
50,0.1530,6.591,8.364,1.773,22.12,2.635,0.806,1.918,3.953,1.310,2.643,-0.02899,1.0000
55,0.1680,7.226,9.488,2.262,22.70,2.890,1.367,1.628,4.334,1.895,2.439,-0.02910,1.0000
60,0.1830,7.831,10.625,2.794,22.77,3.131,1.940,1.324,4.697,2.486,2.211,-0.02919,1.0000
65,0.1980,8.401,11.772,3.372,23.04,3.359,2.513,1.020,5.038,3.076,1.963,-0.02926,1.0000
70,0.2130,8.927,12.920,3.992,22.86,3.570,3.086,0.741,5.353,3.659,1.694,-0.02932,1.0000
75,0.2280,9.404,14.065,4.661,22.94,3.760,3.650,0.562,5.640,4.231,1.409,-0.02936,1.0000
80,0.2430,9.825,15.202,5.377,22.57,3.928,4.207,0.609,5.891,4.787,1.104,-0.02940,1.0000
85,0.2580,10.190,16.322,6.132,22.28,4.075,4.747,0.856,6.112,5.321,0.791,-0.02944,1.0000
90,0.2730,10.536,17.398,6.862,21.14,4.213,5.275,1.183,6.319,5.822,0.497,-0.02946,0.9208
95,0.2880,10.869,18.449,7.580,20.88,4.346,5.753,1.494,6.518,6.277,0.241,-0.02943,0.6514
100,0.3030,11.188,19.476,8.287,20.40,4.474,6.190,1.785,6.710,6.687,0.000,-0.02934,0.6106
105,0.3180,11.496,20.509,9.013,20.87,4.597,6.583,2.041,6.894,7.064,0.163,-0.02919,0.4725
110,0.3330,11.791,21.558,9.766,21.13,4.715,6.959,2.290,7.071,7.415,0.343,-0.02902,0.5320
115,0.3480,12.075,22.638,10.563,21.82,4.829,7.319,2.528,7.241,7.751,0.510,-0.02886,0.5055
120,0.3630,12.348,23.749,11.401,22.50,4.938,7.672,2.766,7.405,8.081,0.676,-0.02877,0.6605
125,0.3780,12.610,24.884,12.274,22.82,5.043,8.038,3.022,7.562,8.406,0.842,-0.02871,0.7484
130,0.3930,12.863,26.046,13.183,23.37,5.144,8.402,3.282,7.713,8.730,1.017,-0.02870,0.9353
135,0.4080,13.105,27.219,14.114,23.44,5.241,8.770,3.549,7.858,9.047,1.190,-0.02874,1.0000
140,0.4230,13.338,28.401,15.063,23.61,5.334,9.136,3.820,7.998,9.365,1.367,-0.02880,1.0000
145,0.4380,13.562,29.585,16.023,23.73,5.423,9.510,4.101,8.132,9.678,1.546,-0.02888,1.0000
150,0.4530,13.778,30.759,16.981,23.29,5.509,9.876,4.380,8.261,9.984,1.723,-0.02900,1.0000
155,0.4680,13.986,31.921,17.935,23.22,5.593,10.249,4.668,8.386,10.289,1.904,-0.02907,1.0000
160,0.4830,14.186,33.063,18.876,22.76,5.673,10.606,4.944,8.506,10.584,2.079,-0.02917,1.0000
165,0.4980,14.379,34.176,19.796,21.99,5.750,10.980,5.240,8.621,10.880,2.259,-0.02922,1.0000
170,0.5130,14.566,35.260,20.694,21.46,5.824,11.328,5.513,8.733,11.164,2.432,-0.02929,1.0000
175,0.5280,14.746,36.301,21.555,20.45,5.896,11.692,5.804,8.841,11.449,2.609,-0.02932,0.9270
180,0.5430,14.920,37.301,22.381,19.63,5.966,12.038,6.080,8.945,11.724,2.780,-0.02937,0.6819
185,0.5580,15.073,38.252,23.179,18.49,6.025,12.354,6.336,9.034,11.986,2.952,-0.02940,0.7792
190,0.5730,15.130,39.169,24.039,17.93,6.048,12.601,6.560,9.069,12.225,3.156,-0.02938,0.6442
195,0.5880,15.113,40.016,24.903,16.36,6.042,12.964,6.928,9.060,12.498,3.439,-0.02935,0.4932
200,0.6030,15.059,40.799,25.740,14.98,6.022,13.429,7.413,9.029,12.812,3.784,-0.02930,0.1720
205,0.6180,15.005,41.483,26.478,12.75,6.000,13.923,7.928,8.997,13.117,4.121,-0.02902,0.0421
210,0.6330,14.986,42.037,27.051,10.12,5.994,14.366,8.378,8.987,13.366,4.379,-0.02815,0.1447
215,0.6480,15.029,42.499,27.470,8.78,6.010,14.685,8.682,9.011,13.550,4.539,-0.02675,0.4168
220,0.6630,15.096,42.881,27.785,6.46,6.036,14.674,8.643,9.051,13.591,4.541,-0.02585,0.4915
225,0.6780,15.177,43.075,27.898,2.55,6.069,14.539,8.476,9.099,13.524,4.425,-0.02520,0.4766
230,0.6930,15.268,43.146,27.877,0.83,6.105,14.285,8.186,9.154,13.399,4.246,-0.02467,0.4578
235,0.7080,15.367,43.164,27.797,0.23,6.145,14.033,7.894,9.213,13.261,4.049,-0.02434,0.4346
240,0.7230,15.470,43.192,27.722,0.88,6.186,13.825,7.645,9.274,13.152,3.878,-0.02420,0.4058
245,0.7380,15.573,43.269,27.695,1.98,6.227,13.694,7.471,9.336,13.086,3.750,-0.02426,0.3725
250,0.7530,15.674,43.411,27.737,3.38,6.267,13.637,7.375,9.396,13.073,3.677,-0.02446,0.3345
255,0.7680,15.768,43.618,27.849,4.59,6.305,13.671,7.371,9.453,13.114,3.662,-0.02473,0.2932
260,0.7830,15.853,43.880,28.027,5.63,6.339,13.759,7.425,9.503,13.196,3.692,-0.02502,0.2491
265,0.7980,15.925,44.178,28.252,6.19,6.367,13.910,7.547,9.546,13.311,3.764,-0.02527,0.2035
270,0.8130,15.981,44.500,28.519,6.54,6.389,14.077,7.692,9.579,13.442,3.863,-0.02542,0.1575
