tick,sq,reference_world_trunk_pitch_deg,actual_world_trunk_pitch_deg,world_trunk_tracking_error_deg
0,0.0030,3.909,2.228,-1.681
5,0.0180,4.828,2.173,-2.655
10,0.0330,5.307,2.259,-3.048
15,0.0480,6.298,2.523,-3.775
20,0.0630,6.808,2.958,-3.850
25,0.0780,7.849,3.559,-4.290
30,0.0930,8.378,4.323,-4.055
35,0.1080,9.447,5.220,-4.227
40,0.1230,9.984,6.209,-3.775
45,0.1380,11.059,7.267,-3.792
50,0.1530,11.594,8.364,-3.230
55,0.1680,12.652,9.488,-3.164
60,0.1830,13.173,10.625,-2.548
65,0.1980,14.194,11.772,-2.422
70,0.2130,14.690,12.920,-1.770
75,0.2280,15.651,14.065,-1.586
80,0.2430,16.112,15.202,-0.910
85,0.2580,17.007,16.322,-0.685
90,0.2730,17.469,17.398,-0.071
95,0.2880,18.434,18.449,0.015
100,0.3030,18.934,19.476,0.542
105,0.3180,19.962,20.509,0.547
110,0.3330,20.487,21.558,1.071
115,0.3480,21.556,22.638,1.082
120,0.3630,22.096,23.749,1.653
125,0.3780,23.181,24.884,1.703
130,0.3930,23.724,26.046,2.322
135,0.4080,24.805,27.219,2.414
140,0.4230,25.339,28.401,3.062
145,0.4380,26.391,29.585,3.194
150,0.4530,26.906,30.759,3.853
155,0.4680,27.906,31.921,4.015
160,0.4830,28.390,33.063,4.673
165,0.4980,29.317,34.176,4.859
170,0.5130,29.758,35.260,5.502
175,0.5280,30.588,36.301,5.713
180,0.5430,30.976,37.301,6.325
185,0.5580,31.648,38.252,6.604
190,0.5730,31.866,39.169,7.303
195,0.5880,32.107,40.016,7.909
200,0.6030,32.166,40.799,8.633
205,0.6180,32.247,41.483,9.236
210,0.6330,32.305,42.037,9.732
215,0.6480,32.520,42.499,9.979
220,0.6630,32.652,42.881,10.229
225,0.6780,32.938,43.075,10.137
230,0.6930,33.090,43.146,10.056
235,0.7080,33.405,43.164,9.759
240,0.7230,33.565,43.192,9.627
245,0.7380,33.882,43.269,9.387
250,0.7530,34.037,43.411,9.374
255,0.7680,34.332,43.618,9.286
260,0.7830,34.469,43.880,9.411
265,0.7980,34.716,44.178,9.462
270,0.8130,34.824,44.500,9.676
275,0.8280,35.002,44.827,9.825
280,0.8430,35.082,45.156,10.074
285,0.8580,35.226,45.489,10.263
290,0.8730,35.293,45.820,10.527
295,0.8880,35.414,46.150,10.736
300,0.9030,35.471,46.511,11.040
305,0.9180,35.577,46.930,11.353
310,0.9330,35.628,47.424,11.796
315,0.9480,35.726,48.005,12.279
320,0.9630,35.774,48.683,12.909
325,0.9780,35.871,49.464,13.593
330,0.9930,35.921,50.353,14.432
335,1.0000,35.971,51.345,15.374
340,1.0000,35.971,52.401,16.430
345,1.0000,35.971,53.627,17.656
350,1.0000,35.971,55.078,19.107
355,1.0000,35.971,56.677,20.706
360,1.0000,35.971,58.189,22.218
365,0.9940,35.921,59.725,23.804
370,0.9790,35.871,61.158,25.287
375,0.9640,35.774,62.183,26.409
380,0.9490,35.726,63.670,27.944
385,0.9340,35.628,65.321,29.693
390,0.9190,35.577,66.908,31.331
395,0.9040,35.471,68.355,32.884
