hold_tick,com_ap,com_speed,support_min,support_max,cop_ap,contacts,pelvis_y,ankle_dorsiflexion_deg,ankle_proximity,trunk_incl_deg
0,1.2002,0.0441,1.2002,1.2002,NaN,0,0.2389,24.96,0.555,111.56
5,1.2025,0.0484,1.2025,1.2025,NaN,0,0.2450,25.74,0.572,112.43
10,1.2046,0.0362,1.2046,1.2046,NaN,0,0.2506,26.68,0.593,113.12
15,1.2057,0.0179,1.2057,1.2057,NaN,0,0.2551,26.79,0.595,113.62
20,1.2063,0.0092,1.2063,1.2063,NaN,0,0.2579,26.95,0.599,113.91
25,1.2067,0.0096,1.2067,1.2067,NaN,0,0.2590,27.12,0.603,114.03
30,1.2069,0.0051,1.2069,1.2069,NaN,0,0.2589,27.44,0.610,114.03
35,1.2069,0.0030,1.2069,1.2069,NaN,0,0.2586,27.62,0.614,114.02
40,1.2069,0.0029,1.2069,1.2069,NaN,0,0.2585,27.69,0.615,114.01
45,1.2070,0.0033,1.2070,1.2070,NaN,0,0.2585,27.74,0.616,114.01
50,1.2070,0.0031,1.2070,1.2070,NaN,0,0.2585,27.78,0.617,114.01
55,1.2070,0.0028,1.2070,1.2070,NaN,0,0.2584,27.81,0.618,114.01
60,1.2070,0.0027,1.2070,1.2070,NaN,0,0.2584,27.82,0.618,114.01
65,1.2070,0.0027,1.2070,1.2070,NaN,0,0.2584,27.83,0.618,114.01
70,1.2070,0.0026,1.2070,1.2070,NaN,0,0.2584,27.84,0.619,114.01
75,1.2070,0.0026,1.2070,1.2070,NaN,0,0.2584,27.84,0.619,114.01
80,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
85,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
90,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
95,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
100,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
105,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
110,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
115,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
120,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
125,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
130,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
135,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
140,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
145,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
150,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
155,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
160,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
165,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
170,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
175,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
180,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
185,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
190,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
195,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
200,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
205,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
210,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
215,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
220,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
225,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
230,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
235,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
240,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
245,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
249,1.2071,0.0000,1.2071,1.2071,NaN,0,0.2584,27.84,0.619,114.01
