phase,hold_tick,com_ap,com_ref_ap,com_ap_error,com_speed,desired_com_accel,cop_desired_unclamped,cop_desired,cop_measured,cop_error,raw_ankle_offset_deg,final_ankle_offset_deg,posture_guard_scale,posture_error_rad,posture_limit_proximity,limit_driver_joint,limit_driver_proximity,ankle_authority_fraction,ankle_saturated,hip_blend,hip_offset_deg,trunk_offset_deg,knee_prox,hip_prox,abdomen_prox,thorax_prox,ankle_prox,ankle_dorsiflexion_deg,knee_flexion_deg,chain_max_demand,support_min,support_max,contacts
0.55,0,-0.0294,-0.0318,0.0024,0.0008,-0.0459,-0.0256,-0.0256,-0.0331,-0.0076,8.479,4.092,0.6160,0.1092,0.6097,left_thigh,0.6104,0.3482,0,0.000,0.000,0.000,0.533,0.610,0.273,0.239,0.529,23.81,77.29,0.065,-0.1547,0.1353,8
0.55,5,-0.0294,-0.0318,0.0025,0.0029,-0.0718,-0.0234,-0.0234,-0.0291,-0.0056,6.289,4.536,0.7213,0.1105,0.6336,left_thigh,0.6346,0.3024,0,0.000,0.000,0.000,0.552,0.635,0.276,0.242,0.545,24.53,80.09,0.068,-0.1547,0.1353,8
0.55,10,-0.0293,-0.0318,0.0025,0.0020,-0.0536,-0.0250,-0.0250,-0.0324,-0.0074,8.279,2.363,0.2854,0.1197,0.6528,left_thigh,0.6525,0.1575,0,0.000,0.000,0.000,0.569,0.653,0.288,0.249,0.558,25.13,82.57,0.079,-0.1547,0.1353,8
0.55,15,-0.0292,-0.0318,0.0026,0.0035,-0.0927,-0.0218,-0.0218,-0.0437,-0.0218,24.479,2.886,0.1179,0.1314,0.6663,left_thigh,0.6648,0.1924,0,0.000,0.000,0.000,0.581,0.665,0.303,0.257,0.567,25.53,84.30,0.084,-0.1547,0.1353,8
0.55,20,-0.0288,-0.0318,0.0030,0.0154,-0.2458,-0.0094,-0.0094,-0.0584,-0.0490,54.965,2.394,0.0693,0.1411,0.6750,left_thigh,0.6725,0.2538,0,0.000,0.000,0.000,0.589,0.672,0.315,0.264,0.574,25.81,85.34,0.084,-0.1547,0.1353,8
0.55,25,-0.0274,-0.0318,0.0044,0.0315,-0.4656,0.0091,0.0091,-0.0218,-0.0309,34.672,9.632,0.2778,0.1481,0.6805,left_thigh,0.6776,0.6421,0,0.000,0.000,0.000,0.592,0.678,0.323,0.269,0.575,25.89,85.91,0.086,-0.1547,0.1353,8
0.55,30,-0.0262,-0.0318,0.0057,0.0196,-0.3485,0.0012,0.0012,-0.0087,-0.0099,11.068,6.129,0.5538,0.1517,0.6839,left_thigh,0.6806,0.4086,0,0.000,0.000,0.000,0.593,0.681,0.326,0.272,0.575,25.86,85.99,0.083,-0.1547,0.1353,8
0.55,35,-0.0254,-0.0318,0.0064,0.0133,-0.2863,-0.0030,-0.0030,-0.0131,-0.0101,11.300,6.202,0.5489,0.1521,0.6853,left_thigh,0.6818,0.4135,0,0.000,0.000,0.000,0.592,0.682,0.327,0.272,0.574,25.84,85.86,0.082,-0.1547,0.1353,8
0.55,40,-0.0249,-0.0318,0.0069,0.0098,-0.2549,-0.0049,-0.0049,-0.0114,-0.0065,7.278,5.274,0.5473,0.1511,0.6858,left_thigh,0.6822,0.2656,0,0.000,0.000,0.000,0.591,0.682,0.325,0.272,0.574,25.83,85.73,0.080,-0.1547,0.1353,8
0.55,45,-0.0245,-0.0318,0.0073,0.0057,-0.2137,-0.0078,-0.0078,-0.0195,-0.0117,13.101,6.170,0.5475,0.1492,0.6858,left_thigh,0.6821,0.4782,0,0.000,0.000,0.000,0.591,0.682,0.322,0.270,0.574,25.84,85.63,0.077,-0.1547,0.1353,8
