load_kg,guard_enabled,tick,sq,com_ap,com_speed,support_min,support_max,guard_scale,limit_prox,raw_ankle_deg,final_ankle_deg,ankle_prox,hip_prox,pelvis_y,trunk_incl_deg,contacts
0,1,0,0.0030,-0.0294,0.0037,-0.1547,0.1353,1.0000,0.0510,2.850,6.712,0.012,0.002,0.9793,2.23,8
0,1,10,0.0330,-0.0292,0.0060,-0.1547,0.1353,0.8953,0.1849,5.603,5.636,0.002,0.017,0.9797,2.26,8
0,1,20,0.0630,-0.0289,0.0047,-0.1547,0.1353,0.3889,0.0449,16.428,6.388,0.018,0.007,0.9789,2.96,8
0,1,30,0.0930,-0.0287,0.0026,-0.1547,0.1353,0.6757,0.0327,6.342,5.084,0.042,0.030,0.9774,4.32,8
0,1,40,0.1230,-0.0288,0.0016,-0.1547,0.1353,0.9928,0.0564,2.792,5.024,0.069,0.058,0.9746,6.21,8
0,1,50,0.1530,-0.0290,0.0028,-0.1547,0.1353,1.0000,0.0873,2.280,4.899,0.098,0.089,0.9704,8.36,8
0,1,60,0.1830,-0.0292,0.0040,-0.1547,0.1353,1.0000,0.1198,2.154,4.899,0.127,0.122,0.9647,10.63,8
0,1,70,0.2130,-0.0293,0.0054,-0.1547,0.1353,1.0000,0.1531,2.073,4.899,0.157,0.155,0.9574,12.92,8
0,1,80,0.2430,-0.0294,0.0067,-0.1547,0.1353,1.0000,0.1869,1.466,4.899,0.188,0.188,0.9486,15.20,8
0,1,90,0.2730,-0.0295,0.0077,-0.1547,0.1353,0.9208,0.2202,3.517,4.735,0.217,0.221,0.9388,17.40,8
0,1,100,0.3030,-0.0293,0.0085,-0.1547,0.1353,0.6106,0.2528,7.425,4.830,0.245,0.253,0.9280,19.48,8
0,1,110,0.3330,-0.0290,0.0086,-0.1547,0.1353,0.5320,0.2879,5.923,4.376,0.276,0.289,0.9151,21.56,8
0,1,120,0.3630,-0.0288,0.0072,-0.1547,0.1353,0.6605,0.3264,8.615,5.691,0.310,0.327,0.8996,23.75,8
0,1,130,0.3930,-0.0287,0.0060,-0.1547,0.1353,0.9353,0.3684,5.375,5.028,0.346,0.369,0.8811,26.05,8
0,1,140,0.4230,-0.0288,0.0051,-0.1547,0.1353,1.0000,0.4127,1.449,2.816,0.382,0.414,0.8598,28.40,8
0,1,150,0.4530,-0.0290,0.0040,-0.1547,0.1353,1.0000,0.4585,2.712,2.712,0.419,0.460,0.8359,30.76,8
0,1,160,0.4830,-0.0292,0.0026,-0.1547,0.1353,1.0000,0.5046,9.417,4.670,0.454,0.506,0.8100,33.06,8
0,1,170,0.5130,-0.0293,0.0012,-0.1547,0.1353,1.0000,0.5499,9.178,4.501,0.488,0.551,0.7830,35.26,8
0,1,180,0.5430,-0.0294,0.0006,-0.1547,0.1353,0.6819,0.5933,5.910,4.030,0.518,0.594,0.7557,37.30,8
0,1,190,0.5730,-0.0294,0.0017,-0.1547,0.1353,0.6442,0.6349,7.008,4.092,0.546,0.636,0.7280,39.17,8
0,1,200,0.6030,-0.0293,0.0027,-0.1547,0.1353,0.1720,0.6717,15.937,2.742,0.570,0.671,0.7021,40.80,8
