phase,com_ap_0kg,com_height_0kg,com_ap_25kg,com_height_25kg,reference_world_trunk_pitch_deg,bar_ap,thorax_ap,pelvis_ap
0.000,-0.03153,1.04958,-0.05369,1.12248,3.909,-0.14234,-0.01784,-0.04300
0.010,-0.03218,1.04929,-0.05411,1.12243,4.361,-0.14187,-0.01803,-0.04611
0.020,-0.03277,1.04890,-0.05447,1.12228,4.828,-0.14128,-0.01813,-0.04923
0.030,-0.03333,1.04841,-0.05478,1.12202,5.307,-0.14059,-0.01817,-0.05236
0.040,-0.03385,1.04780,-0.05504,1.12165,5.798,-0.13981,-0.01815,-0.05551
0.050,-0.03434,1.04708,-0.05526,1.12117,6.298,-0.13894,-0.01808,-0.05868
0.060,-0.03482,1.04623,-0.05545,1.12056,6.808,-0.13801,-0.01797,-0.06187
0.070,-0.03528,1.04527,-0.05562,1.11982,7.325,-0.13701,-0.01783,-0.06508
0.080,-0.03573,1.04418,-0.05578,1.11895,7.849,-0.13597,-0.01767,-0.06832
0.090,-0.03618,1.04296,-0.05592,1.11794,8.378,-0.13490,-0.01751,-0.07158
0.100,-0.03663,1.04161,-0.05607,1.11680,8.911,-0.13380,-0.01735,-0.07486
0.110,-0.03710,1.04014,-0.05622,1.11551,9.447,-0.13270,-0.01719,-0.07818
0.120,-0.03759,1.03853,-0.05639,1.11409,9.984,-0.13160,-0.01706,-0.08152
0.130,-0.03810,1.03680,-0.05658,1.11253,10.522,-0.13051,-0.01696,-0.08490
0.140,-0.03864,1.03494,-0.05680,1.11083,11.059,-0.12945,-0.01690,-0.08831
0.150,-0.03921,1.03295,-0.05706,1.10899,11.594,-0.12843,-0.01689,-0.09175
0.160,-0.03983,1.03084,-0.05736,1.10701,12.125,-0.12746,-0.01694,-0.09522
0.170,-0.04050,1.02861,-0.05771,1.10491,12.652,-0.12656,-0.01706,-0.09874
0.180,-0.04122,1.02627,-0.05813,1.10267,13.173,-0.12575,-0.01725,-0.10228
0.190,-0.04201,1.02381,-0.05861,1.10031,13.688,-0.12502,-0.01753,-0.10587
0.200,-0.04286,1.02126,-0.05917,1.09782,14.194,-0.12440,-0.01791,-0.10950
0.210,-0.04378,1.01860,-0.05981,1.09523,14.690,-0.12390,-0.01840,-0.11316
0.220,-0.04479,1.01585,-0.06054,1.09253,15.177,-0.12354,-0.01900,-0.11687
0.230,-0.04588,1.01301,-0.06137,1.08972,15.651,-0.12332,-0.01972,-0.12062
0.240,-0.04706,1.01010,-0.06230,1.08683,16.112,-0.12327,-0.02058,-0.12442
0.250,-0.04833,1.00711,-0.06335,1.08384,16.559,-0.12339,-0.02158,-0.12826
0.260,-0.04974,1.00396,-0.06452,1.08069,17.007,-0.12367,-0.02274,-0.13226
0.270,-0.05127,1.00055,-0.06583,1.07725,17.469,-0.12407,-0.02405,-0.13649
0.280,-0.05293,0.99687,-0.06726,1.07353,17.945,-0.12457,-0.02549,-0.14093
0.290,-0.05468,0.99291,-0.06878,1.06952,18.434,-0.12516,-0.02704,-0.14556
0.300,-0.05651,0.98869,-0.07038,1.06522,18.934,-0.12582,-0.02867,-0.15034
0.310,-0.05841,0.98419,-0.07204,1.06064,19.443,-0.12652,-0.03038,-0.15524
0.320,-0.06036,0.97943,-0.07374,1.05577,19.962,-0.12725,-0.03214,-0.16024
0.330,-0.06233,0.97440,-0.07547,1.05062,20.487,-0.12800,-0.03392,-0.16530
0.340,-0.06432,0.96911,-0.07720,1.04520,21.019,-0.12873,-0.03571,-0.17040
0.350,-0.06630,0.96357,-0.07893,1.03952,21.556,-0.12944,-0.03750,-0.17551
0.360,-0.06827,0.95779,-0.08064,1.03357,22.096,-0.13012,-0.03926,-0.18061
0.370,-0.07019,0.95179,-0.08230,1.02739,22.638,-0.13073,-0.04097,-0.18566
0.380,-0.07207,0.94558,-0.08391,1.02098,23.181,-0.13128,-0.04262,-0.19065
0.390,-0.07388,0.93917,-0.08546,1.01436,23.724,-0.13175,-0.04420,-0.19555
0.400,-0.07562,0.93259,-0.08692,1.00755,24.266,-0.13213,-0.04569,-0.20035
0.410,-0.07728,0.92585,-0.08830,1.00058,24.805,-0.13241,-0.04707,-0.20501
0.420,-0.07883,0.91898,-0.08958,0.99346,25.339,-0.13257,-0.04835,-0.20952
0.430,-0.08029,0.91201,-0.09075,0.98622,25.868,-0.13262,-0.04950,-0.21388
0.440,-0.08163,0.90495,-0.09181,0.97890,26.391,-0.13255,-0.05053,-0.21805
0.450,-0.08285,0.89784,-0.09276,0.97151,26.906,-0.13236,-0.05142,-0.22203
0.460,-0.08396,0.89070,-0.09358,0.96409,27.411,-0.13204,-0.05218,-0.22580
0.470,-0.08494,0.88358,-0.09427,0.95668,27.906,-0.13160,-0.05280,-0.22937
0.480,-0.08580,0.87649,-0.09484,0.94930,28.390,-0.13104,-0.05328,-0.23272
0.490,-0.08653,0.86948,-0.09529,0.94200,28.860,-0.13037,-0.05362,-0.23584
0.500,-0.08714,0.86257,-0.09562,0.93480,29.317,-0.12958,-0.05383,-0.23874
0.510,-0.08763,0.85579,-0.09584,0.92774,29.758,-0.12869,-0.05391,-0.24141
0.520,-0.08800,0.84920,-0.09594,0.92086,30.182,-0.12772,-0.05387,-0.24385
0.530,-0.08826,0.84281,-0.09594,0.91420,30.588,-0.12666,-0.05372,-0.24607
0.540,-0.08842,0.83667,-0.09584,0.90779,30.976,-0.12553,-0.05346,-0.24806
0.550,-0.08849,0.83081,-0.09566,0.90167,31.342,-0.12435,-0.05311,-0.24984
0.560,-0.08842,0.82595,-0.09538,0.89659,31.648,-0.12322,-0.05267,-0.25117
0.570,-0.08823,0.82256,-0.09504,0.89305,31.866,-0.12228,-0.05220,-0.25195
0.580,-0.08801,0.82030,-0.09471,0.89069,32.013,-0.12154,-0.05176,-0.25235
0.590,-0.08779,0.81883,-0.09444,0.88916,32.107,-0.12102,-0.05141,-0.25253
0.600,-0.08763,0.81779,-0.09425,0.88806,32.166,-0.12070,-0.05117,-0.25263
0.610,-0.08758,0.81680,-0.09418,0.88703,32.207,-0.12058,-0.05110,-0.25278
0.620,-0.08767,0.81552,-0.09426,0.88568,32.247,-0.12063,-0.05120,-0.25311
0.630,-0.08793,0.81356,-0.09451,0.88363,32.305,-0.12083,-0.05151,-0.25375
0.640,-0.08840,0.81055,-0.09495,0.88048,32.399,-0.12116,-0.05204,-0.25482
0.650,-0.08901,0.80667,-0.09552,0.87642,32.520,-0.12157,-0.05272,-0.25619
0.660,-0.08968,0.80236,-0.09614,0.87191,32.652,-0.12200,-0.05346,-0.25769
