GAM-11 PHASE 5H12 R1 REFERENCE SYSTEM COM TRAJECTORY
Derived from the accepted GAM-10 reference pose using the same segment
mass fractions and the same centre placement rule PhysicalAthleteRig uses
to build its bodies. No physical body is read.

REFERENCE_COM_AP_STANDING       0 kg = -0.03153 m    25 kg = -0.05369 m
REFERENCE_COM_AP_BOTTOM         0 kg = -0.09223 m    25 kg = -0.09704 m
BOTTOM_COM_AP_DELTA_FROM_STANDING 0 kg = -0.06069 m  25 kg = -0.04334 m
MAX_PHASE_COM_AP_DELTA          0 kg = 0.06484 m at s_q 0.83    25 kg = 0.04813 m at s_q 0.80

Along the production phase rate of 0.30 per second:
  REFERENCE_COM_AP_VELOCITY   max 0.0595 m/s     ACCELERATION max 0.1848 m/s^2
  REFERENCE_COM_VERT_VELOCITY max 0.2139 m/s     ACCELERATION max 1.3261 m/s^2

CURRENT_STANDING_COM_REFERENCE_ERROR_AT_BOTTOM = -0.06069 m unloaded, -0.04334 m at 25 kg.
That is the amount by which holding the standing relationship misplaces the
centre-of-mass setpoint at the bottom of the accepted reference squat.

phase   com_ap_0kg   com_ap_25kg   trunk_pitch_deg
 0.00     -0.03153      -0.05369              3.91
 0.05     -0.03434      -0.05526              6.30
 0.10     -0.03663      -0.05607              8.91
 0.15     -0.03921      -0.05706             11.59
 0.20     -0.04286      -0.05917             14.19
 0.25     -0.04833      -0.06335             16.56
 0.30     -0.05651      -0.07038             18.93
 0.35     -0.06630      -0.07893             21.56
 0.40     -0.07562      -0.08692             24.27
 0.45     -0.08285      -0.09276             26.91
 0.50     -0.08714      -0.09562             29.32
 0.55     -0.08849      -0.09566             31.34
 0.60     -0.08763      -0.09425             32.17
 0.65     -0.08901      -0.09552             32.52
 0.70     -0.09250      -0.09874             33.25
 0.75     -0.09522      -0.10111             34.04
 0.80     -0.09630      -0.10183             34.72
 0.85     -0.09635      -0.10165             35.16
 0.90     -0.09589      -0.10104             35.47
 0.95     -0.09455      -0.09956             35.73
 1.00     -0.09223      -0.09704             35.97
