load_kg,phase,hold_tick,posture_scale,limit_scale,posture_guard_scale,raw_ankle_deg,guarded_ankle_deg,applied_ankle_deg,raw_authority_fraction,guarded_authority_fraction,hip_blend_actual,hip_blend_from_raw,hip_offset_deg,trunk_offset_deg,posture_error_rad,posture_error_rate,limit_prox,limit_driver,com_ap,com_ref_ap,cop_desired,cop_measured,contacts
0,0.55,0,0.6160,0.8011,0.6160,8.479,5.223,4.092,0.5653,0.3482,0.0000,0.0000,0.000,0.000,0.10919,0.11883,0.6097,right_thigh,-0.0294,-0.0318,-0.0256,-0.0331,8
0,0.55,10,0.2854,0.6573,0.2854,8.279,2.363,2.363,0.5519,0.1575,0.0000,0.0000,0.000,0.000,0.11970,0.21031,0.6528,right_thigh,-0.0293,-0.0318,-0.0250,-0.0324,8
0,0.55,20,0.0693,0.5833,0.0693,54.965,3.807,2.394,3.6644,0.2538,0.0000,1.0000,0.000,0.000,0.14109,0.16244,0.6750,right_thigh,-0.0288,-0.0318,-0.0094,-0.0584,8
0,0.55,30,0.8105,0.5538,0.5538,11.068,6.129,6.129,0.7378,0.4086,0.0000,0.0000,0.000,0.000,0.15169,0.03307,0.6839,right_thigh,-0.0262,-0.0318,0.0012,-0.0087,8
0,0.55,40,1.0000,0.5473,0.5473,7.278,3.984,5.274,0.4852,0.2656,0.0000,0.0000,0.000,0.000,0.15109,-0.03345,0.6858,right_thigh,-0.0249,-0.0318,-0.0049,-0.0114,8
0,0.55,50,1.0000,0.5489,0.5489,4.434,2.434,3.878,0.2956,0.1623,0.0000,0.0000,0.000,0.000,0.14652,-0.05770,0.6853,right_thigh,-0.0244,-0.0318,-0.0099,-0.0138,8
0,0.55,60,1.0000,0.5523,0.5523,4.580,2.530,2.530,0.3054,0.1686,0.0000,0.0000,0.000,0.000,0.14163,-0.03315,0.6843,right_thigh,-0.0244,-0.0318,-0.0158,-0.0199,8
0,0.55,70,0.9846,0.5551,0.5551,1.830,1.016,2.530,0.1220,0.0677,0.0000,0.0000,0.000,0.000,0.14246,0.00268,0.6835,right_thigh,-0.0249,-0.0318,-0.0192,-0.0209,8
0,0.55,80,0.9857,0.5568,0.5568,3.243,1.806,2.096,0.2162,0.1204,0.0000,0.0000,0.000,0.000,0.14338,0.00250,0.6830,right_thigh,-0.0255,-0.0318,-0.0211,-0.0240,8
0,0.55,90,1.0000,0.5576,0.5576,2.142,1.194,2.096,0.1428,0.0796,0.0000,0.0000,0.000,0.000,0.14402,-0.00265,0.6827,right_thigh,-0.0261,-0.0318,-0.0225,-0.0244,8
0,0.55,100,1.0000,0.5579,0.5579,1.362,0.760,2.096,0.0908,0.0506,0.0000,0.0000,0.000,0.000,0.14429,-0.00512,0.6826,right_thigh,-0.0267,-0.0318,-0.0235,-0.0248,8
