load_kg,phase,joint,q_low_deg,q_high_deg,q_nominal_deg,q_gravity_deg,q_balance_deg,q_final_target_deg,q_actual_deg,nominal_margin_low,nominal_margin_high,final_margin_low,final_margin_high,actual_margin_low,actual_margin_high,correction_direction,prox_nominal,prox_final,prox_actual,correction_reduces_limit_margin,correction_margin_consumed_deg,unexpected_margin_consumed_deg,nominal_headroom_fraction
0,0.00,left_shank,-5.00,145.00,0.0000,0.0000,0.0000,0.0000,-0.0396,5.0000,145.0000,5.0000,145.0000,4.9604,145.0396,NONE,0.0000,0.0000,0.0079,0,0.0000,0.0396,1.0000
0,0.00,left_thigh,-120.00,45.00,0.0000,0.0000,0.0000,0.0000,-0.1371,120.0000,45.0000,120.0000,45.0000,119.8629,45.1371,NONE,0.0000,0.0000,0.0011,0,0.0000,0.1371,1.0000
0,0.00,abdomen,-35.00,45.00,0.0000,0.0000,0.0000,0.0000,-1.2449,35.0000,45.0000,35.0000,45.0000,33.7551,46.2449,NONE,0.0000,0.0000,0.0356,0,0.0000,1.2449,1.0000
0,0.00,thorax,-35.00,50.00,0.0000,0.0000,0.0000,0.0000,-1.1896,35.0000,50.0000,35.0000,50.0000,33.8104,51.1896,NONE,0.0000,0.0000,0.0340,0,0.0000,1.1896,1.0000
0,0.55,left_shank,-5.00,145.00,78.0000,0.0000,0.0000,78.0000,85.8167,83.0000,67.0000,83.0000,67.0000,90.8167,59.1833,NONE,0.5379,0.5379,0.5918,0,0.0000,7.8167,0.4621
0,0.55,left_thigh,-120.00,45.00,-77.0000,0.0000,0.0000,-77.0000,-81.5255,43.0000,122.0000,43.0000,122.0000,38.4745,126.5255,NONE,0.6417,0.6417,0.6794,0,0.0000,4.5255,0.3583
0,0.55,abdomen,-35.00,45.00,5.9978,0.0000,0.0000,5.9978,13.6709,40.9978,39.0022,40.9978,39.0022,48.6709,31.3291,NONE,0.1333,0.1333,0.3038,0,0.0000,7.6731,0.8667
0,0.55,thorax,-35.00,50.00,8.9931,0.0000,0.0000,8.9931,12.9901,43.9931,41.0069,43.9931,41.0069,47.9901,37.0099,NONE,0.1799,0.1799,0.2598,0,0.0000,3.9971,0.8201
0,0.80,left_shank,-5.00,145.00,98.2883,0.0000,0.0000,98.2883,105.6215,103.2883,46.7117,103.2883,46.7117,110.6215,39.3785,NONE,0.6779,0.6779,0.7284,0,0.0000,7.3332,0.3221
0,0.80,left_thigh,-120.00,45.00,-96.3934,0.0000,0.0000,-96.3934,-101.8742,23.6066,141.3934,23.6066,141.3934,18.1258,146.8742,NONE,0.8033,0.8033,0.8490,0,0.0000,5.4808,0.1967
0,0.80,abdomen,-35.00,45.00,6.3709,0.0000,0.0000,6.3709,15.9548,41.3709,38.6291,41.3709,38.6291,50.9548,29.0452,NONE,0.1416,0.1416,0.3546,0,0.0000,9.5839,0.8584
0,0.80,thorax,-35.00,50.00,9.5518,0.0000,0.0000,9.5518,14.4921,44.5518,40.4482,44.5518,40.4482,49.4921,35.5079,NONE,0.1910,0.1910,0.2898,0,0.0000,4.9403,0.8090
0,1.00,left_shank,-5.00,145.00,114.0000,0.0000,0.0000,114.0000,121.1129,119.0000,31.0000,119.0000,31.0000,126.1129,23.8871,NONE,0.7862,0.7862,0.8353,0,0.0000,7.1129,0.2138
0,1.00,left_thigh,-120.00,45.00,-111.0000,0.0000,0.0000,-111.0000,-115.9003,9.0000,156.0000,9.0000,156.0000,4.0997,160.9003,NONE,0.9250,0.9250,0.9658,0,0.0000,4.9003,0.0750
0,1.00,abdomen,-35.00,45.00,6.3975,0.0000,0.0000,6.3975,15.8268,41.3975,38.6025,41.3975,38.6025,50.8268,29.1732,NONE,0.1422,0.1422,0.3517,0,0.0000,9.4293,0.8578
