load_kg,tick,sq,com_ap,com_vel_ap,com_height,support_center,support_min,support_max,cop_measured,standing_com_ref,phase_com_ref,gain_standing,gain_phase,gain_extrapolated,m00_cop_desired,m00_ankle_deg,m00_exceeds,m10_cop_desired,m10_ankle_deg,m10_exceeds,m01_cop_desired,m01_ankle_deg,m01_exceeds,m11_cop_desired,m11_ankle_deg,m11_exceeds
0,4,0.0120,-0.02942,-0.00164,1.04666,-0.00972,-0.15472,0.13528,-0.03323,-0.03181,-0.03249,0.20446,0.26792,0,-0.02642,7.640,0,-0.02498,9.253,0,-0.02642,5.830,0,-0.02498,7.061,0
0,8,0.0240,-0.02936,0.00400,1.04692,-0.00972,-0.15472,0.13528,-0.02192,-0.03181,-0.03316,0.20446,0.27053,0,-0.01899,3.276,0,-0.01612,6.503,0,-0.01899,2.476,0,-0.01612,4.915,0
0,12,0.0360,-0.02919,0.00360,1.04703,-0.00972,-0.15472,0.13528,-0.02893,-0.03181,-0.03383,0.20446,0.27315,0,-0.01899,11.140,0,-0.01467,15.981,1,-0.01899,8.339,0,-0.01467,11.962,0
0,16,0.0480,-0.02907,0.00273,1.04681,-0.00972,-0.15472,0.13528,-0.03001,-0.03181,-0.03451,0.20446,0.27576,0,-0.01974,11.508,0,-0.01399,17.962,1,-0.01974,8.533,0,-0.01399,13.318,0
0,20,0.0600,-0.02898,0.00270,1.04651,-0.00972,-0.15472,0.13528,-0.02916,-0.03181,-0.03508,0.20446,0.27838,0,-0.01947,10.859,0,-0.01250,18.674,1,-0.01947,7.975,0,-0.01250,13.716,0
0,24,0.0720,-0.02887,0.00302,1.04616,-0.00972,-0.15472,0.13528,-0.03143,-0.03181,-0.03563,0.20446,0.28099,0,-0.01872,14.249,0,-0.01058,23.376,1,-0.01872,10.368,0,-0.01058,17.009,1
0,28,0.0840,-0.02875,0.00270,1.04573,-0.00972,-0.15472,0.13528,-0.02634,-0.03181,-0.03618,0.20446,0.28361,0,-0.01877,8.483,0,-0.00946,18.919,1,-0.01877,6.116,0,-0.00946,13.640,0
0,32,0.0960,-0.02869,0.00084,1.04519,-0.00972,-0.15472,0.13528,-0.03113,-0.03181,-0.03673,0.20446,0.28622,0,-0.02097,11.388,0,-0.01049,23.132,1,-0.02097,8.135,0,-0.01049,16.524,1
0,36,0.1080,-0.02870,-0.00062,1.04441,-0.00972,-0.15472,0.13528,-0.03191,-0.03181,-0.03732,0.20446,0.28884,0,-0.02287,10.134,0,-0.01113,23.292,1,-0.02287,7.174,0,-0.01113,16.488,1
0,40,0.1200,-0.02875,-0.00142,1.04345,-0.00972,-0.15472,0.13528,-0.03190,-0.03181,-0.03794,0.20446,0.29145,0,-0.02405,8.805,0,-0.01100,23.427,1,-0.02405,6.177,0,-0.01100,16.435,1
0,44,0.1320,-0.02882,-0.00204,1.04227,-0.00972,-0.15472,0.13528,-0.03185,-0.03181,-0.03856,0.20446,0.29407,0,-0.02508,7.589,0,-0.01073,23.669,1,-0.02508,5.276,0,-0.01073,16.457,1
0,48,0.1440,-0.02892,-0.00239,1.04085,-0.00972,-0.15472,0.13528,-0.03280,-0.03181,-0.03918,0.20446,0.29668,0,-0.02583,7.817,0,-0.01019,25.348,1,-0.02583,5.387,0,-0.01019,17.469,1
