load_kg,config,phase,guard_scale,limit_prox,unexpected_consumed,raw_ankle_deg,applied_ankle_deg,raw_authority,guarded_authority,hip_blend,com_ap,cop_desired,cop_measured,support_min,support_max,com_speed,contacts,held,reason
0,G0,0.55,0.6160,0.6097,0.1601,8.479,4.092,0.5653,0.3482,0.0000,-0.02939,-0.02555,-0.03312,-0.15472,0.13528,0.00078,8,1,HELD
0,G0,0.55,0.2778,0.6805,0.2174,34.672,9.632,2.3114,0.6421,0.0000,-0.02743,0.00915,-0.02179,-0.15472,0.13528,0.03151,8,1,HELD
0,G0,0.55,0.5489,0.6853,0.2151,4.434,3.878,0.2956,0.1623,0.0000,-0.02435,-0.00986,-0.01382,-0.15472,0.13528,0.00294,8,1,HELD
0,G0,0.55,0.5560,0.6832,0.2003,10.282,4.388,0.6855,0.3811,0.0000,-0.02522,-0.02065,-0.02982,-0.15472,0.13528,0.00666,8,1,HELD
0,G0,0.55,0.5579,0.6826,0.1970,1.362,2.096,0.0908,0.0506,0.0000,-0.02669,-0.02354,-0.02475,-0.15472,0.13528,0.00554,8,1,HELD
0,G0,0.55,0.5580,0.6826,0.1971,7.762,4.328,0.5175,0.2887,0.0000,-0.02782,-0.02471,-0.03163,-0.15472,0.13528,0.00338,8,1,HELD
0,G0,0.55,0.5582,0.6825,0.1967,1.005,1.995,0.0670,0.0374,0.0000,-0.02854,-0.02534,-0.02624,-0.15472,0.13528,0.00240,8,1,HELD
0,G0,0.55,0.5580,0.6826,0.1965,7.641,4.264,0.5094,0.2843,0.0000,-0.02900,-0.02569,-0.03251,-0.15472,0.13528,0.00148,8,1,HELD
0,G0,0.55,0.5582,0.6826,0.1963,0.882,1.958,0.0588,0.0328,0.0000,-0.02929,-0.02598,-0.02677,-0.15472,0.13528,0.00071,8,1,HELD
0,G0,0.55,0.5581,0.6826,0.1963,7.618,4.241,0.5078,0.2834,0.0000,-0.02947,-0.02606,-0.03285,-0.15472,0.13528,0.00058,8,1,HELD
0,G0,0.55,0.5582,0.6825,0.1963,7.591,4.238,0.5061,0.2825,0.0000,-0.02958,-0.02615,-0.03292,-0.15472,0.13528,0.00046,8,1,HELD
0,G0,0.80,0.1853,0.7944,0.1959,9.377,1.737,0.6252,0.1158,0.0000,-0.02532,-0.01901,-0.02738,-0.15472,0.13528,0.00568,8,1,HELD
0,G0,0.80,0.0143,0.8457,0.2338,78.978,1.132,5.2652,0.0755,0.0000,-0.02210,0.02825,-0.04221,-0.15472,0.13528,0.04742,8,1,HELD
0,G0,0.80,0.0073,0.8478,0.2263,135.691,0.994,9.0460,0.0662,0.0000,-0.00173,0.10528,-0.01577,-0.15472,0.13528,0.10717,8,1,HELD
0,G0,0.80,0.0055,0.8484,0.2292,110.036,0.601,7.3357,0.0401,0.0000,0.03034,0.10528,0.00711,-0.15472,0.13528,0.15363,8,1,HELD
0,G0,0.80,0.0000,0.8505,0.2400,67.986,0.000,4.5324,0.0000,0.0000,0.07912,0.10528,0.04463,-0.15472,0.13528,0.24031,8,1,HELD
0,G0,0.80,0.0000,0.8561,0.2685,-33.589,0.000,2.2393,0.0000,0.0000,0.15168,0.10536,0.13533,-0.15466,0.13536,0.31597,8,1,HELD
0,G0,0.80,0.0000,0.8574,0.2867,0.012,0.000,0.0008,0.0000,0.0000,0.25189,0.13460,0.13459,0.13423,0.13485,0.53239,4,1,HELD
0,G0,0.80,0.0261,0.8422,0.2320,-14.228,-0.371,0.9486,0.0247,0.0000,0.44962,0.12155,0.13424,0.09947,0.13626,1.08397,8,1,HELD
0,G0,0.80,0.1690,0.7993,0.1104,-4.653,-0.786,0.3102,0.0524,0.0000,0.75042,0.12718,0.12449,0.11104,0.13794,0.51444,6,0,COM_PAST_FRONT
0,G0,0.80,0.1942,0.7972,0.0161,-12.835,0.000,0.8556,0.1662,0.0000,0.77147,0.10913,0.10795,0.77147,0.77147,0.08852,0,0,LOST_PLANTAR_CONTACT
0,G0,0.80,0.1662,0.8001,0.0070,-17.457,-2.901,1.1638,0.1934,0.0000,0.77023,0.07952,0.07567,0.05646,0.09489,0.00838,5,0,COM_PAST_FRONT
