load_kg,config,tick,sq,com_ap,com_speed,support_min,support_max,guard_scale,limit_prox,unexpected_consumed,raw_ankle_deg,applied_ankle_deg,raw_authority,hip_blend,pelvis_y,contacts
0,G0,10,0.0300,-0.02927,0.00612,-0.15472,0.13528,0.9761,0.1917,0.1738,8.122,7.928,0.5415,0.0000,0.97972,8
0,G0,20,0.0600,-0.02898,0.00472,-0.15472,0.13528,0.4210,0.0455,0.0258,10.859,5.663,0.7239,0.0000,0.97901,8
0,G0,30,0.0900,-0.02871,0.00298,-0.15472,0.13528,0.6296,0.0344,0.0023,11.716,7.376,0.7811,0.0000,0.97762,8
0,G0,40,0.1200,-0.02875,0.00152,-0.15472,0.13528,0.8966,0.0534,0.0000,8.805,7.316,0.5870,0.0000,0.97499,8
0,G0,50,0.1500,-0.02897,0.00276,-0.15472,0.13528,1.0000,0.0841,0.0000,7.914,7.191,0.5276,0.0000,0.97092,8
0,G0,60,0.1800,-0.02917,0.00384,-0.15472,0.13528,1.0000,0.1165,0.0000,7.894,7.191,0.5262,0.0000,0.96533,8
0,G0,70,0.2100,-0.02931,0.00530,-0.15472,0.13528,1.0000,0.1498,0.0000,7.912,7.191,0.5275,0.0000,0.95818,8
0,G0,80,0.2400,-0.02939,0.00662,-0.15472,0.13528,1.0000,0.1835,0.0030,7.449,7.191,0.4966,0.0000,0.94956,8
0,G0,90,0.2700,-0.02946,0.00759,-0.15472,0.13528,0.9196,0.2170,0.0223,9.004,7.027,0.6003,0.0000,0.93981,8
0,G0,100,0.3000,-0.02937,0.00837,-0.15472,0.13528,0.5856,0.2495,0.0393,14.224,7.122,0.9483,0.0000,0.92915,8
0,G0,110,0.3300,-0.02905,0.00865,-0.15472,0.13528,0.5062,0.2842,0.0531,13.505,6.668,0.9003,0.0000,0.91653,8
0,G0,120,0.3600,-0.02878,0.00737,-0.15472,0.13528,0.6373,0.3224,0.0658,8.153,5.196,0.5435,0.0000,0.90127,8
0,G0,130,0.3900,-0.02869,0.00611,-0.15472,0.13528,0.8629,0.3640,0.0790,0.298,3.574,0.0199,0.0000,0.88310,8
