load_kg,tick,sq,left_heel_clearance,left_toe_clearance,right_heel_clearance,right_toe_clearance,left_foot_pitch,right_foot_pitch,posterior_impulse,anterior_impulse,total_impulse,posterior_fraction,posterior_contact_ap,anterior_contact_ap,contacts,max_per_foot_contacts,support_min,support_max,support_length,cop_ap,cop_fraction,has_cop,raw_ankle_deg,applied_ankle_deg,ankle_nominal_deg,ankle_balance_deg,ankle_final_deg,ankle_actual_deg,com_ap,com_ref_ap,world_trunk_pitch,ref_world_trunk_pitch,slip_left,slip_right
0,1,0.0030,-0.00020,-0.00026,-0.00023,-0.00030,-0.013,-0.014,5.6765,4.4254,10.1018,0.5619,-0.14504,0.14502,8,4,-0.15472,0.13528,0.29000,-0.02768,0.4381,1,4.650,6.871,-0.105,6.871,6.763,-0.560,-0.02928,-0.03181,2.234,4.053,0.00137,0.00155
0,2,0.0060,-0.00020,-0.00027,-0.00024,-0.00031,-0.013,-0.013,5.9057,4.1111,10.0167,0.5896,-0.14504,0.14503,8,4,-0.15472,0.13528,0.29000,-0.03570,0.4104,1,13.969,9.162,-0.213,9.162,8.947,-0.430,-0.02928,-0.03181,2.209,4.197,0.00137,0.00134
0,3,0.0090,-0.00019,-0.00025,-0.00023,-0.00029,-0.011,-0.011,5.8466,4.5063,10.3529,0.5647,-0.14503,0.14503,8,4,-0.15472,0.13528,0.29000,-0.02849,0.4353,1,4.188,6.871,-0.321,6.871,6.548,-0.329,-0.02928,-0.03181,2.191,4.340,0.00211,0.00224
0,4,0.0120,-0.00019,-0.00024,-0.00022,-0.00028,-0.010,-0.010,5.6359,4.1327,9.7686,0.5769,-0.14504,0.14503,8,4,-0.15472,0.13528,0.29000,-0.03203,0.4231,1,7.973,7.491,-0.432,7.490,7.058,-0.259,-0.02929,-0.03181,2.180,4.484,0.00137,0.00159
0,5,0.0150,-0.00018,-0.00023,-0.00022,-0.00026,-0.009,-0.009,5.5007,4.1596,9.6603,0.5694,-0.14504,0.14503,8,4,-0.15472,0.13528,0.29000,-0.02985,0.4306,1,6.947,6.263,-0.542,6.263,5.720,-0.190,-0.02929,-0.03181,2.174,4.627,0.00114,0.00136
0,6,0.0180,-0.00019,-0.00024,-0.00022,-0.00027,-0.010,-0.010,5.4566,3.8369,9.2935,0.5871,-0.14504,0.14503,8,4,-0.15472,0.13528,0.29000,-0.03499,0.4129,1,14.803,8.555,-0.654,8.555,7.901,-0.148,-0.02928,-0.03181,2.172,4.770,0.00031,0.00026
0,7,0.0210,-0.00019,-0.00025,-0.00023,-0.00028,-0.011,-0.011,5.4691,4.2221,9.6912,0.5643,-0.14504,0.14502,8,4,-0.15472,0.13528,0.29000,-0.02838,0.4357,1,9.824,8.339,-0.766,8.339,7.573,-0.105,-0.02925,-0.03181,2.176,4.914,0.00091,0.00102
0,8,0.0240,-0.00019,-0.00025,-0.00022,-0.00028,-0.011,-0.012,5.4279,4.4274,9.8553,0.5508,-0.14504,0.14502,8,4,-0.15472,0.13528,0.29000,-0.02444,0.4492,1,7.493,6.250,-0.880,6.250,5.369,-0.079,-0.02920,-0.03181,2.185,5.057,0.00072,0.00076
0,9,0.0270,-0.00020,-0.00026,-0.00023,-0.00029,-0.012,-0.012,5.3922,4.1531,9.5454,0.5649,-0.14503,0.14503,8,4,-0.15472,0.13528,0.29000,-0.02854,0.4351,1,13.021,8.541,-0.995,8.541,7.547,-0.069,-0.02915,-0.03181,2.202,5.201,0.00088,0.00094
0,10,0.0300,-0.00019,-0.00025,-0.00022,-0.00029,-0.012,-0.013,5.3498,4.5340,9.8838,0.5413,-0.14503,0.14503,8,4,-0.15472,0.13528,0.29000,-0.02169,0.4587,1,5.787,6.250,-1.109,6.249,5.141,-0.069,-0.02910,-0.03181,2.225,5.344,0.00068,0.00067
