load_kg,tick,sq,world_trunk_pitch,ref_world_trunk_pitch,trunk_excess,pelvis_world_pitch,thigh_world_pitch,shank_world_pitch,hip_nominal,hip_actual,hip_excess,abdomen_nominal,abdomen_actual,abdomen_excess,thorax_nominal,thorax_actual,thorax_excess,bar_ap,support_center,cop_ap,bar_rel_support,bar_rel_cop,saddle_separation,saddle_attached,com_ap,support_min,support_max
0,1,0.0030,2.234,4.053,-1.820,0.239,-179.465,-173.123,-0.319,0.079,0.398,0.000,-1.760,-1.760,0.056,-1.562,-1.618,0.00000,-0.00972,-0.02768,0.00972,0.02768,0.00000,0,-0.02928,-0.15472,0.13528
0,2,0.0060,2.209,4.197,-1.988,0.195,-179.320,-173.224,-0.639,0.293,0.933,0.088,-1.702,-1.791,0.131,-1.539,-1.671,0.00000,-0.00972,-0.03570,0.00972,0.03570,0.00000,0,-0.02928,-0.15472,0.13528
0,3,0.0090,2.191,4.340,-2.150,0.171,-179.194,-173.297,-0.959,0.485,1.444,0.125,-1.678,-1.803,0.194,-1.537,-1.731,0.00000,-0.00972,-0.02849,0.00972,0.02849,0.00000,0,-0.02928,-0.15472,0.13528
0,4,0.0120,2.180,4.484,-2.304,0.157,-179.095,-173.365,-1.283,0.634,1.918,0.172,-1.667,-1.840,0.262,-1.544,-1.806,0.00000,-0.00972,-0.03203,0.00972,0.03203,0.00000,0,-0.02929,-0.15472,0.13528
0,5,0.0150,2.174,4.627,-2.453,0.149,-179.025,-173.409,-1.609,0.749,2.357,0.220,-1.658,-1.879,0.331,-1.553,-1.884,0.00000,-0.00972,-0.02985,0.00972,0.02985,0.00000,0,-0.02929,-0.15472,0.13528
0,6,0.0180,2.172,4.770,-2.599,0.144,-178.980,-173.448,-1.934,0.826,2.760,0.265,-1.651,-1.916,0.400,-1.560,-1.959,0.00000,-0.00972,-0.03499,0.00972,0.03499,0.00000,0,-0.02928,-0.15472,0.13528
0,7,0.0210,2.176,4.914,-2.738,0.152,-178.961,-173.480,-2.262,0.876,3.138,0.312,-1.644,-1.955,0.468,-1.567,-2.035,0.00000,-0.00972,-0.02838,0.00972,0.02838,0.00000,0,-0.02925,-0.15472,0.13528
0,8,0.0240,2.185,5.057,-2.872,0.164,-178.964,-173.483,-2.593,0.886,3.479,0.360,-1.643,-2.004,0.540,-1.573,-2.113,0.00000,-0.00972,-0.02444,0.00972,0.02444,0.00000,0,-0.02920,-0.15472,0.13528
0,9,0.0270,2.202,5.201,-2.998,0.184,-178.986,-173.481,-2.924,0.870,3.795,0.407,-1.645,-2.052,0.612,-1.577,-2.188,0.00000,-0.00972,-0.02854,0.00972,0.02854,0.00000,0,-0.02915,-0.15472,0.13528
0,10,0.0300,2.225,5.344,-3.119,0.209,-179.024,-173.458,-3.255,0.829,4.084,0.455,-1.648,-2.103,0.683,-1.579,-2.262,0.00000,-0.00972,-0.02169,0.00972,0.02169,0.00000,0,-0.02910,-0.15472,0.13528
0,11,0.0330,2.256,5.487,-3.231,0.241,-179.079,-173.433,-3.592,0.766,4.358,0.505,-1.652,-2.157,0.757,-1.577,-2.334,0.00000,-0.00972,-0.02584,0.00972,0.02584,0.00000,0,-0.02905,-0.15472,0.13528
0,12,0.0360,2.295,5.631,-3.336,0.278,-179.151,-173.386,-3.928,0.680,4.607,0.554,-1.655,-2.209,0.832,-1.574,-2.405,0.00000,-0.00972,-0.02035,0.00972,0.02035,0.00000,0,-0.02900,-0.15472,0.13528
0,13,0.0390,2.341,5.774,-3.433,0.317,-179.237,-173.321,-4.264,0.571,4.835,0.604,-1.656,-2.260,0.906,-1.565,-2.471,0.00000,-0.00972,-0.02488,0.00972,0.02488,0.00000,0,-0.02896,-0.15472,0.13528
0,14,0.0420,2.393,5.918,-3.525,0.357,-179.333,-173.263,-4.604,0.444,5.048,0.654,-1.655,-2.308,0.981,-1.552,-2.533,0.00000,-0.00972,-0.03078,0.00972,0.03078,0.00000,0,-0.02893,-0.15472,0.13528
0,15,0.0450,2.452,6.061,-3.609,0.404,-179.446,-173.189,-4.945,0.309,5.254,0.704,-1.649,-2.353,1.057,-1.537,-2.594,0.00000,-0.00972,-0.02534,0.00972,0.02534,0.00000,0,-0.02890,-0.15472,0.13528
0,16,0.0480,2.518,6.204,-3.686,0.452,-179.571,-173.120,-5.286,0.148,5.434,0.756,-1.643,-2.399,1.134,-1.518,-2.652,0.00000,-0.00972,-0.03091,0.00972,0.03091,0.00000,0,-0.02887,-0.15472,0.13528
0,17,0.0510,2.591,6.352,-3.761,0.504,-179.709,-173.038,-5.629,0.000,5.629,0.807,-1.632,-2.439,1.210,-1.496,-2.707,0.00000,-0.00972,-0.02536,0.00972,0.02536,0.00000,0,-0.02884,-0.15472,0.13528
0,18,0.0540,2.671,6.509,-3.838,0.557,-179.857,-172.943,-5.975,-0.213,5.761,0.859,-1.619,-2.478,1.289,-1.469,-2.758,0.00000,-0.00972,-0.03007,0.00972,0.03007,0.00000,0,-0.02881,-0.15472,0.13528
0,19,0.0570,2.755,6.665,-3.910,0.608,179.988,-172.856,-6.320,-0.413,5.907,0.911,-1.602,-2.513,1.367,-1.436,-2.804,0.00000,-0.00972,-0.03398,0.00972,0.03398,0.00000,0,-0.02879,-0.15472,0.13528
0,20,0.0600,2.848,6.822,-3.974,0.666,179.818,-172.757,-6.666,-0.618,6.048,0.963,-1.578,-2.541,1.445,-1.402,-2.847,0.00000,-0.00972,-0.02770,0.00972,0.02770,0.00000,0,-0.02877,-0.15472,0.13528
0,21,0.0630,2.942,6.979,-4.036,0.718,179.646,-172.649,-7.016,-0.848,6.168,1.016,-1.555,-2.572,1.525,-1.361,-2.886,0.00000,-0.00972,-0.03253,0.00972,0.03253,0.00000,0,-0.02874,-0.15472,0.13528
0,22,0.0660,3.043,7.135,-4.092,0.774,179.466,-172.545,-7.366,-1.071,6.295,1.070,-1.524,-2.593,1.605,-1.317,-2.922,0.00000,-0.00972,-0.03559,0.00972,0.03559,0.00000,0,-0.02872,-0.15472,0.13528
0,23,0.0690,3.149,7.292,-4.143,0.831,179.276,-172.429,-7.716,-1.308,6.408,1.123,-1.490,-2.613,1.684,-1.270,-2.955,0.00000,-0.00972,-0.03162,0.00972,0.03162,0.00000,0,-0.02869,-0.15472,0.13528
0,24,0.0720,3.260,7.448,-4.188,0.890,179.080,-172.324,-8.068,-1.555,6.513,1.176,-1.455,-2.632,1.765,-1.220,-2.985,0.00000,-0.00972,-0.03702,0.00972,0.03702,0.00000,0,-0.02866,-0.15472,0.13528
0,25,0.0750,3.377,7.605,-4.228,0.952,178.876,-172.212,-8.422,-1.810,6.612,1.230,-1.416,-2.646,1.846,-1.168,-3.013,0.00000,-0.00972,-0.03058,0.00972,0.03058,0.00000,0,-0.02863,-0.15472,0.13528
0,26,0.0780,3.498,7.762,-4.264,1.014,178.667,-172.095,-8.776,-2.076,6.700,1.284,-1.374,-2.658,1.927,-1.112,-3.039,0.00000,-0.00972,-0.03141,0.00972,0.03141,0.00000,0,-0.02859,-0.15472,0.13528
0,27,0.0810,3.626,7.918,-4.292,1.079,178.452,-171.988,-9.131,-2.347,6.784,1.338,-1.328,-2.666,2.008,-1.052,-3.060,0.00000,-0.00972,-0.03233,0.00972,0.03233,0.00000,0,-0.02856,-0.15472,0.13528
0,28,0.0840,3.765,8.075,-4.310,1.153,178.226,-171.870,-9.488,-2.627,6.862,1.393,-1.280,-2.672,2.089,-0.990,-3.079,0.00000,-0.00972,-0.02531,0.00972,0.02531,0.00000,0,-0.02852,-0.15472,0.13528
0,29,0.0870,3.911,8.231,-4.321,1.227,177.997,-171.748,-9.845,-2.927,6.918,1.447,-1.231,-2.678,2.171,-0.923,-3.094,0.00000,-0.00972,-0.02936,0.00972,0.02936,0.00000,0,-0.02849,-0.15472,0.13528
0,30,0.0900,4.067,8.388,-4.321,1.308,177.760,-171.637,-10.203,-3.230,6.972,1.501,-1.176,-2.678,2.253,-0.850,-3.103,0.00000,-0.00972,-0.02933,0.00972,0.02933,0.00000,0,-0.02847,-0.15472,0.13528
0,31,0.0930,4.229,8.545,-4.316,1.389,177.520,-171.516,-10.563,-3.548,7.016,1.557,-1.118,-2.674,2.335,-0.776,-3.111,0.00000,-0.00972,-0.02271,0.00972,0.02271,0.00000,0,-0.02845,-0.15472,0.13528
0,32,0.0960,4.397,8.701,-4.305,1.471,177.280,-171.383,-10.924,-3.868,7.056,1.611,-1.054,-2.665,2.417,-0.697,-3.114,0.00000,-0.00972,-0.02734,0.00972,0.02734,0.00000,0,-0.02844,-0.15472,0.13528
0,33,0.0990,4.571,8.858,-4.287,1.554,177.034,-171.262,-11.285,-4.191,7.094,1.666,-0.987,-2.653,2.499,-0.613,-3.112,0.00000,-0.00972,-0.03322,0.00972,0.03322,0.00000,0,-0.02844,-0.15472,0.13528
0,34,0.1020,4.750,9.017,-4.268,1.638,176.784,-171.133,-11.647,-4.520,7.127,1.721,-0.914,-2.635,2.581,-0.528,-3.109,0.00000,-0.00972,-0.02757,0.00972,0.02757,0.00000,0,-0.02845,-0.15472,0.13528
0,35,0.1050,4.935,9.178,-4.243,1.723,176.528,-171.015,-12.011,-4.854,7.157,1.776,-0.838,-2.614,2.664,-0.439,-3.102,0.00000,-0.00972,-0.03343,0.00972,0.03343,0.00000,0,-0.02846,-0.15472,0.13528
0,36,0.1080,5.122,9.339,-4.216,1.809,176.268,-170.888,-12.374,-5.196,7.178,1.830,-0.758,-2.588,2.746,-0.349,-3.095,0.00000,-0.00972,-0.02744,0.00972,0.02744,0.00000,0,-0.02847,-0.15472,0.13528
0,37,0.1110,5.315,9.500,-4.184,1.894,176.003,-170.772,-12.739,-5.541,7.197,1.885,-0.674,-2.559,2.828,-0.253,-3.081,0.00000,-0.00972,-0.03241,0.00972,0.03241,0.00000,0,-0.02848,-0.15472,0.13528
