load_kg,tick,sq,joint,demand,max_force_nm,err_x_deg,capacity_scale,solver_torque_x_nm,nominal_deg,final_deg,actual_deg
0,1,0.0030,abdomen,0.0187,1482.00,1.803,5.700,-0.023,0.000,0.000,-1.760
0,1,0.0030,thorax,0.0187,1482.00,1.627,5.700,0.000,0.056,0.056,-1.562
0,1,0.0030,left_thigh,0.0269,2052.00,-0.407,5.700,0.000,-0.319,-0.319,0.079
0,1,0.0030,left_foot,0.0398,1710.00,7.430,9.500,0.167,-0.105,6.763,-0.560
0,2,0.0060,abdomen,0.0154,1482.00,1.756,5.700,-0.024,0.088,0.056,-1.702
0,2,0.0060,thorax,0.0186,1482.00,1.637,5.700,0.000,0.131,0.088,-1.539
0,2,0.0060,left_thigh,0.0476,2052.00,-0.869,5.700,0.000,-0.639,-0.573,0.293
0,2,0.0060,left_foot,0.0394,1710.00,8.447,9.500,0.147,-0.213,8.947,-0.430
0,3,0.0090,abdomen,0.0190,1482.00,1.809,5.700,-0.019,0.125,0.125,-1.678
0,3,0.0090,thorax,0.0215,1482.00,1.733,5.700,0.000,0.194,0.194,-1.537
0,3,0.0090,left_thigh,0.0506,2052.00,-1.445,5.700,0.000,-0.959,-0.959,0.485
0,3,0.0090,left_foot,0.0327,1710.00,7.200,9.500,0.085,-0.321,6.548,-0.329
0,4,0.0120,abdomen,0.0207,1482.00,1.843,5.700,-0.022,0.172,0.172,-1.667
0,4,0.0120,thorax,0.0234,1482.00,1.807,5.700,0.000,0.262,0.262,-1.544
0,4,0.0120,left_thigh,0.0515,2052.00,-1.918,5.700,0.000,-1.283,-1.283,0.634
0,4,0.0120,left_foot,0.0353,1710.00,7.317,9.500,0.109,-0.432,7.058,-0.259
0,5,0.0150,abdomen,0.0214,1482.00,1.879,5.700,-0.023,0.220,0.220,-1.658
0,5,0.0150,thorax,0.0244,1482.00,1.884,5.700,0.000,0.331,0.331,-1.553
0,5,0.0150,left_thigh,0.0520,2052.00,-2.357,5.700,0.000,-1.609,-1.609,0.749
0,5,0.0150,left_foot,0.0278,1710.00,6.105,9.500,0.180,-0.542,5.720,-0.190
0,6,0.0180,abdomen,0.0213,1482.00,1.849,5.700,-0.024,0.265,0.198,-1.651
0,6,0.0180,thorax,0.0242,1482.00,1.891,5.700,0.000,0.400,0.331,-1.560
0,6,0.0180,left_thigh,0.0513,2052.00,-2.623,5.700,0.000,-1.934,-1.797,0.826
0,6,0.0180,left_foot,0.0368,1710.00,7.208,9.500,0.197,-0.654,7.901,-0.148
0,7,0.0210,abdomen,0.0227,1482.00,1.957,5.700,-0.024,0.312,0.312,-1.644
0,7,0.0210,thorax,0.0259,1482.00,2.036,5.700,0.000,0.468,0.468,-1.567
0,7,0.0210,left_thigh,0.0534,2052.00,-3.138,5.700,0.000,-2.262,-2.262,0.876
0,7,0.0210,left_foot,0.0400,1710.00,7.683,9.500,0.238,-0.766,7.573,-0.105
0,8,0.0240,abdomen,0.0237,1482.00,2.004,5.700,-0.025,0.360,0.360,-1.643
0,8,0.0240,thorax,0.0266,1482.00,2.114,5.700,0.000,0.540,0.540,-1.573
0,8,0.0240,left_thigh,0.0532,2052.00,-3.480,5.700,0.000,-2.593,-2.593,0.886
0,8,0.0240,left_foot,0.0329,1710.00,6.504,9.500,0.221,-0.880,5.369,-0.079
0,9,0.0270,abdomen,0.0242,1482.00,2.038,5.700,-0.024,0.407,0.392,-1.645
0,9,0.0270,thorax,0.0268,1482.00,2.174,5.700,0.000,0.612,0.596,-1.577
0,9,0.0270,left_thigh,0.0534,2052.00,-3.766,5.700,0.000,-2.924,-2.895,0.870
0,9,0.0270,left_foot,0.0423,1710.00,7.620,9.500,0.154,-0.995,7.547,-0.069
0,10,0.0300,abdomen,0.0251,1482.00,2.104,5.700,-0.022,0.455,0.455,-1.648
0,10,0.0300,thorax,0.0278,1482.00,2.262,5.700,0.000,0.683,0.683,-1.579
0,10,0.0300,left_thigh,0.0542,2052.00,-4.085,5.700,0.000,-3.255,-3.255,0.829
0,10,0.0300,left_foot,0.0348,1710.00,6.475,9.500,0.145,-1.109,5.141,-0.069
0,11,0.0330,abdomen,0.0256,1482.00,2.157,5.700,-0.022,0.505,0.505,-1.652
0,11,0.0330,thorax,0.0282,1482.00,2.335,5.700,0.000,0.757,0.757,-1.577
0,11,0.0330,left_thigh,0.0547,2052.00,-4.358,5.700,0.000,-3.592,-3.592,0.766
0,11,0.0330,left_foot,0.0425,1710.00,7.413,9.500,0.094,-1.226,7.316,-0.097
0,12,0.0360,abdomen,0.0260,1482.00,2.209,5.700,-0.020,0.554,0.554,-1.655
0,12,0.0360,thorax,0.0286,1482.00,2.405,5.700,0.000,0.832,0.832,-1.574
0,12,0.0360,left_thigh,0.0548,2052.00,-4.607,5.700,0.000,-3.928,-3.928,0.680
0,12,0.0360,left_foot,0.0353,1710.00,6.291,9.500,0.092,-1.343,4.907,-0.119
0,13,0.0390,abdomen,0.0262,1482.00,2.260,5.700,-0.020,0.604,0.604,-1.656
0,13,0.0390,thorax,0.0287,1482.00,2.471,5.700,0.000,0.906,0.906,-1.565
0,13,0.0390,left_thigh,0.0550,2052.00,-4.836,5.700,0.000,-4.264,-4.264,0.571
0,13,0.0390,left_foot,0.0295,1710.00,5.191,9.500,0.058,-1.460,4.519,-0.168
0,14,0.0420,abdomen,0.0261,1482.00,2.261,5.700,-0.019,0.654,0.605,-1.655
0,14,0.0420,thorax,0.0286,1482.00,2.485,5.700,0.000,0.981,0.932,-1.552
0,14,0.0420,left_thigh,0.0550,2052.00,-4.954,5.700,0.000,-4.604,-4.507,0.444
0,14,0.0420,left_foot,0.0386,1710.00,6.404,9.500,0.062,-1.579,6.692,-0.234
0,15,0.0450,abdomen,0.0266,1482.00,2.354,5.700,-0.020,0.704,0.704,-1.649
0,15,0.0450,thorax,0.0296,1482.00,2.595,5.700,0.000,1.057,1.057,-1.537
0,15,0.0450,left_thigh,0.0563,2052.00,-5.255,5.700,0.000,-4.945,-4.945,0.309
0,15,0.0450,left_foot,0.0309,1710.00,5.315,9.500,0.111,-1.698,4.280,-0.291
0,16,0.0480,abdomen,0.0266,1482.00,2.359,5.700,-0.022,0.756,0.715,-1.643
0,16,0.0480,thorax,0.0292,1482.00,2.612,5.700,0.000,1.134,1.094,-1.518
0,16,0.0480,left_thigh,0.0554,2052.00,-5.356,5.700,0.000,-5.286,-5.206,0.148
0,16,0.0480,left_foot,0.0396,1710.00,6.454,9.500,0.106,-1.818,6.087,-0.367
0,17,0.0510,abdomen,0.0271,1482.00,2.439,5.700,-0.022,0.807,0.807,-1.632
0,17,0.0510,thorax,0.0300,1482.00,2.707,5.700,0.000,1.210,1.210,-1.496
0,17,0.0510,left_thigh,0.0565,2052.00,-5.605,5.700,0.000,-5.629,-5.629,0.000
0,17,0.0510,left_foot,0.0319,1710.00,5.376,9.500,0.136,-1.938,3.675,-0.435
0,18,0.0540,abdomen,0.0272,1482.00,2.479,5.700,-0.023,0.859,0.859,-1.619
0,18,0.0540,thorax,0.0300,1482.00,2.758,5.700,0.000,1.289,1.289,-1.469
0,18,0.0540,left_thigh,0.0566,2052.00,-5.762,5.700,0.000,-5.975,-5.975,-0.213
0,18,0.0540,left_foot,0.0277,1710.00,4.605,9.500,0.113,-2.060,4.088,-0.517
0,19,0.0570,abdomen,0.0262,1482.00,2.417,5.700,-0.022,0.911,0.814,-1.602
0,19,0.0570,thorax,0.0289,1482.00,2.707,5.700,0.000,1.367,1.270,-1.436
0,19,0.0570,left_thigh,0.0553,2052.00,-5.713,5.700,0.000,-6.320,-6.126,-0.413
0,19,0.0570,left_foot,0.0368,1710.00,5.847,9.500,0.115,-2.182,5.326,-0.612
0,20,0.0600,abdomen,0.0268,1482.00,2.542,5.700,-0.022,0.963,0.963,-1.578
0,20,0.0600,thorax,0.0301,1482.00,2.847,5.700,0.000,1.445,1.445,-1.402
0,20,0.0600,left_thigh,0.0574,2052.00,-6.047,5.700,0.000,-6.666,-6.666,-0.618
0,20,0.0600,left_foot,0.0292,1710.00,4.787,9.500,0.148,-2.303,2.912,-0.699
0,21,0.0630,abdomen,0.0263,1482.00,2.474,5.700,-0.024,1.016,0.918,-1.555
0,21,0.0630,thorax,0.0291,1482.00,2.789,5.700,0.000,1.525,1.427,-1.361
0,21,0.0630,left_thigh,0.0555,2052.00,-5.972,5.700,0.000,-7.016,-6.819,-0.848
0,21,0.0630,left_foot,0.0263,1710.00,4.234,9.500,0.131,-2.427,3.435,-0.798
0,22,0.0660,abdomen,0.0257,1482.00,2.495,5.700,-0.022,1.070,0.972,-1.524
0,22,0.0660,thorax,0.0290,1482.00,2.824,5.700,0.000,1.605,1.507,-1.317
0,22,0.0660,left_thigh,0.0568,2052.00,-6.098,5.700,0.000,-7.366,-7.169,-1.071
0,22,0.0660,left_foot,0.0321,1710.00,5.035,9.500,0.135,-2.551,4.127,-0.907
0,23,0.0690,abdomen,0.0259,1482.00,2.527,5.700,-0.023,1.123,1.036,-1.490
0,23,0.0690,thorax,0.0293,1482.00,2.869,5.700,0.000,1.684,1.598,-1.270
0,23,0.0690,left_thigh,0.0568,2052.00,-6.235,5.700,0.000,-7.716,-7.543,-1.308
0,23,0.0690,left_foot,0.0249,1710.00,3.992,9.500,0.167,-2.675,2.227,-1.010
0,24,0.0720,abdomen,0.0257,1482.00,2.526,5.700,-0.024,1.176,1.070,-1.455
0,24,0.0720,thorax,0.0291,1482.00,2.879,5.700,0.000,1.765,1.658,-1.220
0,24,0.0720,left_thigh,0.0568,2052.00,-6.301,5.700,0.000,-8.068,-7.856,-1.555
0,24,0.0720,left_foot,0.0340,1710.00,5.254,9.500,0.158,-2.800,4.394,-1.127
0,25,0.0750,abdomen,0.0257,1482.00,2.550,5.700,-0.024,1.230,1.134,-1.416
0,25,0.0750,thorax,0.0293,1482.00,2.918,5.700,0.000,1.846,1.750,-1.168
0,25,0.0750,left_thigh,0.0571,2052.00,-6.421,5.700,0.000,-8.422,-8.231,-1.810
0,25,0.0750,left_foot,0.0312,1710.00,4.942,9.500,0.189,-2.925,3.710,-1.232
0,26,0.0780,abdomen,0.0253,1482.00,2.543,5.700,-0.025,1.284,1.169,-1.374
0,26,0.0780,thorax,0.0289,1482.00,2.923,5.700,0.000,1.927,1.811,-1.112
0,26,0.0780,left_thigh,0.0567,2052.00,-6.469,5.700,0.000,-8.776,-8.545,-2.076
0,26,0.0780,left_foot,0.0296,1710.00,4.635,9.500,0.163,-3.050,3.292,-1.342
0,27,0.0810,abdomen,0.0251,1482.00,2.551,5.700,-0.023,1.338,1.223,-1.328
0,27,0.0810,thorax,0.0288,1482.00,2.944,5.700,0.000,2.008,1.892,-1.052
0,27,0.0810,left_thigh,0.0572,2052.00,-6.552,5.700,0.000,-9.131,-8.899,-2.347
0,27,0.0810,left_foot,0.0382,1710.00,5.899,9.500,0.143,-3.176,5.194,-1.460
0,28,0.0840,abdomen,0.0259,1482.00,2.673,5.700,-0.023,1.393,1.393,-1.280
0,28,0.0840,thorax,0.0299,1482.00,3.079,5.700,0.000,2.089,2.089,-0.990
0,28,0.0840,left_thigh,0.0589,2052.00,-6.861,5.700,0.000,-9.488,-9.488,-2.627
0,28,0.0840,left_foot,0.0306,1710.00,4.858,9.500,0.147,-3.303,2.776,-1.567
0,29,0.0870,abdomen,0.0256,1482.00,2.645,5.700,-0.023,1.447,1.413,-1.231
0,29,0.0870,thorax,0.0291,1482.00,3.060,5.700,0.000,2.171,2.137,-0.923
0,29,0.0870,left_thigh,0.0573,2052.00,-6.850,5.700,0.000,-9.845,-9.778,-2.927
0,29,0.0870,left_foot,0.0310,1710.00,4.804,9.500,0.099,-3.429,3.119,-1.684
0,30,0.0900,abdomen,0.0253,1482.00,2.678,5.700,-0.021,1.501,1.501,-1.176
0,30,0.0900,thorax,0.0292,1482.00,3.103,5.700,0.000,2.253,2.253,-0.850
0,30,0.0900,left_thigh,0.0580,2052.00,-6.972,5.700,0.000,-10.203,-10.203,-3.230
0,30,0.0900,left_foot,0.0396,1710.00,6.073,9.500,0.083,-3.555,4.614,-1.806
0,31,0.0930,abdomen,0.0250,1482.00,2.675,5.700,-0.021,1.557,1.557,-1.118
0,31,0.0930,thorax,0.0291,1482.00,3.111,5.700,0.000,2.335,2.335,-0.776
0,31,0.0930,left_thigh,0.0575,2052.00,-7.015,5.700,0.000,-10.563,-10.563,-3.548
0,31,0.0930,left_foot,0.0320,1710.00,5.037,9.500,0.087,-3.683,2.195,-1.917
0,32,0.0960,abdomen,0.0243,1482.00,2.666,5.700,-0.021,1.611,1.611,-1.054
0,32,0.0960,thorax,0.0285,1482.00,3.114,5.700,0.000,2.417,2.417,-0.697
0,32,0.0960,left_thigh,0.0576,2052.00,-7.055,5.700,0.000,-10.924,-10.924,-3.868
0,32,0.0960,left_foot,0.0259,1710.00,4.012,9.500,0.047,-3.811,1.491,-2.038
0,33,0.0990,abdomen,0.0236,1482.00,2.635,5.700,-0.020,1.666,1.648,-0.987
0,33,0.0990,thorax,0.0279,1482.00,3.094,5.700,0.000,2.499,2.481,-0.613
0,33,0.0990,left_thigh,0.0575,2052.00,-7.057,5.700,0.000,-11.285,-11.248,-4.191
0,33,0.0990,left_foot,0.0350,1710.00,5.292,9.500,0.047,-3.938,3.656,-2.172
0,34,0.1020,abdomen,0.0232,1482.00,2.636,5.700,-0.020,1.721,1.721,-0.914
0,34,0.1020,thorax,0.0280,1482.00,3.110,5.700,0.000,2.581,2.581,-0.528
0,34,0.1020,left_thigh,0.0577,2052.00,-7.127,5.700,0.000,-11.647,-11.647,-4.520
0,34,0.1020,left_foot,0.0274,1710.00,4.267,9.500,0.096,-4.066,1.335,-2.293
0,35,0.1050,abdomen,0.0227,1482.00,2.614,5.700,-0.023,1.776,1.776,-0.838
0,35,0.1050,thorax,0.0276,1482.00,3.104,5.700,0.000,2.664,2.664,-0.439
0,35,0.1050,left_thigh,0.0576,2052.00,-7.157,5.700,0.000,-12.011,-12.011,-4.854
0,35,0.1050,left_foot,0.0364,1710.00,5.543,9.500,0.098,-4.194,3.499,-2.423
0,36,0.1080,abdomen,0.0221,1482.00,2.588,5.700,-0.023,1.830,1.830,-0.758
0,36,0.1080,thorax,0.0273,1482.00,3.095,5.700,0.000,2.746,2.746,-0.349
0,36,0.1080,left_thigh,0.0571,2052.00,-7.178,5.700,0.000,-12.374,-12.374,-5.196
0,36,0.1080,left_foot,0.0288,1710.00,4.514,9.500,0.134,-4.322,1.078,-2.540
0,37,0.1110,abdomen,0.0215,1482.00,2.559,5.700,-0.024,1.885,1.885,-0.674
0,37,0.1110,thorax,0.0267,1482.00,3.083,5.700,0.000,2.828,2.828,-0.253
