family,ceiling_label,max_force_nm,target_error_deg,expected_pd_tau_nm,inferred_tau_nm,ratio_to_ceiling
abdomen,gam7_base,260.0,1.0,13.96,0.75,0.0029
abdomen,gam7_base,260.0,5.0,69.81,3.73,0.0143
abdomen,gam7_base,260.0,10.0,139.63,7.46,0.0287
abdomen,gam7_base,260.0,20.0,279.25,14.96,0.0575
abdomen,gam7_base,260.0,30.0,418.88,22.54,0.0867
abdomen,gam7_base,260.0,45.0,628.32,34.13,0.1313
abdomen,gam11_production,1482.0,1.0,13.96,0.75,0.0005
abdomen,gam11_production,1482.0,5.0,69.81,3.73,0.0025
abdomen,gam11_production,1482.0,10.0,139.63,7.46,0.0050
abdomen,gam11_production,1482.0,20.0,279.25,14.96,0.0101
abdomen,gam11_production,1482.0,30.0,418.88,22.54,0.0152
abdomen,gam11_production,1482.0,45.0,628.32,34.13,0.0230
thorax,gam7_base,260.0,1.0,13.96,1.67,0.0064
thorax,gam7_base,260.0,5.0,69.81,8.34,0.0321
thorax,gam7_base,260.0,10.0,139.63,16.68,0.0641
thorax,gam7_base,260.0,20.0,279.25,33.24,0.1278
thorax,gam7_base,260.0,30.0,418.88,49.56,0.1906
thorax,gam7_base,260.0,45.0,628.32,73.23,0.2817
thorax,gam11_production,1482.0,1.0,13.96,1.67,0.0011
thorax,gam11_production,1482.0,5.0,69.81,8.34,0.0056
thorax,gam11_production,1482.0,10.0,139.63,16.68,0.0113
thorax,gam11_production,1482.0,20.0,279.25,33.24,0.0224
thorax,gam11_production,1482.0,30.0,418.88,49.56,0.0334
thorax,gam11_production,1482.0,45.0,628.32,73.23,0.0494
