family,target_error_deg,inertia_x,alpha_x,inferred_tau_nm,expected_pd_tau_nm,current_torque_x,spring,damper,max_force_nm
abdomen,-5.0,0.063129,-59.0513,-3.7279,-69.8132,0.0000,800,85,1482.0
abdomen,-3.0,0.063129,-35.4256,-2.2364,-41.8879,0.0000,800,85,1482.0
abdomen,-2.0,0.063129,-23.6160,-1.4909,-27.9253,0.0000,800,85,1482.0
abdomen,-1.0,0.063129,-11.8077,-0.7454,-13.9626,0.0000,800,85,1482.0
abdomen,1.0,0.063129,11.8077,0.7454,13.9626,0.0000,800,85,1482.0
abdomen,2.0,0.063129,23.6160,1.4909,27.9253,0.0000,800,85,1482.0
abdomen,3.0,0.063129,35.4256,2.2364,41.8879,0.0000,800,85,1482.0
abdomen,5.0,0.063129,59.0513,3.7279,69.8132,0.0000,800,85,1482.0
thorax,-5.0,0.213120,-39.1555,-8.3448,-69.8132,0.0000,800,85,1482.0
thorax,-3.0,0.213120,-23.4975,-5.0078,-41.8879,0.0000,800,85,1482.0
thorax,-2.0,0.213120,-15.6658,-3.3387,-27.9253,0.0000,800,85,1482.0
thorax,-1.0,0.213120,-7.8332,-1.6694,-13.9626,0.0000,800,85,1482.0
thorax,1.0,0.213120,7.8332,1.6694,13.9626,0.0000,800,85,1482.0
thorax,2.0,0.213120,15.6658,3.3387,27.9253,0.0000,800,85,1482.0
thorax,3.0,0.213120,23.4975,5.0078,41.8879,0.0000,800,85,1482.0
thorax,5.0,0.213120,39.1555,8.3448,69.8132,0.0000,800,85,1482.0
left_thigh,-5.0,0.027000,-71.5619,-1.9322,-78.5398,0.0000,900,90,2052.0
left_thigh,-3.0,0.027000,-42.9249,-1.1590,-47.1239,0.0000,900,90,2052.0
left_thigh,-2.0,0.027000,-28.6140,-0.7726,-31.4159,0.0000,900,90,2052.0
left_thigh,-1.0,0.027000,-14.3062,-0.3863,-15.7080,0.0000,900,90,2052.0
left_thigh,1.0,0.027000,14.3062,0.3863,15.7080,0.0000,900,90,2052.0
left_thigh,2.0,0.027000,28.6140,0.7726,31.4159,0.0000,900,90,2052.0
left_thigh,3.0,0.027000,42.9249,1.1590,47.1239,0.0000,900,90,2052.0
left_thigh,5.0,0.027000,71.5619,1.9322,78.5398,0.0000,900,90,2052.0
left_foot,-5.0,0.011370,-70.0240,-0.7962,-56.7232,0.0000,650,70,1710.0
left_foot,-3.0,0.011370,-42.0002,-0.4776,-34.0339,0.0000,650,70,1710.0
left_foot,-2.0,0.011370,-27.9972,-0.3183,-22.6893,0.0000,650,70,1710.0
left_foot,-1.0,0.011370,-13.9977,-0.1592,-11.3446,0.0000,650,70,1710.0
left_foot,1.0,0.011370,13.9977,0.1592,11.3446,0.0000,650,70,1710.0
left_foot,2.0,0.011370,27.9972,0.3183,22.6893,0.0000,650,70,1710.0
left_foot,3.0,0.011370,42.0002,0.4776,34.0339,0.0000,650,70,1710.0
left_foot,5.0,0.011370,70.0240,0.7962,56.7232,0.0000,650,70,1710.0
# summary
family,authored_spring,measured_gain_nm_per_rad,ratio,r2,max_force_nm
abdomen,800,42.72,0.0534,1.00000,1482.0
thorax,800,95.63,0.1195,1.00000,1482.0
left_thigh,900,22.14,0.0246,1.00000,2052.0
left_foot,650,9.12,0.0140,1.00000,1710.0
