family,omega_x,inertia_x,alpha_x,inferred_tau_nm,expected_damper_tau_nm,damper
abdomen,-1.000,0.063129,78.6565,4.9655,85.0000,85
abdomen,-0.500,0.063129,39.3283,2.4828,42.5000,85
abdomen,-0.250,0.063129,19.6641,1.2414,21.2500,85
abdomen,0.250,0.063129,-19.6641,-1.2414,-21.2500,85
abdomen,0.500,0.063129,-39.3283,-2.4828,-42.5000,85
abdomen,1.000,0.063129,-78.6565,-4.9655,-85.0000,85
thorax,-1.000,0.213120,52.1984,11.1245,85.0000,85
thorax,-0.500,0.213120,26.0992,5.5623,42.5000,85
thorax,-0.250,0.213120,13.0496,2.7811,21.2500,85
thorax,0.250,0.213120,-13.0496,-2.7811,-21.2500,85
thorax,0.500,0.213120,-26.0992,-5.5623,-42.5000,85
thorax,1.000,0.213120,-52.1984,-11.1245,-85.0000,85
# summary
family,authored_damper,measured_gain_nms_per_rad,ratio,r2
abdomen,85,4.97,0.0584,1.00000
thorax,85,11.12,0.1309,1.00000
