tick,joint,actual_deg,error_deg,demand,limit_proximity,solver_torque_x,solver_torque_y,solver_torque_z
0,left_forearm,0.000,118.795,2.455,0.0000,-1.06,-2.56,0.06
0,right_forearm,0.000,118.795,2.455,0.0000,-0.09,0.53,0.15
25,left_forearm,91.300,27.590,0.548,0.6295,24.81,-26.63,-48.38
25,right_forearm,91.602,27.260,0.474,0.6316,18.36,14.03,29.67
50,left_forearm,91.353,27.528,0.554,0.6299,25.23,-30.62,-47.42
50,right_forearm,91.515,27.349,0.480,0.6310,18.51,13.74,29.31
75,left_forearm,91.236,27.643,0.557,0.6291,25.26,-31.37,-47.18
75,right_forearm,91.547,27.318,0.474,0.6313,18.60,13.82,29.40
100,left_forearm,91.230,27.650,0.557,0.6291,25.14,-31.47,-47.17
100,right_forearm,91.524,27.339,0.482,0.6311,18.61,13.67,29.15
125,left_forearm,91.228,27.651,0.557,0.6290,25.14,-31.53,-47.22
125,right_forearm,91.534,27.333,0.477,0.6312,18.69,13.80,29.39
150,left_forearm,91.229,27.651,0.557,0.6291,25.18,-31.54,-47.13
150,right_forearm,91.537,27.325,0.482,0.6312,18.57,13.70,29.11
175,left_forearm,91.228,27.651,0.557,0.6290,25.23,-31.58,-47.14
175,right_forearm,91.528,27.339,0.478,0.6311,18.64,13.84,29.38
200,left_forearm,91.229,27.651,0.557,0.6290,25.20,-31.57,-47.10
200,right_forearm,91.528,27.334,0.482,0.6311,18.57,13.72,29.13
225,left_forearm,91.228,27.651,0.557,0.6290,25.19,-31.61,-47.14
225,right_forearm,91.529,27.337,0.477,0.6311,18.66,13.85,29.36
250,left_forearm,91.229,27.651,0.557,0.6290,25.18,-31.59,-47.10
250,right_forearm,91.532,27.330,0.482,0.6312,18.58,13.73,29.11
275,left_forearm,91.228,27.651,0.557,0.6290,25.20,-31.61,-47.13
275,right_forearm,91.528,27.338,0.478,0.6311,18.66,13.85,29.37
300,left_forearm,91.229,27.651,0.557,0.6290,25.20,-31.59,-47.09
300,right_forearm,91.531,27.331,0.482,0.6312,18.57,13.73,29.12
325,left_forearm,91.228,27.651,0.557,0.6290,25.21,-31.62,-47.13
325,right_forearm,91.528,27.339,0.478,0.6311,18.66,13.85,29.36
350,left_forearm,91.229,27.651,0.557,0.6290,25.19,-31.59,-47.10
350,right_forearm,91.531,27.332,0.482,0.6312,18.57,13.73,29.12
375,left_forearm,91.228,27.651,0.557,0.6290,25.20,-31.62,-47.13
375,right_forearm,91.529,27.338,0.478,0.6311,18.66,13.86,29.36
400,left_forearm,91.229,27.651,0.557,0.6290,25.19,-31.60,-47.09
400,right_forearm,91.531,27.331,0.482,0.6312,18.57,13.73,29.12
425,left_forearm,91.228,27.651,0.557,0.6290,25.20,-31.62,-47.13
425,right_forearm,91.528,27.339,0.478,0.6311,18.66,13.86,29.36
450,left_forearm,91.229,27.651,0.557,0.6290,25.19,-31.60,-47.09
450,right_forearm,91.531,27.331,0.482,0.6312,18.57,13.74,29.12
475,left_forearm,91.228,27.651,0.557,0.6290,25.20,-31.62,-47.13
475,right_forearm,91.528,27.339,0.478,0.6311,18.66,13.86,29.36
500,left_forearm,91.229,27.651,0.557,0.6290,25.19,-31.60,-47.09
500,right_forearm,91.531,27.331,0.482,0.6312,18.57,13.73,29.12
525,left_forearm,91.228,27.651,0.557,0.6290,25.20,-31.62,-47.13
525,right_forearm,91.528,27.339,0.478,0.6311,18.66,13.85,29.36
550,left_forearm,91.229,27.651,0.557,0.6290,25.19,-31.59,-47.10
550,right_forearm,91.531,27.331,0.482,0.6312,18.57,13.73,29.12
575,left_forearm,91.228,27.651,0.557,0.6290,25.20,-31.61,-47.14
575,right_forearm,91.528,27.339,0.478,0.6311,18.66,13.85,29.37
600,left_forearm,91.229,27.651,0.557,0.6290,25.19,-31.57,-47.11
600,right_forearm,91.532,27.331,0.482,0.6312,18.57,13.72,29.13
