model,side,phase,direction,flexion_deg,pronation_deg,flexion_limit_margin_deg,hand_position_error_m,elbow_position_error_m,forearm_direction_error_deg,hand_orientation_error_deg,palm_normal_error_deg,wrist_residual_flexion_deg,wrist_residual_secondary_deg,wrist_flexion_margin_deg,wrist_secondary_margin_deg
MODEL_A,left,0.00,Descent,145.000,0.000,0.000,0.30945,0.00000,78.866,104.315,104.273,-84.850,60.680,-14.850,-30.680
MODEL_A,left,0.25,Descent,145.000,0.000,0.000,0.30945,0.00000,78.866,104.315,104.273,-84.850,60.680,-14.850,-30.680
MODEL_A,left,0.55,Descent,145.000,0.000,0.000,0.30945,0.00000,78.866,104.315,104.273,-84.850,60.680,-14.850,-30.680
MODEL_A,left,1.00,Descent,145.000,0.000,0.000,0.30945,0.00000,78.866,104.315,104.273,-84.850,60.680,-14.850,-30.680
MODEL_A,left,0.00,Ascent,145.000,0.000,0.000,0.30945,0.00000,78.866,104.315,104.273,-84.850,60.680,-14.850,-30.680
MODEL_A,left,0.25,Ascent,145.000,0.000,0.000,0.30945,0.00000,78.866,104.315,104.273,-84.850,60.680,-14.850,-30.680
MODEL_A,left,0.55,Ascent,145.000,0.000,0.000,0.30945,0.00000,78.866,104.315,104.273,-84.850,60.680,-14.850,-30.680
MODEL_A,left,1.00,Ascent,145.000,0.000,0.000,0.30945,0.00000,78.866,104.315,104.273,-84.850,60.680,-14.850,-30.680
MODEL_A,right,0.00,Descent,145.000,0.000,0.000,0.30945,0.00000,78.866,104.315,104.273,84.850,60.680,-14.850,-30.680
MODEL_A,right,0.25,Descent,145.000,0.000,0.000,0.30945,0.00000,78.866,104.315,104.273,84.850,60.680,-14.850,-30.680
MODEL_A,right,0.55,Descent,145.000,0.000,0.000,0.30945,0.00000,78.866,104.315,104.273,84.850,60.680,-14.850,-30.680
MODEL_A,right,1.00,Descent,145.000,0.000,0.000,0.30945,0.00000,78.866,104.315,104.273,84.850,60.680,-14.850,-30.680
MODEL_A,right,0.00,Ascent,145.000,0.000,0.000,0.30945,0.00000,78.866,104.315,104.273,84.850,60.680,-14.850,-30.680
MODEL_A,right,0.25,Ascent,145.000,0.000,0.000,0.30945,0.00000,78.866,104.315,104.273,84.850,60.680,-14.850,-30.680
MODEL_A,right,0.55,Ascent,145.000,0.000,0.000,0.30945,0.00000,78.866,104.315,104.273,84.850,60.680,-14.850,-30.680
MODEL_A,right,1.00,Ascent,145.000,0.000,0.000,0.30945,0.00000,78.866,104.315,104.273,84.850,60.680,-14.850,-30.680
MODEL_B,left,0.00,Descent,145.000,-76.000,0.000,0.30945,0.00000,78.866,77.805,60.830,-62.690,46.083,7.310,-16.083
MODEL_B,left,0.25,Descent,145.000,-76.000,0.000,0.30945,0.00000,78.866,77.805,60.830,-62.690,46.083,7.310,-16.083
MODEL_B,left,0.55,Descent,145.000,-76.000,0.000,0.30945,0.00000,78.866,77.805,60.830,-62.690,46.083,7.310,-16.083
MODEL_B,left,1.00,Descent,145.000,-76.000,0.000,0.30945,0.00000,78.866,77.805,60.830,-62.690,46.083,7.310,-16.083
MODEL_B,left,0.00,Ascent,145.000,-76.000,0.000,0.30945,0.00000,78.866,77.805,60.830,-62.690,46.083,7.310,-16.083
MODEL_B,left,0.25,Ascent,145.000,-76.000,0.000,0.30945,0.00000,78.866,77.805,60.830,-62.690,46.083,7.310,-16.083
MODEL_B,left,0.55,Ascent,145.000,-76.000,0.000,0.30945,0.00000,78.866,77.805,60.830,-62.690,46.083,7.310,-16.083
MODEL_B,left,1.00,Ascent,145.000,-76.000,0.000,0.30945,0.00000,78.866,77.805,60.830,-62.690,46.083,7.310,-16.083
MODEL_B,right,0.00,Descent,145.000,76.000,0.000,0.30945,0.00000,78.866,77.805,60.830,62.690,46.083,7.310,-16.083
MODEL_B,right,0.25,Descent,145.000,76.000,0.000,0.30945,0.00000,78.866,77.805,60.830,62.690,46.082,7.310,-16.082
MODEL_B,right,0.55,Descent,145.000,76.000,0.000,0.30945,0.00000,78.866,77.805,60.830,62.690,46.082,7.310,-16.082
MODEL_B,right,1.00,Descent,145.000,76.000,0.000,0.30945,0.00000,78.866,77.805,60.830,62.690,46.082,7.310,-16.082
MODEL_B,right,0.00,Ascent,145.000,76.000,0.000,0.30945,0.00000,78.866,77.805,60.830,62.690,46.083,7.310,-16.083
MODEL_B,right,0.25,Ascent,145.000,76.000,0.000,0.30945,0.00000,78.866,77.805,60.830,62.690,46.082,7.310,-16.082
MODEL_B,right,0.55,Ascent,145.000,76.000,0.000,0.30945,0.00000,78.866,77.805,60.830,62.690,46.082,7.310,-16.082
MODEL_B,right,1.00,Ascent,145.000,76.000,0.000,0.30945,0.00000,78.866,77.805,60.830,62.690,46.082,7.310,-16.082
MODEL_C,left,0.00,Descent,96.360,128.770,48.640,0.00760,0.00000,1.788,0.000,0.000,0.000,0.000,70.000,30.000
MODEL_C,left,0.25,Descent,96.360,128.770,48.640,0.00760,0.00000,1.788,0.000,0.000,0.000,0.000,70.000,30.000
MODEL_C,left,0.55,Descent,96.360,128.770,48.641,0.00760,0.00000,1.788,0.000,0.000,0.000,0.000,70.000,30.000
MODEL_C,left,1.00,Descent,96.360,128.770,48.640,0.00760,0.00000,1.788,0.000,0.000,0.000,0.000,70.000,30.000
MODEL_C,left,0.00,Ascent,96.360,128.770,48.640,0.00760,0.00000,1.788,0.000,0.000,0.000,0.000,70.000,30.000
MODEL_C,left,0.25,Ascent,96.360,128.770,48.640,0.00760,0.00000,1.788,0.000,0.000,0.000,0.000,70.000,30.000
MODEL_C,left,0.55,Ascent,96.360,128.770,48.641,0.00760,0.00000,1.788,0.000,0.000,0.000,0.000,70.000,30.000
MODEL_C,left,1.00,Ascent,96.360,128.770,48.640,0.00760,0.00000,1.788,0.000,0.000,0.000,0.000,70.000,30.000
