tick,time_s,left_elbow_deg,right_elbow_deg,left_elbow_err,right_elbow_err,left_shoulder_err,right_shoulder_err,left_wrist_err,right_wrist_err,com_ap,cop_ap,margin_ap,slip_mps
0,0.00,0.00,0.00,118.79,118.79,140.70,140.70,25.60,25.60,0.0000,0.0000,0.0000,0.0004
10,0.10,68.14,68.27,50.66,50.52,98.05,98.75,11.77,11.76,-0.0206,-0.0242,0.1244,0.0037
20,0.20,98.33,98.70,20.47,20.10,51.95,52.81,5.41,5.41,-0.0184,-0.0370,0.1266,0.0024
30,0.30,110.18,110.63,8.61,8.16,22.91,23.33,2.49,2.49,-0.0184,-0.0416,0.1266,0.0013
40,0.40,114.74,115.18,4.05,3.62,18.01,17.92,1.21,1.21,-0.0190,-0.0414,0.1260,0.0007
50,0.50,116.51,116.92,2.28,1.88,17.09,17.05,0.76,0.74,-0.0195,-0.0311,0.1255,0.0009
60,0.60,117.19,117.58,1.60,1.22,16.96,16.95,0.65,0.63,-0.0197,-0.0271,0.1253,0.0009
70,0.70,117.45,117.83,1.35,0.97,16.96,16.97,0.64,0.63,-0.0196,-0.0251,0.1254,0.0008
80,0.80,117.54,117.92,1.25,0.87,16.98,17.00,0.65,0.63,-0.0194,-0.0250,0.1256,0.0009
90,0.90,117.57,117.96,1.22,0.84,16.99,17.02,0.65,0.64,-0.0192,-0.0248,0.1258,0.0009
100,1.00,117.58,117.97,1.21,0.83,17.00,17.03,0.66,0.64,-0.0191,-0.0247,0.1259,0.0009
110,1.10,117.59,117.97,1.21,0.82,17.00,17.03,0.66,0.65,-0.0190,-0.0247,0.1260,0.0009
120,1.20,117.59,117.97,1.21,0.82,17.01,17.04,0.66,0.65,-0.0189,-0.0246,0.1261,0.0009
130,1.30,117.59,117.97,1.21,0.82,17.01,17.04,0.67,0.65,-0.0189,-0.0247,0.1261,0.0009
140,1.40,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0190,-0.0259,0.1260,0.0009
150,1.50,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0190,-0.0257,0.1260,0.0009
160,1.60,117.59,117.97,1.20,0.82,17.01,17.04,0.66,0.65,-0.0191,-0.0257,0.1259,0.0009
170,1.70,117.59,117.97,1.20,0.82,17.01,17.04,0.66,0.65,-0.0192,-0.0258,0.1258,0.0009
180,1.80,117.59,117.97,1.20,0.82,17.01,17.04,0.66,0.65,-0.0193,-0.0258,0.1257,0.0009
190,1.90,117.59,117.97,1.20,0.82,17.01,17.04,0.66,0.65,-0.0193,-0.0259,0.1257,0.0009
200,2.00,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0194,-0.0262,0.1256,0.0009
210,2.10,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0195,-0.0262,0.1255,0.0009
220,2.20,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0195,-0.0262,0.1255,0.0009
230,2.30,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0196,-0.0262,0.1254,0.0009
240,2.40,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0196,-0.0263,0.1254,0.0009
250,2.50,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0263,0.1253,0.0009
260,2.60,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0264,0.1253,0.0009
270,2.70,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0264,0.1253,0.0009
280,2.80,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0265,0.1253,0.0009
290,2.90,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0198,-0.0265,0.1252,0.0009
300,3.00,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0198,-0.0265,0.1252,0.0009
310,3.10,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0198,-0.0265,0.1252,0.0009
320,3.20,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0198,-0.0265,0.1252,0.0009
330,3.30,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0198,-0.0265,0.1252,0.0009
340,3.40,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0198,-0.0265,0.1252,0.0009
350,3.50,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0198,-0.0264,0.1252,0.0009
360,3.60,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0198,-0.0264,0.1252,0.0009
370,3.70,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0264,0.1253,0.0009
380,3.80,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0264,0.1253,0.0009
390,3.90,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0264,0.1253,0.0009
400,4.00,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0196,-0.0264,0.1254,0.0009
410,4.10,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0196,-0.0264,0.1254,0.0009
420,4.20,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0195,-0.0264,0.1255,0.0009
430,4.30,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0194,-0.0263,0.1256,0.0009
440,4.40,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0193,-0.0263,0.1257,0.0009
450,4.50,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0192,-0.0262,0.1258,0.0009
460,4.60,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0190,-0.0262,0.1260,0.0008
470,4.70,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0189,-0.0246,0.1261,0.0009
480,4.80,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0189,-0.0246,0.1261,0.0009
490,4.90,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0189,-0.0247,0.1261,0.0009
500,5.00,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0190,-0.0257,0.1260,0.0010
510,5.10,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0191,-0.0258,0.1259,0.0009
520,5.20,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0191,-0.0258,0.1259,0.0009
530,5.30,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0192,-0.0259,0.1258,0.0009
540,5.40,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0193,-0.0259,0.1257,0.0009
550,5.50,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0193,-0.0259,0.1257,0.0009
560,5.60,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0194,-0.0262,0.1256,0.0009
570,5.70,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0195,-0.0262,0.1255,0.0009
580,5.80,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0195,-0.0262,0.1255,0.0009
590,5.90,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0196,-0.0262,0.1254,0.0009
600,6.00,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0196,-0.0263,0.1254,0.0009
610,6.10,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0264,0.1253,0.0009
620,6.20,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0264,0.1253,0.0009
630,6.30,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0264,0.1253,0.0009
640,6.40,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0264,0.1253,0.0009
650,6.50,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0264,0.1253,0.0009
660,6.60,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0264,0.1253,0.0009
670,6.70,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0264,0.1253,0.0009
680,6.80,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0264,0.1253,0.0009
690,6.90,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0264,0.1253,0.0009
700,7.00,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0264,0.1253,0.0009
710,7.10,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0196,-0.0264,0.1254,0.0009
720,7.20,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0196,-0.0263,0.1254,0.0009
730,7.30,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0195,-0.0263,0.1255,0.0009
740,7.40,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0194,-0.0263,0.1256,0.0009
750,7.50,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0193,-0.0262,0.1257,0.0009
760,7.60,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0192,-0.0262,0.1258,0.0009
770,7.70,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0190,-0.0261,0.1260,0.0008
780,7.80,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0189,-0.0250,0.1261,0.0009
790,7.90,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0188,-0.0250,0.1262,0.0009
800,8.00,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0187,-0.0250,0.1263,0.0009
810,8.10,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0186,-0.0250,0.1264,0.0009
820,8.20,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0186,-0.0250,0.1264,0.0009
830,8.30,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0186,-0.0250,0.1264,0.0009
840,8.40,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0186,-0.0250,0.1264,0.0009
850,8.50,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0186,-0.0250,0.1264,0.0009
860,8.60,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0186,-0.0251,0.1264,0.0009
870,8.70,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0187,-0.0251,0.1263,0.0009
880,8.80,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0188,-0.0251,0.1262,0.0009
890,8.90,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0189,-0.0252,0.1261,0.0009
900,9.00,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0190,-0.0258,0.1260,0.0009
910,9.10,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0191,-0.0258,0.1259,0.0009
920,9.20,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0192,-0.0260,0.1258,0.0009
930,9.30,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0193,-0.0261,0.1257,0.0009
940,9.40,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0194,-0.0262,0.1256,0.0009
950,9.50,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0195,-0.0262,0.1255,0.0009
960,9.60,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0195,-0.0264,0.1255,0.0009
970,9.70,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0196,-0.0264,0.1254,0.0009
980,9.80,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0196,-0.0264,0.1254,0.0009
990,9.90,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0196,-0.0264,0.1254,0.0009
1000,10.00,117.59,117.97,1.20,0.82,17.01,17.04,0.67,0.65,-0.0197,-0.0320,0.1253,0.0005
