child,variation,value,authored_k,settled_deg,gravity_moment_nm,k_eff,ratio
abdomen,baseline,production,800,5.3445,16.9708,181.94,0.2274
abdomen,drive_mode,Slerp,800,5.3445,16.9708,181.94,0.2274
abdomen,drive_mode,XYAndZ,800,2.2584,17.0316,432.09,0.5401
abdomen,secondary_motion,Free,800,5.3445,16.9708,181.94,0.2274
abdomen,secondary_motion,Limited,800,5.3445,16.9708,181.94,0.2274
abdomen,secondary_motion,Locked,800,2.2584,17.0316,432.09,0.5401
abdomen,solver_position_iterations,4,800,6.2167,16.9446,156.17,0.1952
abdomen,solver_position_iterations,6,800,5.3445,16.9708,181.94,0.2274
abdomen,solver_position_iterations,8,800,5.0435,16.9789,192.89,0.2411
abdomen,solver_position_iterations,12,800,4.8947,16.9827,198.79,0.2485
abdomen,solver_position_iterations,16,800,4.8745,16.9832,199.63,0.2495
abdomen,solver_position_iterations,32,800,4.8712,16.9833,199.76,0.2497
abdomen,solver_velocity_iterations,1,800,5.3445,16.9708,181.94,0.2274
abdomen,solver_velocity_iterations,4,800,5.1816,16.9752,187.70,0.2346
abdomen,solver_velocity_iterations,8,800,5.1419,16.9763,189.17,0.2365
abdomen,dt,0.005,800,4.9527,16.9812,196.45,0.2456
abdomen,dt,0.01,800,5.3445,16.9708,181.94,0.2274
abdomen,dt,0.02,800,6.6514,16.9302,145.84,0.1823
abdomen,max_force,100,800,5.3445,16.9708,181.94,0.2274
abdomen,max_force,500,800,5.3445,16.9708,181.94,0.2274
abdomen,max_force,1500,800,5.3445,16.9708,181.94,0.2274
abdomen,max_force,100000,800,5.3445,16.9708,181.94,0.2274
abdomen,use_acceleration,False,800,5.3445,16.9708,181.94,0.2274
abdomen,use_acceleration,True,800,18.2467,16.1878,50.83,0.0635
abdomen,inertia_scale,0.5,800,7.1688,16.9116,135.16,0.1690
abdomen,inertia_scale,1,800,5.3445,16.9708,181.94,0.2274
abdomen,inertia_scale,2,800,4.9106,16.9823,198.15,0.2477
left_foot,baseline,production,650,0.9000,2.0623,131.29,0.2020
left_foot,drive_mode,Slerp,650,1.3244,2.0620,89.21,0.1372
left_foot,drive_mode,XYAndZ,650,0.9000,2.0623,131.29,0.2020
left_foot,secondary_motion,Free,650,0.9000,2.0623,131.29,0.2020
left_foot,secondary_motion,Limited,650,0.9000,2.0623,131.29,0.2020
left_foot,secondary_motion,Locked,650,0.9000,2.0623,131.29,0.2020
left_foot,solver_position_iterations,4,650,1.7347,2.0616,68.09,0.1048
left_foot,solver_position_iterations,6,650,0.9000,2.0623,131.29,0.2020
left_foot,solver_position_iterations,8,650,0.5332,2.0625,221.61,0.3409
left_foot,solver_position_iterations,12,650,0.2715,2.0625,435.20,0.6695
left_foot,solver_position_iterations,16,650,0.2054,2.0625,575.40,0.8852
left_foot,solver_position_iterations,32,650,0.1819,2.0625,649.58,0.9994
left_foot,solver_velocity_iterations,1,650,0.9000,2.0623,131.29,0.2020
left_foot,solver_velocity_iterations,4,650,0.8380,2.0623,141.01,0.2169
left_foot,solver_velocity_iterations,8,650,0.8136,2.0623,145.23,0.2234
left_foot,dt,0.005,650,0.5034,2.0625,234.76,0.3612
left_foot,dt,0.01,650,0.9000,2.0623,131.29,0.2020
left_foot,dt,0.02,650,1.7926,2.0615,65.89,0.1014
left_foot,max_force,100,650,0.9000,2.0623,131.29,0.2020
left_foot,max_force,500,650,0.9000,2.0623,131.29,0.2020
left_foot,max_force,1500,650,0.9000,2.0623,131.29,0.2020
left_foot,max_force,100000,650,0.9000,2.0623,131.29,0.2020
left_foot,use_acceleration,False,650,0.9000,2.0623,131.29,0.2020
left_foot,use_acceleration,True,650,15.4683,1.9878,7.36,0.0113
left_foot,inertia_scale,0.5,650,2.4599,2.0607,48.00,0.0738
left_foot,inertia_scale,1,650,0.9000,2.0623,131.29,0.2020
left_foot,inertia_scale,2,650,0.3245,2.0625,364.19,0.5603
