child,drive_mode,secondary_motion,solver_iterations,dt,authored_k,k_eff,ratio
abdomen,Slerp,Limited,6,0.01,800,181.94,0.2274
abdomen,Slerp,Limited,16,0.01,800,199.63,0.2495
abdomen,Slerp,Limited,32,0.01,800,199.76,0.2497
abdomen,Slerp,Limited,64,0.01,800,199.76,0.2497
abdomen,XYAndZ,Limited,6,0.01,800,432.09,0.5401
abdomen,XYAndZ,Limited,16,0.01,800,776.00,0.9700
abdomen,XYAndZ,Limited,32,0.01,800,799.84,0.9998
abdomen,XYAndZ,Limited,64,0.01,800,799.98,1.0000
thorax,Slerp,Limited,6,0.01,800,198.14,0.2477
thorax,Slerp,Limited,16,0.01,800,198.82,0.2485
thorax,Slerp,Limited,32,0.01,800,198.82,0.2485
thorax,Slerp,Limited,64,0.01,800,198.82,0.2485
thorax,XYAndZ,Limited,6,0.01,800,707.35,0.8842
thorax,XYAndZ,Limited,16,0.01,800,799.03,0.9988
thorax,XYAndZ,Limited,32,0.01,800,799.92,0.9999
thorax,XYAndZ,Limited,64,0.01,800,799.92,0.9999
left_thigh,Slerp,Limited,6,0.01,900,160.16,0.1780
left_thigh,Slerp,Limited,16,0.01,900,223.25,0.2481
left_thigh,Slerp,Limited,32,0.01,900,224.94,0.2499
left_thigh,Slerp,Limited,64,0.01,900,224.94,0.2499
left_thigh,XYAndZ,Limited,6,0.01,900,277.18,0.3080
left_thigh,XYAndZ,Limited,16,0.01,900,828.42,0.9205
left_thigh,XYAndZ,Limited,32,0.01,900,899.49,0.9994
left_thigh,XYAndZ,Limited,64,0.01,900,900.00,1.0000
left_foot,Slerp,Limited,6,0.01,650,89.21,0.1372
left_foot,Slerp,Limited,16,0.01,650,159.62,0.2456
left_foot,Slerp,Limited,32,0.01,650,162.49,0.2500
left_foot,Slerp,Limited,64,0.01,650,162.50,0.2500
left_foot,XYAndZ,Locked,6,0.01,650,131.29,0.2020
left_foot,XYAndZ,Locked,16,0.01,650,575.40,0.8852
left_foot,XYAndZ,Locked,32,0.01,650,649.58,0.9994
left_foot,XYAndZ,Locked,64,0.01,650,650.00,1.0000
