child,run,drive_mode,authored_k,settled_deg,settled_omega,gravity_moment_nm,k_eff,ratio,limit_margin_deg,current_torque_x
abdomen,0,Slerp,800,5.3445,-0.016093,16.9708,181.94,0.2274,39.66,0.000
abdomen,1,Slerp,800,5.3445,-0.016093,16.9708,181.94,0.2274,39.66,0.000
abdomen,2,Slerp,800,5.3445,-0.016093,16.9708,181.94,0.2274,39.66,0.000
thorax,0,Slerp,800,10.8328,-0.001287,37.4616,198.14,0.2477,39.17,0.000
thorax,1,Slerp,800,10.8328,-0.001287,37.4616,198.14,0.2477,39.17,0.000
thorax,2,Slerp,800,10.8328,-0.001287,37.4616,198.14,0.2477,39.17,0.000
left_thigh,0,Slerp,900,3.1537,-0.036013,8.8156,160.16,0.1780,41.85,0.000
left_thigh,1,Slerp,900,3.1537,-0.036013,8.8156,160.16,0.1780,41.85,0.000
left_thigh,2,Slerp,900,3.1537,-0.036013,8.8156,160.16,0.1780,41.85,0.000
left_foot,0,XYAndZ,650,0.9000,-0.028934,2.0623,131.29,0.2020,54.10,0.000
left_foot,1,XYAndZ,650,0.9000,-0.028934,2.0623,131.29,0.2020,54.10,0.000
left_foot,2,XYAndZ,650,0.9000,-0.028934,2.0623,131.29,0.2020,54.10,0.000
