child,family,drive_mode,commanded_axis,commanded_deg,response_x_deg,response_y_deg,response_z_deg,intended_axis_deg,worst_cross_axis_deg,cross_axis_fraction,sign_correct
abdomen,lumbar,Slerp,X,-5.0,-5.000,0.000,0.000,-5.000,0.000,0.0000,True
abdomen,lumbar,Slerp,X,5.0,5.000,0.000,0.000,5.000,0.000,0.0000,True
abdomen,lumbar,Slerp,Y,-5.0,0.000,-5.000,0.000,-5.000,0.000,0.0000,True
abdomen,lumbar,Slerp,Y,5.0,0.000,5.000,0.000,5.000,0.000,0.0000,True
abdomen,lumbar,Slerp,Z,-5.0,0.000,0.000,-5.000,-5.000,0.000,0.0000,True
abdomen,lumbar,Slerp,Z,5.0,0.000,0.000,5.000,5.000,0.000,0.0000,True
abdomen,lumbar,XYAndZ,X,-5.0,-5.000,0.000,0.000,-5.000,0.000,0.0000,True
abdomen,lumbar,XYAndZ,X,5.0,5.000,0.000,0.000,5.000,0.000,0.0000,True
abdomen,lumbar,XYAndZ,Y,-5.0,0.000,-5.000,0.000,-5.000,0.000,0.0000,True
abdomen,lumbar,XYAndZ,Y,5.0,0.000,5.000,0.000,5.000,0.000,0.0000,True
abdomen,lumbar,XYAndZ,Z,-5.0,0.000,0.000,-5.000,-5.000,0.000,0.0000,True
abdomen,lumbar,XYAndZ,Z,5.0,0.000,0.000,5.000,5.000,0.000,0.0000,True
thorax,trunk,Slerp,X,-5.0,-5.000,0.000,0.000,-5.000,0.000,0.0000,True
thorax,trunk,Slerp,X,5.0,5.000,0.000,0.000,5.000,0.000,0.0000,True
thorax,trunk,Slerp,Y,-5.0,0.000,-5.000,0.000,-5.000,0.000,0.0000,True
thorax,trunk,Slerp,Y,5.0,0.000,5.000,0.000,5.000,0.000,0.0000,True
thorax,trunk,Slerp,Z,-5.0,0.000,0.000,-5.000,-5.000,0.000,0.0000,True
thorax,trunk,Slerp,Z,5.0,0.000,0.000,5.000,5.000,0.000,0.0000,True
thorax,trunk,XYAndZ,X,-5.0,-5.000,0.000,0.000,-5.000,0.000,0.0000,True
thorax,trunk,XYAndZ,X,5.0,5.000,0.000,0.000,5.000,0.000,0.0000,True
thorax,trunk,XYAndZ,Y,-5.0,0.000,-5.000,0.000,-5.000,0.000,0.0000,True
thorax,trunk,XYAndZ,Y,5.0,0.000,5.000,0.000,5.000,0.000,0.0000,True
thorax,trunk,XYAndZ,Z,-5.0,0.000,0.000,-5.000,-5.000,0.000,0.0000,True
thorax,trunk,XYAndZ,Z,5.0,0.000,0.000,5.000,5.000,0.000,0.0000,True
left_thigh,hip,Slerp,X,-5.0,-5.000,0.000,0.000,-5.000,0.000,0.0000,True
left_thigh,hip,Slerp,X,5.0,5.000,0.000,0.000,5.000,0.000,0.0000,True
left_thigh,hip,Slerp,Y,-5.0,0.000,-5.000,0.000,-5.000,0.000,0.0000,True
left_thigh,hip,Slerp,Y,5.0,0.000,5.000,0.000,5.000,0.000,0.0000,True
left_thigh,hip,Slerp,Z,-5.0,0.000,0.000,-5.000,-5.000,0.000,0.0000,True
left_thigh,hip,Slerp,Z,5.0,0.000,0.000,5.000,5.000,0.000,0.0000,True
left_thigh,hip,XYAndZ,X,-5.0,-5.000,0.000,0.000,-5.000,0.000,0.0000,True
left_thigh,hip,XYAndZ,X,5.0,5.000,0.000,0.000,5.000,0.000,0.0000,True
left_thigh,hip,XYAndZ,Y,-5.0,0.000,-5.000,0.000,-5.000,0.000,0.0000,True
left_thigh,hip,XYAndZ,Y,5.0,0.000,5.000,0.000,5.000,0.000,0.0000,True
left_thigh,hip,XYAndZ,Z,-5.0,0.000,0.000,-5.000,-5.000,0.000,0.0000,True
left_thigh,hip,XYAndZ,Z,5.0,0.000,0.000,5.000,5.000,0.000,0.0000,True
left_upper_arm,shoulder,Slerp,X,-5.0,-5.000,0.000,0.000,-5.000,0.000,0.0000,True
left_upper_arm,shoulder,Slerp,X,5.0,5.000,0.000,0.000,5.000,0.000,0.0000,True
left_upper_arm,shoulder,Slerp,Y,-5.0,0.000,-5.000,0.000,-5.000,0.000,0.0000,True
left_upper_arm,shoulder,Slerp,Y,5.0,0.000,5.000,0.000,5.000,0.000,0.0000,True
