iterations,child,family,authored_k,k_mean,k_min,k_max,k_sd,ratio_mean,within_5pct
16,left_foot,ankle,650,575.40,575.40,575.40,0.0000,0.8852,False
16,left_shank,knee,800,567.26,567.26,567.26,0.0000,0.7091,False
16,left_thigh,hip,900,828.42,828.42,828.42,0.0000,0.9205,False
16,abdomen,lumbar,800,776.00,776.00,776.00,0.0000,0.9700,True
16,thorax,trunk,800,799.03,799.03,799.03,0.0000,0.9988,True
16,left_upper_arm,shoulder,500,320.82,320.82,320.82,0.0000,0.6416,False
16,left_forearm,elbow,450,192.21,192.21,192.21,0.0000,0.4271,False
16,left_hand,wrist,250,7.52,7.52,7.52,0.0000,0.0301,False
20,left_foot,ankle,650,628.44,628.44,628.44,0.0000,0.9668,True
20,left_shank,knee,800,710.84,710.84,710.84,0.0000,0.8885,False
20,left_thigh,hip,900,878.50,878.50,878.50,0.0000,0.9761,True
20,abdomen,lumbar,800,793.21,793.21,793.21,0.0000,0.9915,True
20,thorax,trunk,800,799.79,799.79,799.79,0.0000,0.9997,True
20,left_upper_arm,shoulder,500,426.62,426.62,426.62,0.0000,0.8532,False
20,left_forearm,elbow,450,317.31,317.31,317.31,0.0000,0.7051,False
20,left_hand,wrist,250,11.57,11.57,11.57,0.0000,0.0463,False
24,left_foot,ankle,650,644.14,644.14,644.14,0.0000,0.9910,True
24,left_shank,knee,800,770.36,770.36,770.36,0.0000,0.9629,True
24,left_thigh,hip,900,893.79,893.79,893.79,0.0000,0.9931,True
24,abdomen,lumbar,800,798.10,798.10,798.10,0.0000,0.9976,True
24,thorax,trunk,800,799.90,799.90,799.90,0.0000,0.9999,True
24,left_upper_arm,shoulder,500,474.77,474.77,474.77,0.0000,0.9495,False
24,left_forearm,elbow,450,397.94,397.94,397.94,0.0000,0.8843,False
24,left_hand,wrist,250,17.19,17.19,17.19,0.0000,0.0687,False
28,left_foot,ankle,650,648.43,648.43,648.43,0.0000,0.9976,True
28,left_shank,knee,800,790.66,790.66,790.66,0.0000,0.9883,True
28,left_thigh,hip,900,898.22,898.22,898.22,0.0000,0.9980,True
28,abdomen,lumbar,800,799.46,799.46,799.46,0.0000,0.9993,True
28,thorax,trunk,800,799.92,799.92,799.92,0.0000,0.9999,True
28,left_upper_arm,shoulder,500,491.92,491.92,491.92,0.0000,0.9838,True
28,left_forearm,elbow,450,432.29,432.29,432.29,0.0000,0.9606,True
28,left_hand,wrist,250,24.86,24.86,24.86,0.0000,0.0994,False
32,left_foot,ankle,650,649.58,649.58,649.58,0.0000,0.9994,True
32,left_shank,knee,800,797.11,797.11,797.11,0.0000,0.9964,True
32,left_thigh,hip,900,899.49,899.49,899.49,0.0000,0.9994,True
32,abdomen,lumbar,800,799.84,799.84,799.84,0.0000,0.9998,True
32,thorax,trunk,800,799.92,799.92,799.92,0.0000,0.9999,True
32,left_upper_arm,shoulder,500,497.47,497.47,497.47,0.0000,0.9949,True
32,left_forearm,elbow,450,444.30,444.30,444.30,0.0000,0.9873,True
32,left_hand,wrist,250,35.10,35.10,35.10,0.0000,0.1404,False
# verdict
iterations,families_within_5pct,worst_family,worst_ratio
16,2/8,left_hand,0.0301
20,4/8,left_hand,0.0463
24,5/8,left_hand,0.0687
28,7/8,left_hand,0.0994
32,7/8,left_hand,0.1404
