child,lever_m,expected_deg,settled_deg,gravity_moment_nm,k_eff,ratio
left_hand,0.070,0.0944,0.9496,0.4120,24.86,0.0994
left_hand,0.250,0.3372,12.1032,1.4388,6.81,0.0272
left_hand,0.500,0.6745,24.3925,2.6803,6.30,0.0252
left_hand,1.000,1.3490,41.5243,4.4067,6.08,0.0243
left_hand,2.000,2.6979,63.1260,5.3213,4.83,0.0193
abdomen,0.070,0.6836,0.6836,9.5445,800.00,1.0000
abdomen,0.250,2.4415,2.5506,34.0560,765.01,0.9563
abdomen,0.500,4.8830,5.4793,67.8680,709.68,0.8871
abdomen,1.000,9.7660,11.1478,133.7861,687.62,0.8595
abdomen,2.000,19.5320,21.7126,253.3690,668.60,0.8357
