tick,time_s,left_elbow_deg,right_elbow_deg,left_elbow_err,right_elbow_err,left_shoulder_err,right_shoulder_err,left_wrist_err,right_wrist_err
0,0.00,0.000,0.000,118.795,118.795,88.950,88.950,76.158,76.158
25,0.25,91.300,91.602,27.590,27.260,20.588,21.739,9.095,4.531
50,0.50,91.353,91.515,27.528,27.349,23.346,21.738,1.814,18.838
75,0.75,91.236,91.547,27.643,27.318,24.051,21.746,1.925,21.621
100,1.00,91.230,91.524,27.650,27.339,24.194,21.740,2.078,22.013
125,1.25,91.228,91.534,27.651,27.333,24.222,21.746,2.094,22.025
150,1.50,91.229,91.537,27.651,27.325,24.225,21.741,2.089,22.068
175,1.75,91.228,91.528,27.651,27.339,24.226,21.745,2.094,22.066
200,2.00,91.229,91.528,27.651,27.334,24.226,21.740,2.088,22.086
225,2.25,91.228,91.529,27.651,27.337,24.227,21.745,2.089,22.058
250,2.50,91.229,91.532,27.651,27.330,24.226,21.740,2.084,22.080
275,2.75,91.228,91.528,27.651,27.338,24.227,21.745,2.089,22.063
300,3.00,91.229,91.531,27.651,27.331,24.226,21.740,2.086,22.086
325,3.25,91.228,91.528,27.651,27.339,24.227,21.745,2.090,22.064
350,3.50,91.229,91.531,27.651,27.332,24.226,21.740,2.085,22.084
375,3.75,91.228,91.529,27.651,27.338,24.227,21.745,2.089,22.062
400,4.00,91.229,91.531,27.651,27.331,24.226,21.740,2.085,22.084
425,4.25,91.228,91.528,27.651,27.339,24.227,21.745,2.089,22.064
450,4.50,91.229,91.531,27.651,27.331,24.226,21.740,2.085,22.085
475,4.75,91.228,91.528,27.651,27.339,24.227,21.745,2.089,22.064
500,5.00,91.229,91.531,27.651,27.331,24.226,21.740,2.085,22.085
525,5.25,91.228,91.528,27.651,27.339,24.227,21.745,2.089,22.065
550,5.50,91.229,91.531,27.651,27.331,24.226,21.740,2.085,22.085
575,5.75,91.228,91.528,27.651,27.339,24.227,21.745,2.089,22.066
600,6.00,91.229,91.532,27.651,27.331,24.226,21.740,2.086,22.086
625,6.25,91.228,91.526,27.651,27.341,24.227,21.743,2.091,22.068
650,6.50,91.228,91.535,27.652,27.327,24.226,21.741,2.089,22.087
675,6.75,91.228,91.526,27.651,27.340,24.228,21.744,2.097,22.065
700,7.00,91.229,91.529,27.651,27.333,24.226,21.740,2.090,22.076
725,7.25,91.228,91.531,27.651,27.336,24.227,21.745,2.091,22.053
750,7.50,91.229,91.531,27.651,27.331,24.226,21.740,2.086,22.081
775,7.75,91.228,91.529,27.651,27.338,24.227,21.745,2.089,22.061
800,8.00,91.229,91.531,27.651,27.331,24.226,21.740,2.085,22.083
825,8.25,91.228,91.529,27.651,27.338,24.227,21.745,2.089,22.062
850,8.50,91.229,91.531,27.651,27.331,24.226,21.740,2.085,22.084
875,8.75,91.228,91.528,27.651,27.338,24.227,21.745,2.089,22.063
900,9.00,91.229,91.531,27.651,27.331,24.226,21.740,2.085,22.084
925,9.25,91.228,91.528,27.651,27.339,24.227,21.745,2.089,22.064
950,9.50,91.229,91.531,27.651,27.331,24.226,21.740,2.085,22.085
975,9.75,91.228,91.528,27.651,27.339,24.227,21.745,2.089,22.064
1000,10.00,91.229,91.531,27.651,27.331,24.226,21.740,2.085,22.085
