tick,time_s,left_elbow_deg,right_elbow_deg,left_elbow_err,right_elbow_err,left_shoulder_err,right_shoulder_err,left_wrist_err,right_wrist_err,pelvis_y,com_x,com_y,com_z
0,0.00,0.000,0.000,118.795,118.795,88.950,88.950,76.158,76.158,0.9816,0.0000,1.0636,-0.0318
25,0.25,104.566,104.667,14.229,14.128,11.147,10.224,13.090,13.078,0.9807,0.0016,1.0473,-0.0297
50,0.50,105.612,108.797,13.227,9.998,8.664,10.376,26.114,8.815,0.9802,0.0025,1.0471,-0.0283
75,0.75,105.529,108.878,13.310,9.916,8.724,10.365,26.892,9.194,0.9802,0.0023,1.0470,-0.0279
100,1.00,105.526,108.876,13.312,9.919,8.738,10.363,27.048,9.176,0.9802,0.0019,1.0471,-0.0278
125,1.25,105.529,108.875,13.310,9.920,8.758,10.365,26.835,9.190,0.9803,0.0018,1.0471,-0.0278
150,1.50,105.529,108.874,13.310,9.920,8.761,10.365,26.802,9.175,0.9802,0.0020,1.0471,-0.0278
175,1.75,105.530,108.875,13.309,9.919,8.761,10.366,26.801,9.188,0.9803,0.0021,1.0471,-0.0277
200,2.00,105.529,108.875,13.310,9.920,8.761,10.365,26.807,9.175,0.9802,0.0021,1.0471,-0.0276
225,2.25,105.531,108.875,13.308,9.919,8.761,10.365,26.799,9.188,0.9802,0.0020,1.0471,-0.0275
250,2.50,105.530,108.875,13.310,9.920,8.761,10.364,26.798,9.188,0.9802,0.0020,1.0470,-0.0272
275,2.75,105.532,108.875,13.307,9.920,8.763,10.368,26.798,9.184,0.9803,0.0020,1.0471,-0.0273
300,3.00,105.529,108.875,13.310,9.920,8.762,10.364,26.808,9.175,0.9802,0.0021,1.0471,-0.0276
325,3.25,105.530,108.876,13.309,9.919,8.761,10.363,26.801,9.192,0.9803,0.0020,1.0471,-0.0279
350,3.50,105.528,108.875,13.311,9.920,8.760,10.362,26.802,9.178,0.9802,0.0020,1.0471,-0.0281
375,3.75,105.530,108.876,13.309,9.919,8.761,10.364,26.794,9.190,0.9803,0.0020,1.0471,-0.0282
400,4.00,105.529,108.875,13.310,9.920,8.761,10.364,26.799,9.175,0.9802,0.0020,1.0471,-0.0283
425,4.25,105.530,108.875,13.309,9.919,8.761,10.365,26.795,9.189,0.9803,0.0020,1.0471,-0.0284
450,4.50,105.529,108.875,13.310,9.920,8.760,10.364,26.799,9.175,0.9802,0.0020,1.0471,-0.0284
475,4.75,105.530,108.875,13.309,9.919,8.760,10.365,26.794,9.189,0.9803,0.0020,1.0471,-0.0285
500,5.00,105.529,108.875,13.310,9.920,8.760,10.365,26.798,9.175,0.9802,0.0020,1.0471,-0.0284
525,5.25,105.530,108.875,13.309,9.920,8.761,10.366,26.794,9.189,0.9803,0.0020,1.0471,-0.0284
550,5.50,105.529,108.875,13.310,9.920,8.761,10.365,26.798,9.175,0.9802,0.0020,1.0471,-0.0283
575,5.75,105.531,108.875,13.308,9.920,8.761,10.366,26.794,9.188,0.9802,0.0020,1.0471,-0.0281
600,6.00,105.529,108.874,13.310,9.920,8.761,10.365,26.799,9.172,0.9802,0.0020,1.0471,-0.0278
625,6.25,105.533,108.875,13.306,9.920,8.762,10.369,26.799,9.185,0.9803,0.0020,1.0471,-0.0277
650,6.50,105.529,108.875,13.310,9.920,8.761,10.364,26.804,9.176,0.9802,0.0020,1.0471,-0.0278
675,6.75,105.530,108.876,13.309,9.919,8.761,10.364,26.797,9.190,0.9803,0.0020,1.0471,-0.0278
700,7.00,105.529,108.875,13.310,9.920,8.761,10.364,26.801,9.176,0.9802,0.0020,1.0471,-0.0278
725,7.25,105.531,108.875,13.308,9.920,8.761,10.365,26.797,9.189,0.9802,0.0020,1.0471,-0.0278
750,7.50,105.530,108.875,13.310,9.920,8.761,10.365,26.801,9.175,0.9802,0.0020,1.0471,-0.0277
775,7.75,105.529,108.876,13.310,9.919,8.761,10.363,26.799,9.187,0.9802,0.0020,1.0471,-0.0274
800,8.00,105.531,108.874,13.308,9.921,8.762,10.368,26.802,9.173,0.9802,0.0020,1.0471,-0.0273
825,8.25,105.531,108.875,13.308,9.920,8.762,10.366,26.802,9.187,0.9803,0.0020,1.0471,-0.0275
850,8.50,105.528,108.875,13.311,9.920,8.761,10.362,26.806,9.177,0.9802,0.0020,1.0471,-0.0278
875,8.75,105.530,108.876,13.309,9.919,8.760,10.363,26.796,9.193,0.9802,0.0020,1.0471,-0.0279
900,9.00,105.529,108.875,13.310,9.920,8.761,10.365,26.799,9.176,0.9802,0.0020,1.0471,-0.0278
925,9.25,105.532,108.875,13.307,9.920,8.762,10.368,26.797,9.195,0.9803,0.0020,1.0471,-0.0275
950,9.50,105.530,108.875,13.309,9.920,8.762,10.365,26.803,9.174,0.9802,0.0020,1.0471,-0.0277
975,9.75,105.530,108.875,13.309,9.919,8.761,10.365,26.799,9.190,0.9803,0.0020,1.0471,-0.0278
1000,10.00,105.529,108.875,13.311,9.920,8.761,10.363,26.803,9.175,0.9802,0.0020,1.0471,-0.0280
