load_kg,phase,probe_deg,j_abd_abd,j_abd_tho,j_tho_abd,j_tho_tho,determinant,condition,e0_abd,e0_tho,u_abd,u_tho,within_soft_bound,within_hard_bound
0,0.00,2.0,1.27629,0.18163,0.14539,1.15031,1.441723,1.338,-1.2326,-1.1822,0.8345,0.9222,1,1
0,0.25,2.0,1.25469,0.17489,0.13740,1.14663,1.414629,1.319,3.3969,1.5440,-2.5625,-1.0395,1,1
0,0.55,2.0,1.19028,0.12239,0.10340,1.10437,1.301859,1.235,7.6431,3.9814,-6.1094,-3.0331,0,1
0,0.80,2.0,1.18186,0.11170,0.09820,1.09505,1.283221,1.222,8.3341,4.3576,-6.7326,-3.3756,0,1
0,1.00,2.0,1.05158,0.10254,0.07056,1.08123,1.129762,1.179,8.5029,4.4321,-7.7353,-3.5944,0,1
25,0.00,2.0,1.47042,0.31867,0.25409,1.25368,1.762464,1.580,-6.9545,-5.5982,3.9347,3.6680,1,1
25,0.25,2.0,1.56701,0.39433,0.33574,1.31621,1.930128,1.731,2.2290,0.0402,-1.5118,0.3551,1,1
25,0.55,2.0,1.39052,0.27788,0.23673,1.22807,1.641872,1.519,10.8458,5.4564,-7.1889,-3.0573,0,1
25,0.80,2.0,1.35197,0.25293,0.21072,1.20744,1.579131,1.468,11.9735,6.1421,-8.1715,-3.6608,0,1
25,1.00,2.0,0.50982,-0.26900,0.18195,1.18334,0.652234,2.266,9.2805,5.6004,-19.1472,-1.7886,0,0
