GAM-11 PHASE 5H15 E2 COUPLED ABDOMEN-THORAX TARGET RESPONSE
Central difference on a +/-2 deg anatomical flexion bias, fresh reset per perturbation.
J[i][j] is d(actual_i) / d(target_bias_j), degrees per degree.
u is the offline solve of J u = -e0 for the bias that would zero the
reference miss. Bounds are the preload's own: soft 6 deg, hard 12 deg.

load  s_q    Jaa     Jat     Jta     Jtt      det    cond |   e0_abd  e0_tho |   u_abd   u_tho  bound
   0  0.00   1.276   0.182   0.145   1.150   1.4417    1.3 |    -1.23    -1.18 |    0.83    0.92  soft
   0  0.25   1.255   0.175   0.137   1.147   1.4146    1.3 |     3.40     1.54 |   -2.56   -1.04  soft
   0  0.55   1.190   0.122   0.103   1.104   1.3019    1.2 |     7.64     3.98 |   -6.11   -3.03  HARD
   0  0.80   1.182   0.112   0.098   1.095   1.2832    1.2 |     8.33     4.36 |   -6.73   -3.38  HARD
   0  1.00   1.052   0.103   0.071   1.081   1.1298    1.2 |     8.50     4.43 |   -7.74   -3.59  HARD
  25  0.00   1.470   0.319   0.254   1.254   1.7625    1.6 |    -6.95    -5.60 |    3.93    3.67  soft
  25  0.25   1.567   0.394   0.336   1.316   1.9301    1.7 |     2.23     0.04 |   -1.51    0.36  soft
  25  0.55   1.391   0.278   0.237   1.228   1.6419    1.5 |    10.85     5.46 |   -7.19   -3.06  HARD
  25  0.80   1.352   0.253   0.211   1.207   1.5791    1.5 |    11.97     6.14 |   -8.17   -3.66  HARD
  25  1.00   0.510  -0.269   0.182   1.183   0.6522    2.3 |     9.28     5.60 |  -19.15   -1.79  OVER
