load_kg,tick,sq,abd_nominal,abd_bias,abd_actual,abd_err,tho_nominal,tho_bias,tho_actual,tho_err,hip_nominal,hip_actual,hip_err,world_trunk,ref_trunk,trunk_err,support_length,heel_clr_l,heel_clr_r,com_ap,cop_ap,contacts,saddle_sep,saddle_attached,abd_demand,tho_demand
0,4,0.0120,0.172,0.667,-0.365,-0.537,0.262,0.826,-0.321,-0.584,-1.283,0.486,1.769,3.535,4.484,-0.948,0.29000,-0.00019,-0.00023,-0.02947,-0.03315,8,0.00000,0,0.0095,0.0166
0,8,0.0240,0.360,0.504,-0.304,-0.664,0.540,0.732,-0.326,-0.866,-2.593,0.731,3.324,3.573,5.057,-1.484,0.29000,-0.00019,-0.00023,-0.02938,-0.03180,8,0.00000,0,0.0105,0.0180
0,12,0.0360,0.554,0.340,-0.306,-0.860,0.832,0.638,-0.321,-1.153,-3.928,0.532,4.460,3.688,5.631,-1.943,0.29000,-0.00020,-0.00023,-0.02917,-0.02718,8,0.00000,0,0.0131,0.0205
0,16,0.0480,0.756,0.177,-0.329,-1.085,1.134,0.544,-0.283,-1.416,-5.286,0.000,5.286,3.894,6.204,-2.311,0.29000,-0.00020,-0.00023,-0.02897,-0.02545,8,0.00000,0,0.0134,0.0215
0,20,0.0600,0.963,0.000,-0.338,-1.301,1.445,0.449,-0.206,-1.651,-6.666,-0.774,5.892,4.167,6.822,-2.655,0.29000,-0.00020,-0.00023,-0.02879,-0.02771,8,0.00000,0,0.0135,0.0217
0,24,0.0720,1.176,-0.143,-0.324,-1.500,1.765,0.354,-0.088,-1.853,-8.068,-1.702,6.366,4.489,7.448,-2.959,0.29000,-0.00021,-0.00023,-0.02857,-0.03511,8,0.00000,0,0.0126,0.0209
0,28,0.0840,1.393,-0.309,-0.288,-1.681,2.089,0.259,0.056,-2.033,-9.488,-2.759,6.730,4.875,8.075,-3.200,0.29000,-0.00020,-0.00023,-0.02828,-0.02234,8,0.00000,0,0.0137,0.0225
0,32,0.0960,1.611,-0.471,-0.231,-1.842,2.417,0.168,0.250,-2.167,-10.924,-3.969,6.955,5.355,8.701,-3.347,0.29000,-0.00021,-0.00023,-0.02806,-0.02586,8,0.00000,0,0.0130,0.0214
0,36,0.1080,1.830,-0.634,-0.125,-1.955,2.746,0.069,0.488,-2.258,-12.374,-5.309,7.066,5.939,9.339,-3.400,0.29000,-0.00021,-0.00023,-0.02796,-0.02666,8,0.00000,0,0.0111,0.0203
0,40,0.1200,2.049,-0.797,0.040,-2.009,3.074,0.000,0.772,-2.301,-13.837,-6.711,7.126,6.584,9.982,-3.398,0.29000,-0.00021,-0.00023,-0.02798,-0.02921,8,0.00000,0,0.0091,0.0188
0,44,0.1320,2.266,-0.959,0.247,-2.019,3.398,-0.112,1.090,-2.308,-15.312,-8.161,7.150,7.267,10.625,-3.358,0.29000,-0.00021,-0.00023,-0.02803,-0.03039,8,0.00000,0,0.0071,0.0171
0,48,0.1440,2.479,-1.123,0.476,-2.002,3.718,-0.209,1.428,-2.290,-16.795,-9.644,7.151,7.974,11.268,-3.294,0.29000,-0.00021,-0.00023,-0.02812,-0.03093,8,0.00000,0,0.0054,0.0155
0,52,0.1560,2.687,-1.285,0.720,-1.967,4.030,-0.301,1.776,-2.254,-18.286,-11.155,7.131,8.695,11.902,-3.207,0.29000,-0.00021,-0.00023,-0.02821,-0.03035,8,0.00000,0,0.0043,0.0140
0,56,0.1680,2.890,-1.448,0.968,-1.922,4.334,-0.396,2.128,-2.206,-19.781,-12.686,7.095,9.422,12.526,-3.104,0.29000,-0.00021,-0.00023,-0.02830,-0.03120,8,0.00000,0,0.0040,0.0124
0,60,0.1800,3.085,-1.611,1.218,-1.867,4.627,-0.491,2.479,-2.148,-21.281,-14.235,7.046,10.150,13.150,-3.000,0.29000,-0.00021,-0.00023,-0.02839,-0.03114,8,0.00000,0,0.0050,0.0106
0,64,0.1920,3.270,-1.773,1.465,-1.805,4.905,-0.586,2.827,-2.077,-22.782,-15.796,6.986,10.878,13.774,-2.896,0.29000,-0.00020,-0.00022,-0.02847,-0.03039,8,0.00000,0,0.0065,0.0089
0,68,0.2040,3.445,-1.936,1.707,-1.738,5.167,-0.680,3.170,-1.997,-24.282,-17.365,6.917,11.602,14.380,-2.778,0.29000,-0.00020,-0.00022,-0.02855,-0.03190,8,0.00000,0,0.0084,0.0069
0,72,0.2160,3.609,-2.099,1.944,-1.665,5.413,-0.773,3.506,-1.907,-25.781,-18.944,6.837,12.320,14.948,-2.629,0.29000,-0.00020,-0.00022,-0.02862,-0.03182,8,0.00000,0,0.0105,0.0051
0,76,0.2280,3.760,-2.262,2.173,-1.587,5.640,-0.868,3.829,-1.810,-27.276,-20.528,6.748,13.032,15.517,-2.486,0.29000,-0.00020,-0.00022,-0.02866,-0.03089,8,0.00000,0,0.0126,0.0032
0,80,0.2400,3.897,-2.424,2.393,-1.505,5.845,-0.961,4.142,-1.703,-28.765,-22.116,6.649,13.739,16.086,-2.347,0.29000,-0.00019,-0.00021,-0.02871,-0.03016,8,0.00000,0,0.0152,0.0008
0,84,0.2520,4.018,-2.584,2.602,-1.416,6.026,-1.053,4.443,-1.584,-30.253,-23.704,6.549,14.436,16.655,-2.219,0.29000,-0.00019,-0.00021,-0.02877,-0.03175,8,0.00000,0,0.0168,0.0009
0,88,0.2640,4.131,-2.725,2.801,-1.330,6.195,-1.133,4.719,-1.476,-31.801,-25.256,6.545,15.106,17.224,-2.118,0.29000,-0.00019,-0.00021,-0.02882,-0.03222,8,0.00000,0,0.0190,0.0023
0,92,0.2760,4.240,-2.868,2.983,-1.257,6.359,-1.212,4.974,-1.385,-33.440,-26.767,6.673,15.750,17.792,-2.042,0.29000,-0.00018,-0.00020,-0.02885,-0.03079,8,0.00000,0,0.0203,0.0033
0,96,0.2880,4.346,-3.010,3.134,-1.212,6.518,-1.292,5.199,-1.319,-35.163,-28.284,6.878,16.382,18.361,-1.979,0.29000,-0.00018,-0.00020,-0.02885,-0.03228,8,0.00000,0,0.0214,0.0040
0,100,0.3000,4.449,-3.152,3.269,-1.180,6.672,-1.372,5.403,-1.270,-36.960,-29.837,7.123,17.005,18.930,-1.925,0.29000,-0.00017,-0.00019,-0.02882,-0.02955,8,0.00000,0,0.0226,0.0049
0,104,0.3120,4.549,-3.294,3.378,-1.171,6.821,-1.451,5.585,-1.237,-38.833,-31.430,7.403,17.636,19.561,-1.926,0.29000,-0.00017,-0.00019,-0.02879,-0.03048,8,0.00000,0,0.0236,0.0055
0,108,0.3240,4.645,-3.436,3.483,-1.162,6.966,-1.531,5.752,-1.213,-40.764,-33.086,7.678,18.272,20.192,-1.920,0.29000,-0.00017,-0.00019,-0.02871,-0.02586,8,0.00000,0,0.0257,0.0063
0,112,0.3360,4.738,-3.578,3.570,-1.168,7.106,-1.611,5.908,-1.198,-42.744,-34.800,7.944,18.914,20.824,-1.910,0.29000,-0.00016,-0.00018,-0.02861,-0.03184,8,0.00000,0,0.0267,0.0078
0,116,0.3480,4.829,-3.720,3.655,-1.174,7.241,-1.690,6.049,-1.193,-44.765,-36.575,8.190,19.571,21.455,-1.884,0.29000,-0.00016,-0.00018,-0.02847,-0.02497,8,0.00000,0,0.0279,0.0075
0,120,0.3600,4.917,-3.862,3.726,-1.191,7.373,-1.769,6.190,-1.183,-46.819,-38.451,8.368,20.269,22.102,-1.833,0.29000,-0.00015,-0.00017,-0.02834,-0.02474,8,0.00000,0,0.0283,0.0084
0,124,0.3720,5.001,-4.004,3.809,-1.192,7.500,-1.849,6.333,-1.167,-48.901,-40.406,8.495,21.011,22.752,-1.742,0.29000,-0.00015,-0.00017,-0.02830,-0.02394,8,0.00000,0,0.0305,0.0097
0,128,0.3840,5.084,-4.146,3.912,-1.171,7.623,-1.929,6.484,-1.139,-50.998,-42.418,8.581,21.778,23.403,-1.625,0.29000,-0.00015,-0.00017,-0.02833,-0.02378,8,0.00000,0,0.0327,0.0110
0,132,0.3960,5.163,-4.288,4.029,-1.134,7.742,-2.008,6.642,-1.100,-53.103,-44.488,8.614,22.565,24.053,-1.489,0.29000,-0.00015,-0.00016,-0.02839,-0.02346,8,0.00000,0,0.0346,0.0122
0,136,0.4080,5.241,-4.430,4.148,-1.092,7.858,-2.088,6.800,-1.059,-55.206,-46.599,8.607,23.363,24.692,-1.329,0.29000,-0.00014,-0.00016,-0.02851,-0.02518,8,0.00000,0,0.0365,0.0134
0,140,0.4200,5.315,-4.572,4.275,-1.040,7.970,-2.168,6.956,-1.014,-57.301,-48.748,8.553,24.165,25.326,-1.161,0.29000,-0.00014,-0.00016,-0.02865,-0.02449,8,0.00000,0,0.0386,0.0147
0,144,0.4320,5.388,-4.714,4.394,-0.994,8.079,-2.247,7.107,-0.972,-59.376,-50.914,8.461,24.963,25.960,-0.997,0.29000,-0.00014,-0.00016,-0.02880,-0.02796,8,0.00000,0,0.0403,0.0157
0,148,0.4440,5.458,-4.856,4.524,-0.934,8.184,-2.327,7.258,-0.927,-61.423,-53.117,8.306,25.757,26.593,-0.836,0.29000,-0.00014,-0.00015,-0.02891,-0.02333,8,0.00000,0,0.0424,0.0170
0,152,0.4560,5.526,-4.998,4.632,-0.894,8.287,-2.406,7.399,-0.887,-63.436,-55.307,8.129,26.545,27.199,-0.654,0.29000,-0.00015,-0.00016,-0.02905,-0.03313,8,0.00000,0,0.0433,0.0179
0,156,0.4680,5.592,-5.140,4.759,-0.833,8.386,-2.486,7.543,-0.843,-65.406,-57.519,7.887,27.322,27.778,-0.456,0.29000,-0.00014,-0.00015,-0.02915,-0.02864,8,0.00000,0,0.0455,0.0193
0,160,0.4800,5.657,-5.282,4.871,-0.785,8.482,-2.566,7.677,-0.805,-67.325,-59.713,7.612,28.089,28.356,-0.267,0.29000,-0.00014,-0.00015,-0.02928,-0.02559,8,0.00000,0,0.0480,0.0203
0,164,0.4920,5.719,-5.424,4.983,-0.736,8.575,-2.645,7.814,-0.761,-69.176,-61.885,7.291,28.841,28.934,-0.094,0.29000,-0.00014,-0.00015,-0.02941,-0.03466,8,0.00000,0,0.0486,0.0213
0,168,0.5040,5.780,-5.566,5.090,-0.690,8.666,-2.725,7.939,-0.727,-70.958,-64.042,6.916,29.569,29.482,0.087,0.29000,-0.00014,-0.00015,-0.02953,-0.03434,8,0.00000,0,0.0505,0.0223
0,172,0.5160,5.839,-5.708,5.206,-0.633,8.755,-2.804,8.068,-0.686,-72.663,-66.167,6.497,30.273,29.966,0.306,0.29000,-0.00014,-0.00015,-0.02960,-0.03066,8,0.00000,0,0.0525,0.0235
0,176,0.5280,5.896,-5.850,5.308,-0.588,8.841,-2.884,8.190,-0.651,-74.284,-68.244,6.040,30.955,30.451,0.504,0.29000,-0.00014,-0.00014,-0.02970,-0.02641,8,0.00000,0,0.0548,0.0244
0,180,0.5400,5.952,-5.992,5.412,-0.541,8.925,-2.964,8.310,-0.615,-75.811,-70.275,5.536,31.608,30.936,0.672,0.29000,-0.00014,-0.00014,-0.02980,-0.02832,8,0.00000,0,0.0566,0.0257
0,184,0.5520,6.005,-6.115,5.509,-0.495,9.003,-3.033,8.423,-0.581,-77.196,-72.227,4.968,32.228,31.373,0.855,0.29000,-0.00013,-0.00014,-0.02989,-0.02916,8,0.00000,0,0.0559,0.0255
0,188,0.5640,6.039,-6.145,5.510,-0.529,9.054,-3.049,8.501,-0.553,-78.251,-74.259,3.992,32.816,31.572,1.244,0.29000,-0.00013,-0.00013,-0.02992,-0.02379,8,0.00000,0,0.0527,0.0255
0,192,0.5760,6.049,-6.174,5.517,-0.532,9.069,-3.066,8.582,-0.487,-78.933,-76.256,2.677,33.379,31.772,1.608,0.29000,-0.00014,-0.00014,-0.02996,-0.03288,8,0.00000,0,0.0547,0.0273
0,196,0.5880,6.042,-6.204,5.644,-0.399,9.060,-3.083,8.701,-0.359,-79.353,-78.059,1.294,33.896,31.971,1.925,0.29000,-0.00015,-0.00015,-0.03001,-0.03510,8,0.00000,0,0.0597,0.0305
0,200,0.6000,6.026,-6.234,5.862,-0.164,9.036,-3.100,8.861,-0.175,-79.624,-79.620,0.003,34.371,32.170,2.201,0.29000,-0.00015,-0.00016,-0.03006,-0.02823,8,0.00000,0,0.0653,0.0336
0,204,0.6120,6.008,-6.264,6.120,0.112,9.008,-3.117,9.033,0.025,-79.867,-80.865,-0.998,34.795,32.254,2.541,0.29000,-0.00016,-0.00016,-0.03014,-0.02970,8,0.00000,0,0.0687,0.0356
0,208,0.6240,5.995,-6.293,6.389,0.393,8.989,-3.133,9.197,0.208,-80.213,-81.776,-1.563,35.148,32.338,2.810,0.29000,-0.00016,-0.00016,-0.03019,-0.03113,8,0.00000,0,0.0716,0.0368
0,212,0.6360,5.996,-6.323,6.614,0.619,8.990,-3.150,9.326,0.337,-80.774,-82.372,-1.598,35.417,32.422,2.995,0.29000,-0.00016,-0.00017,-0.03018,-0.03077,8,0.00000,0,0.0717,0.0365
0,216,0.6480,6.010,-6.353,6.721,0.711,9.011,-3.167,9.395,0.385,-81.579,-82.796,-1.217,35.612,32.506,3.106,0.29000,-0.00014,-0.00015,-0.03012,-0.02693,8,0.00000,0,0.0687,0.0347
0,220,0.6600,6.030,-6.383,6.682,0.652,9.041,-3.184,9.381,0.340,-82.520,-83.162,-0.642,35.734,32.666,3.068,0.29000,-0.00013,-0.00014,-0.03003,-0.02277,8,0.00000,0,0.0648,0.0324
0,224,0.6720,6.055,-6.413,6.513,0.458,9.079,-3.201,9.303,0.224,-83.563,-83.564,-0.001,35.797,32.841,2.956,0.29000,-0.00013,-0.00013,-0.02992,-0.03075,8,0.00000,0,0.0592,0.0295
0,228,0.6840,6.083,-6.442,6.295,0.213,9.120,-3.218,9.183,0.063,-84.679,-84.056,0.623,35.812,33.016,2.796,0.29000,-0.00012,-0.00013,-0.02979,-0.02846,8,0.00000,0,0.0573,0.0278
0,232,0.6960,6.113,-6.472,6.071,-0.042,9.165,-3.234,9.063,-0.103,-85.855,-84.673,1.183,35.813,33.192,2.621,0.29000,-0.00011,-0.00012,-0.02966,-0.02420,8,0.00000,0,0.0551,0.0263
0,236,0.7080,6.145,-6.502,5.850,-0.295,9.213,-3.251,8.942,-0.271,-87.077,-85.403,1.674,35.827,33.376,2.451,0.29000,-0.00012,-0.00012,-0.02961,-0.02385,8,0.00000,0,0.0545,0.0252
0,240,0.7200,6.177,-6.532,5.689,-0.488,9.262,-3.268,8.859,-0.403,-88.331,-86.275,2.056,35.869,33.566,2.303,0.29000,-0.00012,-0.00012,-0.02959,-0.02093,8,0.00000,0,0.0542,0.0250
0,244,0.7320,6.211,-6.561,5.557,-0.654,9.312,-3.285,8.798,-0.513,-89.603,-87.242,2.361,35.954,33.756,2.199,0.29000,-0.00013,-0.00013,-0.02968,-0.03383,8,0.00000,0,0.0533,0.0246
0,248,0.7440,6.243,-6.591,5.501,-0.742,9.360,-3.302,8.780,-0.581,-90.875,-88.331,2.543,36.076,33.945,2.131,0.29000,-0.00013,-0.00013,-0.02978,-0.03187,8,0.00000,0,0.0542,0.0253
0,252,0.7560,6.275,-6.621,5.485,-0.790,9.408,-3.318,8.792,-0.616,-92.133,-89.504,2.629,36.243,34.122,2.121,0.29000,-0.00013,-0.00013,-0.02994,-0.03311,8,0.00000,0,0.0550,0.0258
0,256,0.7680,6.305,-6.651,5.515,-0.789,9.453,-3.335,8.832,-0.621,-93.364,-90.743,2.621,36.442,34.285,2.157,0.29000,-0.00014,-0.00014,-0.03015,-0.03377,8,0.00000,0,0.0566,0.0267
0,260,0.7800,6.332,-6.680,5.580,-0.752,9.494,-3.352,8.895,-0.599,-94.553,-92.032,2.521,36.664,34.448,2.216,0.29000,-0.00014,-0.00014,-0.03038,-0.03402,8,0.00000,0,0.0581,0.0278
0,264,0.7920,6.357,-6.710,5.665,-0.691,9.530,-3.369,8.972,-0.559,-95.677,-93.348,2.329,36.900,34.611,2.288,0.29000,-0.00014,-0.00014,-0.03063,-0.03621,8,0.00000,0,0.0597,0.0287
0,268,0.8040,6.377,-6.750,5.773,-0.604,9.561,-3.384,9.057,-0.503,-96.728,-94.679,2.049,37.139,34.755,2.383,0.29000,-0.00014,-0.00014,-0.03083,-0.03621,8,0.00000,0,0.0621,0.0293
0,272,0.8160,6.393,-6.811,5.894,-0.498,9.585,-3.397,9.145,-0.440,-97.692,-96.006,1.686,37.378,34.861,2.518,0.29000,-0.00015,-0.00015,-0.03101,-0.03656,8,0.00000,0,0.0638,0.0305
0,276,0.8280,6.404,-6.871,6.025,-0.379,9.602,-3.409,9.243,-0.359,-98.589,-97.287,1.303,37.605,34.966,2.639,0.29000,-0.00015,-0.00015,-0.03113,-0.03746,8,0.00000,0,0.0659,0.0318
0,280,0.8400,6.413,-6.932,6.168,-0.244,9.615,-3.422,9.351,-0.263,-99.479,-98.492,0.987,37.814,35.072,2.742,0.29000,-0.00016,-0.00015,-0.03120,-0.03546,8,0.00000,0,0.0683,0.0332
0,284,0.8520,6.418,-6.993,6.300,-0.119,9.623,-3.435,9.460,-0.163,-100.376,-99.619,0.757,38.007,35.172,2.834,0.29000,-0.00015,-0.00015,-0.03123,-0.03415,8,0.00000,0,0.0694,0.0341
