load_kg,phase,settled,abd_nominal,abd_bias,abd_final,abd_actual,abd_error,abd_omega_deg_s,abd_alpha_deg_s2,abd_demand,abd_max_force,abd_solver_torque_x,tho_nominal,tho_bias,tho_final,tho_actual,tho_error,tho_omega_deg_s,tho_alpha_deg_s2,tho_demand,tho_max_force,tho_solver_torque_x,hip_nominal,hip_actual,tau_g_abd_body,tau_g_abd_bar,tau_g_abd_total,tau_g_tho_body,tau_g_tho_bar,tau_g_tho_total,world_trunk_pitch,com_ap,support_min,support_max,support_length,cop_ap,contacts,saddle_sep,saddle_attached
0,0.00,1,0.0000,0.0000,0.0000,-1.2326,-1.2326,0.3624,6.213,0.01195,1482.0,-0.022,0.0000,0.0000,0.0000,-1.1822,-1.1822,1.2705,14.713,0.01003,1482.0,0.000,0.0000,-0.1418,-10.27,0.00,-10.27,-14.60,0.00,-14.60,3.006,-0.02851,-0.15472,0.13528,0.29000,-0.02793,8,0.00000,0
0,0.25,1,3.9994,0.0000,3.9994,7.3943,3.3949,0.6260,42.966,0.03173,1482.0,-0.022,5.9978,0.0000,5.9978,7.5408,1.5429,0.6916,4.849,0.01520,1482.0,0.000,-30.0000,-32.2965,40.53,0.00,40.53,22.79,0.00,22.79,20.767,-0.02981,-0.15472,0.13528,0.29000,-0.02986,8,0.00000,0
0,0.55,1,5.9978,0.0000,5.9978,13.6255,7.6277,0.4278,78.070,0.07187,1482.0,-0.021,8.9931,0.0000,8.9931,12.9654,3.9724,0.5262,8.712,0.03791,1482.0,0.000,-77.0000,-81.4960,88.30,0.00,88.30,56.51,0.00,56.51,40.853,-0.03107,-0.15472,0.13528,0.29000,-0.03139,8,0.00000,0
0,0.80,1,6.3709,0.0000,6.3709,14.7052,8.3344,0.6528,90.431,0.07875,1482.0,-0.019,9.5518,0.0000,9.5518,13.9096,4.3578,0.5615,15.311,0.04154,1482.0,0.000,-96.3935,-101.2308,96.04,0.00,96.04,61.90,0.00,61.90,44.727,-0.03138,-0.15472,0.13528,0.29000,-0.03172,8,0.00000,0
0,1.00,1,6.3975,0.0000,6.3975,14.9003,8.5029,0.9562,101.584,0.08058,1482.0,-0.016,9.5916,0.0000,9.5916,14.0238,4.4322,0.5941,20.710,0.04225,1482.0,0.000,-111.0000,-115.8710,97.59,0.00,97.59,62.95,0.00,62.95,45.560,-0.02612,-0.15472,0.13528,0.29000,-0.02649,8,0.00000,0
25,0.00,1,0.0000,0.0000,0.0000,-6.9541,-6.9541,3.2500,27.338,0.04998,1852.5,-0.052,0.0000,0.0000,0.0000,-5.5990,-5.5990,0.8094,18.032,0.04278,1852.5,0.000,0.0000,1.9476,-32.13,-48.27,-80.40,-30.91,-47.62,-78.53,-3.948,-0.04761,-0.15472,0.13528,0.29000,-0.04712,8,0.00651,1
25,0.25,1,3.9994,0.0000,3.9994,6.2107,2.2113,2.2136,39.434,0.01514,1852.5,-0.051,5.9978,0.0000,5.9978,6.0266,0.0288,0.9284,9.744,0.00094,1852.5,0.000,-30.0000,-32.1234,34.20,-7.17,27.04,18.11,-15.79,2.31,18.371,-0.04679,-0.15472,0.13528,0.29000,-0.04660,8,0.00585,1
25,0.55,1,5.9978,0.0000,5.9978,16.8125,10.8146,4.4169,75.878,0.07832,1852.5,-0.039,8.9931,0.0000,8.9931,14.4288,5.4357,2.5492,11.359,0.04300,1852.5,0.000,-77.0000,-83.1779,92.95,37.28,130.23,60.38,19.83,80.20,41.837,-0.04652,-0.15472,0.13528,0.29000,-0.04663,8,0.00393,1
25,0.80,1,6.3709,0.0000,6.3709,18.3616,11.9908,4.2318,86.826,0.08736,1852.5,-0.036,9.5518,0.0000,9.5518,15.7097,6.1579,2.9484,21.435,0.04871,1852.5,0.000,-96.3935,-103.0839,100.34,43.80,144.14,65.59,25.18,90.77,45.529,-0.04546,-0.15472,0.13528,0.29000,-0.04556,8,0.00335,1
25,1.00,1,6.3975,0.0000,6.3492,15.6832,9.2857,1.7151,133.726,0.06958,1852.5,0.046,9.5916,0.0000,9.5433,15.1975,5.6059,1.7141,38.359,0.04147,1852.5,0.087,-111.0000,-115.8619,94.15,38.51,132.66,61.48,21.02,82.50,42.680,-0.03990,-0.15472,0.13528,0.29000,-0.03986,8,0.00370,1
