GAM-11 PHASE 5H16 B3 VISUAL GATE, SHIPPED CONFIGURATION
Standing spine knot qualified and gravity-bias rate feedforward on.

  tag                      s_q   abdErr  thoErr  trunk   refTrunk  trunkErr  support
  h16_0kg_sq0.00          0.00   -0.54   -0.39    3.58      3.91     -0.33   0.2900
  h16_0kg_sq0.10          0.10   -1.91   -2.22    5.64      9.02     -3.38   0.2900
  h16_0kg_sq0.25          0.25   -1.42   -1.58   14.44     16.65     -2.22   0.2900
  h16_0kg_sq0.55          0.55   -0.50   -0.58   32.23     31.37      0.85   0.2900
  h16_0kg_sq0.80          0.80   -0.62   -0.52   37.08     34.73      2.35   0.2900
  h16_0kg_sq1.00          1.00   -0.58   -0.09   38.34     35.97      2.37   0.2900

  h16_25kg_sq0.00         0.00   -0.77   -0.67    1.99      3.91     -1.92   0.2900
  h16_25kg_sq0.10         0.10   -2.23   -2.40    4.12      9.02     -4.89   0.2900
  h16_25kg_sq0.25         0.25   -1.96   -1.93   12.63     16.65     -4.02   0.2900
  h16_25kg_sq0.55         0.55   -0.97   -0.88   30.10     31.37     -1.27   0.2900
  h16_25kg_sq0.80         0.80   -1.19   -0.84   34.57     34.73     -0.16   0.2900
  h16_25kg_sq1.00         1.00   -0.22   -0.13   35.82     35.97     -0.15   0.2900

