load_kg,case,sq,abd_err,tho_err,world_trunk,ref_trunk,trunk_err,hip_err,support_length,contacts,abd_target_rate,tho_target_rate,abd_actual_rate,abd_demand,com_ap,cop_ap,saddle_sep
0,F00,0.0000,-1.7870,-1.5811,2.2559,3.9100,-1.6541,0.0969,0.29000,8,0.00000,0.00000,0.05294,0.0142,-0.02928,-0.03333,0.00000
0,F00,0.1020,-3.3865,-3.4195,4.1726,9.0172,-4.8446,7.1565,0.29000,8,0.09568,0.14350,0.06226,0.0242,-0.02820,-0.03153,0.00000
0,F00,0.2520,-2.2748,-2.1585,13.5891,16.6548,-3.0657,6.6708,0.29000,8,0.04960,0.07435,0.11407,0.0077,-0.02908,-0.02605,0.00000
0,F00,0.5520,-0.9916,-0.8652,31.7887,31.3732,0.4155,5.0128,0.29000,8,0.01797,0.02694,0.04389,0.0498,-0.03009,-0.03359,0.00000
0,F00,0.8010,-0.7288,-0.5738,36.9753,34.7288,2.2464,2.1394,0.29000,8,0.00784,0.01174,0.05203,0.0592,-0.03099,-0.03585,0.00000
0,F00,1.0000,-0.7718,-0.1449,38.2155,35.9700,2.2454,-0.1446,0.29000,8,-0.00027,-0.00040,-0.00756,0.0653,-0.03114,-0.02837,0.00000
0,F10,0.0000,-0.5264,-0.3795,3.6026,3.9100,-0.3074,-0.0685,0.29000,8,0.00000,0.00000,0.05373,0.0102,-0.02937,-0.02974,0.00000
0,F10,0.1020,-2.4221,-2.5252,5.1975,9.0172,-3.8197,7.0371,0.29000,8,0.09568,0.14350,0.03795,0.0213,-0.02797,-0.02318,0.00000
0,F10,0.2520,-2.0184,-1.9420,13.8874,16.6548,-2.7674,6.6142,0.29000,8,0.04960,0.07435,0.08629,0.0083,-0.02877,-0.03127,0.00000
0,F10,0.5520,-0.9891,-0.8670,31.8038,31.3732,0.4306,5.0091,0.29000,8,0.01797,0.02694,0.05855,0.0507,-0.02983,-0.02579,0.00000
0,F10,0.8010,-0.7447,-0.5854,36.9536,34.7288,2.2248,2.1509,0.29000,8,0.00784,0.01174,0.04923,0.0589,-0.03098,-0.03698,0.00000
0,F10,1.0000,-0.7636,-0.1370,38.2397,35.9700,2.2697,-0.1510,0.29000,8,-0.00027,-0.00040,-0.01816,0.0647,-0.03098,-0.02926,0.00000
0,F01,0.0000,-1.7471,-1.5552,2.3400,3.9100,-1.5700,0.0685,0.29000,8,0.00000,0.00000,0.04975,0.0139,-0.02882,-0.03504,0.00000
0,F01,0.1020,-2.9951,-3.2456,4.5157,9.0172,-4.5015,7.1290,0.29000,8,0.04206,0.12172,0.07051,0.0172,-0.02793,-0.02641,0.00000
0,F01,0.2520,-1.8236,-1.9506,14.0043,16.6548,-2.6505,6.6205,0.29000,8,-0.01236,0.03962,0.11422,0.0149,-0.02870,-0.02430,0.00000
0,F01,0.5520,-0.4860,-0.5738,32.2250,31.3732,0.8518,4.9619,0.29000,8,0.00499,0.01960,0.05358,0.0559,-0.03003,-0.02813,0.00000
0,F01,0.8010,-0.6391,-0.5262,37.0500,34.7288,2.3212,2.1360,0.29000,8,-0.01860,0.00624,0.05878,0.0619,-0.03080,-0.03298,0.00000
0,F01,1.0000,-0.5749,-0.0895,38.3426,35.9700,2.3726,-0.1596,0.29000,8,-0.02671,-0.00590,-0.00647,0.0687,-0.03114,-0.02726,0.00000
0,F11,0.0000,-0.5005,-0.3605,3.6476,3.9100,-0.2624,-0.0791,0.29000,8,0.00000,0.00000,0.05205,0.0101,-0.02928,-0.03190,0.00000
0,F11,0.1020,-1.9188,-2.2273,5.6224,9.0172,-3.3948,7.0276,0.29000,8,0.02468,0.10245,0.04637,0.0123,-0.02794,-0.02644,0.00000
0,F11,0.2520,-1.4109,-1.5813,14.4497,16.6548,-2.2051,6.5447,0.29000,8,-0.01236,0.03962,0.08499,0.0170,-0.02866,-0.02942,0.00000
0,F11,0.5520,-0.4946,-0.5785,32.2162,31.3732,0.8430,4.9664,0.29000,8,0.00499,0.01960,0.04457,0.0553,-0.03003,-0.03273,0.00000
0,F11,0.8010,-0.6331,-0.5218,37.0719,34.7288,2.3431,2.1351,0.29000,8,-0.01860,0.00624,0.06583,0.0624,-0.03072,-0.03000,0.00000
0,F11,1.0000,-0.5698,-0.0853,38.3136,35.9700,2.3436,-0.1580,0.29000,8,-0.02671,-0.00590,-0.02801,0.0675,-0.03147,-0.03481,0.00000
25,F00,0.0000,-8.0338,-6.5642,-5.5982,3.9100,-9.5082,2.5158,0.29000,8,0.00000,0.00000,0.01324,0.0600,-0.04730,-0.06187,0.00824
25,F00,0.1020,-9.3319,-7.7949,-3.2483,9.0172,-12.2655,9.4023,0.29000,8,0.09568,0.14350,0.18789,0.0615,-0.04846,-0.05495,0.00674
25,F00,0.2520,-5.2378,-4.1731,9.2448,16.6548,-7.4101,7.9546,0.29000,8,0.04960,0.07435,0.24002,0.0193,-0.04857,-0.05036,0.00634
25,F00,0.5520,-1.9196,-1.4819,29.3654,31.3732,-2.0078,4.6022,0.29000,8,0.01797,0.02694,0.01495,0.0397,-0.04788,-0.04410,0.00525
25,F00,0.8010,-1.3539,-0.9533,34.5032,34.7288,-0.2256,1.4208,0.29000,8,0.00784,0.01174,0.00070,0.0511,-0.04838,-0.05366,0.00473
25,F00,1.0000,-0.1733,-0.1108,35.9553,35.9700,-0.0147,-1.0502,0.29000,8,-0.00027,-0.00040,-0.02245,0.0593,-0.04837,-0.04535,0.00459
25,F10,0.0000,-0.7370,-0.6453,2.1601,3.9100,-1.7499,1.1487,0.29000,8,0.00000,0.00000,0.05051,0.0329,-0.04634,-0.05327,0.00734
25,F10,0.1020,-3.0708,-2.9351,3.4670,9.0172,-5.5502,8.1525,0.29000,8,0.09568,0.14350,0.01787,0.0397,-0.04545,-0.04131,0.00653
25,F10,0.2520,-3.1479,-2.6749,11.6346,16.6548,-5.0202,7.3100,0.29000,8,0.04960,0.07435,0.07834,0.0111,-0.04641,-0.04805,0.00615
25,F10,0.5520,-1.9469,-1.5006,29.3428,31.3732,-2.0304,4.6078,0.29000,8,0.01797,0.02694,0.01412,0.0394,-0.04798,-0.04531,0.00513
25,F10,0.8010,-1.3223,-0.9341,34.5517,34.7288,-0.1771,1.3915,0.29000,8,0.00784,0.01174,0.02077,0.0523,-0.04840,-0.04504,0.00461
