GAM-11 PHASE 5H16 B2 FACTORIAL: STANDING BIAS x GRAVITY-BIAS RATE
Fresh reset per run, identical driven descent, production balance on.
  F00 H15 as shipped   F10 standing bias   F01 rate   F11 both
trunkErr is world pitch minus the GAM-10 reference pitch at that phase.

--- load 0 kg ---
  case  s_q    abdErr  thoErr  trunkErr |  hipErr  support  contacts
  F00   0.00    -1.79   -1.58     -1.65 |    0.10   0.2900         8
  F00   0.10    -3.39   -3.42     -4.84 |    7.16   0.2900         8
  F00   0.25    -2.27   -2.16     -3.07 |    6.67   0.2900         8
  F00   0.55    -0.99   -0.87      0.42 |    5.01   0.2900         8
  F00   0.80    -0.73   -0.57      2.25 |    2.14   0.2900         8
  F00   1.00    -0.77   -0.14      2.25 |   -0.14   0.2900         8
  F10   0.00    -0.53   -0.38     -0.31 |   -0.07   0.2900         8
  F10   0.10    -2.42   -2.53     -3.82 |    7.04   0.2900         8
  F10   0.25    -2.02   -1.94     -2.77 |    6.61   0.2900         8
  F10   0.55    -0.99   -0.87      0.43 |    5.01   0.2900         8
  F10   0.80    -0.74   -0.59      2.22 |    2.15   0.2900         8
  F10   1.00    -0.76   -0.14      2.27 |   -0.15   0.2900         8
  F01   0.00    -1.75   -1.56     -1.57 |    0.07   0.2900         8
  F01   0.10    -3.00   -3.25     -4.50 |    7.13   0.2900         8
  F01   0.25    -1.82   -1.95     -2.65 |    6.62   0.2900         8
  F01   0.55    -0.49   -0.57      0.85 |    4.96   0.2900         8
  F01   0.80    -0.64   -0.53      2.32 |    2.14   0.2900         8
  F01   1.00    -0.57   -0.09      2.37 |   -0.16   0.2900         8
  F11   0.00    -0.50   -0.36     -0.26 |   -0.08   0.2900         8
  F11   0.10    -1.92   -2.23     -3.39 |    7.03   0.2900         8
  F11   0.25    -1.41   -1.58     -2.21 |    6.54   0.2900         8
  F11   0.55    -0.49   -0.58      0.84 |    4.97   0.2900         8
  F11   0.80    -0.63   -0.52      2.34 |    2.14   0.2900         8
  F11   1.00    -0.57   -0.09      2.34 |   -0.16   0.2900         8

--- load 25 kg ---
  case  s_q    abdErr  thoErr  trunkErr |  hipErr  support  contacts
  F00   0.00    -8.03   -6.56     -9.51 |    2.52   0.2900         8
  F00   0.10    -9.33   -7.79    -12.27 |    9.40   0.2900         8
  F00   0.25    -5.24   -4.17     -7.41 |    7.95   0.2900         8
  F00   0.55    -1.92   -1.48     -2.01 |    4.60   0.2900         8
  F00   0.80    -1.35   -0.95     -0.23 |    1.42   0.2900         8
  F00   1.00    -0.17   -0.11     -0.01 |   -1.05   0.2900         8
  F10   0.00    -0.74   -0.65     -1.75 |    1.15   0.2900         8
  F10   0.10    -3.07   -2.94     -5.55 |    8.15   0.2900         8
  F10   0.25    -3.15   -2.67     -5.02 |    7.31   0.2900         8
  F10   0.55    -1.95   -1.50     -2.03 |    4.61   0.2900         8
  F10   0.80    -1.32   -0.93     -0.18 |    1.39   0.2900         8
  F10   1.00    -0.17   -0.10      0.02 |   -1.07   0.2900         8
  F01   0.00    -7.98   -6.52     -9.33 |    2.48   0.2900         8
  F01   0.10    -9.03   -7.77    -11.99 |    9.34   0.2900         8
  F01   0.25    -4.94   -4.16     -7.18 |    7.90   0.2900         8
  F01   0.55    -0.88   -0.83     -1.08 |    4.42   0.2900         8
  F01   0.80    -1.13   -0.81     -0.02 |    1.37   0.2900         8
  F01   1.00    -0.18   -0.12     -0.02 |   -1.05   0.2900         8
  F11   0.00    -0.73   -0.64     -1.75 |    1.15   0.2900         8
  F11   0.10    -2.14   -2.35     -4.70 |    8.01   0.2900         8
  F11   0.25    -1.91   -1.90     -3.87 |    7.09   0.2900         8
  F11   0.55    -0.92   -0.85     -1.11 |    4.45   0.2900         8
  F11   0.80    -1.14   -0.82     -0.02 |    1.38   0.2900         8
  F11   1.00    -0.16   -0.10      0.03 |   -1.07   0.2900         8

