load_kg,standing_bias,reset,abd_err,tho_err,world_trunk,ref_trunk,trunk_err,hip_err,com_ap,cop_ap,support_length,contacts,abd_drift,tho_drift,abd_demand,tho_demand,ankle_balance_deg,saddle_sep,saddle_attached
0,0,0,-1.2457,-1.1931,3.0103,3.9100,-0.8997,-0.1250,-0.02805,-0.02757,0.29000,8,0.0285,0.0192,0.0118,0.0099,9.4955,0.00000,0
0,0,1,-1.2494,-1.1991,3.0395,3.9100,-0.8705,-0.1090,-0.02736,-0.02707,0.29000,8,0.0000,-0.0007,0.0121,0.0102,7.1935,0.00000,0
0,0,2,-1.2206,-1.1751,3.0765,3.9100,-0.8335,-0.1496,-0.02768,-0.02732,0.29000,8,0.0032,0.0027,0.0119,0.0100,7.1889,0.00000,0
0,1,0,0.0000,0.0000,4.2596,3.9100,0.3496,-0.2839,-0.02882,-0.02869,0.29000,8,0.0000,0.0000,0.0086,0.0076,9.7961,0.00000,0
0,1,1,-0.0044,0.0000,4.2740,3.9100,0.3639,-0.2794,-0.02854,-0.02818,0.29000,8,0.0000,0.0000,0.0083,0.0075,9.8487,0.00000,0
0,1,2,-0.0044,0.0000,4.2740,3.9100,0.3639,-0.2794,-0.02854,-0.02818,0.29000,8,0.0000,0.0000,0.0083,0.0075,9.8487,0.00000,0
25,0,0,-6.9360,-5.5880,-3.8879,3.9100,-7.7979,1.9353,-0.04583,-0.04527,0.29000,8,0.0018,0.0013,0.0497,0.0426,4.4306,0.00647,1
25,0,1,-6.8937,-5.5582,-3.7426,3.9100,-7.6526,1.9145,-0.04576,-0.04521,0.29000,8,-0.0001,-0.0003,0.0496,0.0425,2.3055,0.00641,1
25,0,2,-6.9318,-5.5832,-3.8785,3.9100,-7.7885,1.9349,-0.04731,-0.04693,0.29000,8,-0.0491,-0.0309,0.0500,0.0428,0.9606,0.00643,1
25,1,0,0.2422,0.1841,3.4314,3.9100,-0.4786,0.6729,-0.04659,-0.04610,0.29000,8,-0.0254,-0.0169,0.0264,0.0263,5.7367,0.00641,1
25,1,1,0.2292,0.1746,3.3805,3.9100,-0.5295,0.6842,-0.04595,-0.04544,0.29000,8,-0.0501,-0.0307,0.0267,0.0266,3.3668,0.00643,1
25,1,2,0.2678,0.2056,3.5104,3.9100,-0.3997,0.6621,-0.04509,-0.04435,0.29000,8,-0.0029,0.0000,0.0262,0.0262,7.0160,0.00635,1
