case,step,time_s,bar_y,bar_z,bar_vy,bar_vz,pelvis_y,pelvis_z,pelvis_vy,pelvis_vz,thorax_y,thorax_z,trunk_pitch_deg,ke,saddle_sep,saddle_att,contacts,com_ap,cop_ap,abd_bias_deg,tho_bias_deg,abd_tgt_rate,tho_tgt_rate,abd_act_deg,tho_act_deg,abd_demand,tho_demand,ankle_bal_deg
R00,-30,-0.300,1.4800,-0.1150,0.0000,0.0000,0.9816,-0.0430,0.0000,0.0000,1.3498,-0.0178,3.91,0.0,0.0714,1,8,-0.0744,-0.0570,0.00,0.00,0.0000,0.0000,0.00,0.00,0.0181,0.0169,-2.29
R00,-29,-0.290,1.4745,-0.1188,-0.2288,-0.1105,0.9863,-0.0447,0.1778,0.0660,1.3552,-0.0095,5.46,8.2,0.0507,1,0,-0.0744,-0.0744,0.00,0.00,0.0000,0.0000,0.00,0.00,0.0133,0.0121,0.00
R00,-28,-0.280,1.4707,-0.1208,-0.3899,-0.1099,0.9870,-0.0440,0.0528,0.0880,1.3556,-0.0060,5.88,12.6,0.0443,1,8,-0.0744,-0.0097,0.00,0.00,0.0000,0.0000,1.23,1.55,0.0368,0.0257,2.29
R00,-27,-0.270,1.4658,-0.1223,-0.4878,-0.1156,0.9865,-0.0431,-0.0417,0.0877,1.3549,-0.0035,6.14,17.9,0.0392,1,8,-0.0744,-0.0085,0.00,0.00,0.0000,0.0000,1.42,1.65,0.0082,0.0092,2.70
R00,-26,-0.260,1.4600,-0.1237,-0.5747,-0.1228,0.9847,-0.0421,-0.1611,0.1020,1.3530,-0.0007,6.42,26.3,0.0354,1,8,-0.0744,-0.0085,0.00,0.00,0.0000,0.0000,1.47,1.66,0.0124,0.0092,3.06
R00,-25,-0.250,1.4534,-0.1250,-0.6417,-0.1425,0.9819,-0.0410,-0.2669,0.1150,1.3498,0.0027,6.78,33.9,0.0331,1,8,-0.0744,-0.0101,0.00,0.00,0.0000,0.0000,1.53,1.62,0.0117,0.0080,4.61
R00,-24,-0.240,1.4462,-0.1268,-0.6982,-0.1409,0.9789,-0.0396,-0.2771,0.1430,1.3465,0.0053,6.98,35.5,0.0307,1,8,-0.0744,0.0590,0.00,0.00,0.0000,0.0000,1.60,1.55,0.0137,0.0063,2.32
R00,-23,-0.230,1.4387,-0.1281,-0.7333,-0.1149,0.9764,-0.0379,-0.2254,0.1846,1.3435,0.0082,7.15,39.1,0.0293,1,8,-0.0744,-0.0607,0.00,0.00,0.0000,0.0000,1.58,1.40,0.0089,0.0021,4.20
R00,-22,-0.220,1.4312,-0.1293,-0.7355,-0.0977,0.9746,-0.0356,-0.1575,0.2328,1.3413,0.0104,7.14,37.3,0.0271,1,8,-0.0743,-0.0721,0.00,0.00,0.0000,0.0000,1.49,1.17,0.0059,0.0055,6.49
R00,-21,-0.210,1.4240,-0.1302,-0.7117,-0.0641,0.9735,-0.0327,-0.0953,0.2924,1.3398,0.0121,6.98,36.7,0.0254,1,8,-0.0741,-0.0735,0.00,0.00,0.0000,0.0000,1.29,0.81,0.0067,0.0105,8.78
R00,-20,-0.200,1.4171,-0.1309,-0.6731,-0.0502,0.9728,-0.0292,-0.0483,0.3577,1.3388,0.0135,6.65,34.8,0.0245,1,8,-0.0739,-0.0723,0.00,0.00,0.0000,0.0000,0.97,0.33,0.0094,0.0179,11.07
R00,-19,-0.190,1.4105,-0.1315,-0.6361,-0.0188,0.9726,-0.0250,-0.0044,0.4071,1.3384,0.0139,6.07,32.0,0.0236,1,8,-0.0735,-0.0692,0.00,0.00,0.0000,0.0000,0.55,-0.24,0.0143,0.0247,13.36
R00,-18,-0.180,1.4044,-0.1319,-0.5921,-0.0308,0.9727,-0.0204,0.0310,0.4584,1.3383,0.0145,5.46,27.0,0.0230,1,8,-0.0730,-0.0645,0.00,0.00,0.0000,0.0000,0.00,-0.90,0.0201,0.0289,15.00
R00,-17,-0.170,1.3987,-0.1325,-0.5612,-0.0164,0.9732,-0.0153,0.0626,0.5040,1.3385,0.0150,4.74,29.1,0.0230,1,8,-0.0724,-0.0573,0.00,0.00,0.0000,0.0000,-0.56,-1.53,0.0230,0.0306,15.00
R00,-16,-0.160,1.3932,-0.1327,-0.5279,-0.0176,0.9735,-0.0097,0.0436,0.5559,1.3383,0.0160,4.04,28.9,0.0234,1,8,-0.0717,-0.0476,0.00,0.00,0.0000,0.0000,-1.17,-2.18,0.0262,0.0334,15.00
R00,-15,-0.150,1.3878,-0.1330,-0.5375,-0.0093,0.9741,-0.0040,0.0796,0.5664,1.3386,0.0162,3.16,29.6,0.0236,1,8,-0.0709,-0.0354,0.00,0.00,0.0000,0.0000,-1.78,-2.84,0.0310,0.0378,15.00
R00,-14,-0.140,1.3824,-0.1337,-0.5156,-0.0307,0.9742,0.0020,0.0343,0.5901,1.3381,0.0164,2.27,28.2,0.0236,1,8,-0.0701,-0.0202,0.00,0.00,0.0000,0.0000,-2.45,-3.47,0.0349,0.0390,15.00
R00,-13,-0.130,1.3771,-0.1344,-0.5109,-0.0475,0.9740,0.0082,-0.0012,0.6092,1.3370,0.0174,1.45,28.9,0.0242,1,8,-0.0693,-0.0007,0.00,0.00,0.0000,0.0000,-3.18,-4.14,0.0400,0.0449,15.00
R00,-12,-0.120,1.3718,-0.1349,-0.5205,-0.0473,0.9738,0.0144,0.0084,0.6095,1.3361,0.0185,0.65,33.0,0.0249,1,8,-0.0685,0.0104,0.00,0.00,0.0000,0.0000,-3.88,-4.79,0.0419,0.0455,15.00
R00,-11,-0.110,1.3661,-0.1355,-0.5327,-0.0297,0.9733,0.0205,-0.0275,0.5922,1.3346,0.0184,-0.33,32.4,0.0250,1,8,-0.0677,0.0197,0.00,0.00,0.0000,0.0000,-4.55,-5.40,0.0453,0.0472,15.00
R00,-10,-0.100,1.3604,-0.1360,-0.5720,-0.0260,0.9729,0.0262,-0.0119,0.5503,1.3332,0.0182,-1.27,33.7,0.0248,1,8,-0.0670,0.0306,0.00,0.00,0.0000,0.0000,-5.33,-6.03,0.0543,0.0544,15.00
R00,-9,-0.090,1.3543,-0.1380,-0.5698,-0.1165,0.9718,0.0315,-0.0837,0.5300,1.3306,0.0171,-2.29,46.6,0.0250,1,8,-0.0663,0.0338,0.00,0.00,0.0000,0.0000,-6.07,-6.60,0.0540,0.0517,13.65
R00,-8,-0.080,1.3483,-0.1391,-0.6064,-0.1112,0.9710,0.0370,-0.0389,0.5322,1.3289,0.0184,-2.98,64.2,0.0272,1,8,-0.0657,0.0328,0.00,0.00,0.0000,0.0000,-6.94,-7.24,0.0616,0.0590,11.36
