load_kg,sq,delta_tgt,hip_l_act,hip_r_act,abd_act,tho_act,trunk_pitch,com_ap,cop_ap
0,0.25,-2.0,-29.72,-30.04,3.48,5.70,15.63,-0.0298,-0.0274
0,0.25,-1.0,-30.85,-31.19,3.74,5.85,16.81,-0.0294,-0.0322
0,0.25,0.0,-31.99,-32.34,3.99,5.99,17.98,-0.0290,-0.0322
0,0.25,1.0,-33.10,-33.47,4.22,6.12,19.09,-0.0287,-0.0260
0,0.25,2.0,-34.24,-34.62,4.48,6.27,20.24,-0.0288,-0.0320
0,0.55,-2.0,-78.73,-79.10,5.62,8.77,32.96,-0.0263,-0.0317
0,0.55,-1.0,-79.84,-80.22,5.84,8.90,34.04,-0.0260,-0.0260
0,0.55,0.0,-80.95,-81.35,6.06,9.03,35.20,-0.0249,-0.0319
0,0.55,1.0,-82.08,-82.48,6.29,9.16,36.33,-0.0242,-0.0223
0,0.55,2.0,-83.18,-83.59,6.49,9.28,37.42,-0.0237,-0.0275
25,0.25,-2.0,-29.34,-29.78,2.93,5.33,13.93,-0.0474,-0.0438
25,0.25,-1.0,-30.60,-31.04,3.46,5.65,15.34,-0.0473,-0.0441
25,0.25,0.0,-31.85,-32.34,4.00,5.98,16.81,-0.0468,-0.0440
25,0.25,1.0,-33.13,-33.65,4.57,6.35,18.33,-0.0462,-0.0486
25,0.25,2.0,-34.36,-34.92,5.07,6.65,19.70,-0.0463,-0.0434
25,0.55,-2.0,-79.31,-79.82,4.90,8.29,30.33,-0.0481,-0.0456
25,0.55,-1.0,-80.54,-81.08,5.40,8.61,31.71,-0.0472,-0.0504
25,0.55,0.0,-81.76,-82.34,5.87,8.90,33.04,-0.0464,-0.0428
25,0.55,1.0,-82.98,-83.55,6.31,9.17,34.30,-0.0461,-0.0482
25,0.55,2.0,-84.20,-84.78,6.78,9.47,35.62,-0.0456,-0.0416
