load_kg,sq,tau_g_hip_l,tau_g_hip_r,hip_l_nom_err,hip_r_nom_err,hip_l_demand,hip_r_demand,trunk_err
0,0.00,3.57,3.56,-0.25,-0.37,0.0029,0.0034,0.37
0,0.10,8.40,8.42,-0.95,-1.19,0.0068,0.0080,0.66
0,0.25,16.17,16.19,-1.99,-2.34,0.0142,0.0159,1.42
0,0.40,24.82,24.79,-3.09,-3.48,0.0225,0.0247,3.04
0,0.55,31.73,31.71,-3.95,-4.35,0.0289,0.0313,3.86
0,0.80,35.37,35.39,-4.39,-4.80,0.0322,0.0348,4.94
0,1.00,36.31,36.35,-4.48,-4.94,0.0335,0.0368,4.84
25,0.00,-10.70,-10.78,0.65,0.59,0.0050,0.0048,-0.44
25,0.10,-0.87,-0.85,-0.31,-0.60,0.0019,0.0023,-0.29
25,0.25,15.19,15.10,-1.85,-2.34,0.0103,0.0123,0.25
25,0.40,33.74,33.54,-3.58,-4.17,0.0206,0.0232,2.02
25,0.55,46.35,46.21,-4.76,-5.34,0.0286,0.0312,1.70
25,0.80,52.48,52.22,-5.25,-5.78,0.0319,0.0341,1.67
25,1.00,53.81,53.56,-5.21,-5.78,0.0328,0.0352,1.16
