load_kg,sq,hip_l_nom,hip_l_grav,hip_l_bal,hip_l_final,hip_l_act,hip_l_nom_err,hip_l_final_err,hip_l_demand,hip_r_nom,hip_r_grav,hip_r_bal,hip_r_final,hip_r_act,hip_r_nom_err,hip_r_final_err,hip_r_demand,abd_act,abd_err,tho_act,tho_err,trunk_pitch,ref_trunk,trunk_err,com_ap,cop_ap,contacts,saddle_sep
0,0.00,0.00,0.00,0.08,0.08,-0.25,-0.25,-0.33,0.0028,0.00,0.00,0.08,0.08,-0.36,-0.36,-0.44,0.0032,-0.04,-0.04,0.00,0.00,4.30,3.91,0.39,-0.0275,-0.0298,8,0.0000
0,0.10,-11.40,0.00,0.00,-11.40,-12.34,-0.93,-0.93,0.0068,-11.40,0.00,0.00,-11.40,-12.60,-1.19,-1.19,0.0081,1.64,-0.05,2.50,-0.03,9.56,8.91,0.65,-0.0292,-0.0264,8,0.0000
0,0.25,-30.00,0.00,0.00,-30.00,-31.99,-1.99,-1.99,0.0142,-30.00,0.00,0.00,-30.00,-32.31,-2.31,-2.31,0.0159,3.98,-0.02,5.98,-0.01,17.92,16.56,1.36,-0.0296,-0.0324,8,0.0000
0,0.40,-53.80,0.00,0.00,-53.80,-56.93,-3.12,-3.12,0.0227,-53.80,0.00,0.00,-53.80,-57.23,-3.43,-3.43,0.0245,5.44,0.25,7.91,0.13,27.25,24.27,2.98,-0.0295,-0.0325,8,0.0000
0,0.55,-77.00,0.00,0.00,-77.00,-80.94,-3.94,-3.94,0.0288,-77.00,0.00,0.00,-77.00,-81.24,-4.24,-4.24,0.0308,5.94,-0.06,8.95,-0.04,34.72,31.34,3.38,-0.0287,-0.0325,8,0.0000
0,0.80,-96.39,0.00,0.00,-96.39,-100.69,-4.30,-4.30,0.0316,-96.39,0.00,0.00,-96.39,-101.02,-4.62,-4.62,0.0339,6.43,0.06,9.56,0.01,38.61,34.72,3.89,-0.0272,-0.0319,8,0.0000
0,1.00,-111.00,0.00,0.00,-111.00,-115.29,-4.29,-4.29,0.0317,-111.00,0.00,0.00,-111.00,-115.67,-4.67,-4.67,0.0346,5.47,-0.93,9.38,-0.21,38.75,35.97,2.78,-0.0245,-0.0242,8,0.0000
25,0.00,0.00,0.00,0.00,0.00,0.65,0.65,0.65,0.0050,0.00,0.00,0.00,0.00,0.57,0.57,0.57,0.0048,0.27,0.27,0.21,0.21,3.48,3.91,-0.43,-0.0459,-0.0486,8,0.0064
25,0.10,-11.40,0.00,0.00,-11.40,-11.69,-0.28,-0.28,0.0021,-11.40,0.00,0.00,-11.40,-12.01,-0.61,-0.61,0.0024,1.75,0.07,2.57,0.05,8.58,8.91,-0.33,-0.0466,-0.0492,8,0.0065
25,0.25,-30.00,0.00,0.00,-30.00,-31.77,-1.77,-1.77,0.0099,-30.00,0.00,0.00,-30.00,-32.40,-2.40,-2.40,0.0126,3.93,-0.07,5.95,-0.05,16.74,16.56,0.18,-0.0468,-0.0438,8,0.0064
25,0.40,-53.80,0.00,0.00,-53.80,-57.26,-3.46,-3.46,0.0201,-53.80,0.00,0.00,-53.80,-58.00,-4.20,-4.20,0.0233,5.58,0.39,8.01,0.23,26.06,24.27,1.79,-0.0475,-0.0507,8,0.0059
25,0.55,-77.00,0.00,0.00,-77.00,-81.60,-4.60,-4.60,0.0278,-77.00,0.00,0.00,-77.00,-82.27,-5.27,-5.27,0.0307,5.62,-0.37,8.74,-0.26,32.60,31.34,1.26,-0.0482,-0.0461,8,0.0055
25,0.80,-96.39,0.00,0.00,-96.39,-101.51,-5.11,-5.11,0.0307,-96.39,0.00,0.00,-96.39,-102.18,-5.79,-5.79,0.0335,6.07,-0.30,9.34,-0.22,35.78,34.72,1.06,-0.0480,-0.0524,8,0.0052
25,1.00,-111.00,0.00,0.00,-111.00,-116.17,-5.17,-5.17,0.0315,-111.00,0.00,0.00,-111.00,-116.90,-5.90,-5.90,0.0346,6.32,-0.08,9.50,-0.09,36.27,35.97,0.30,-0.0442,-0.0423,8,0.0053
