time,tick,state,direction,sq,hip_l_nom,hip_l_grav,hip_l_bal,hip_l_final,hip_l_tgt_vel,hip_l_act,hip_l_act_vel,hip_l_nom_err,hip_l_final_err,hip_l_lim,hip_l_demand,hip_l_max_force,hip_r_nom,hip_r_grav,hip_r_bal,hip_r_final,hip_r_tgt_vel,hip_r_act,hip_r_act_vel,hip_r_nom_err,hip_r_final_err,hip_r_lim,hip_r_demand,hip_r_max_force,abd_nom,abd_grav,abd_bal,abd_final,abd_tgt_vel,abd_act,abd_act_vel,abd_nom_err,abd_final_err,abd_lim,abd_demand,abd_max_force,tho_nom,tho_grav,tho_bal,tho_final,tho_tgt_vel,tho_act,tho_act_vel,tho_nom_err,tho_final_err,tho_lim,tho_demand,tho_max_force,knee_l_nom,knee_l_grav,knee_l_bal,knee_l_final,knee_l_tgt_vel,knee_l_act,knee_l_act_vel,knee_l_nom_err,knee_l_final_err,knee_l_lim,knee_l_demand,knee_l_max_force,knee_r_nom,knee_r_grav,knee_r_bal,knee_r_final,knee_r_tgt_vel,knee_r_act,knee_r_act_vel,knee_r_nom_err,knee_r_final_err,knee_r_lim,knee_r_demand,knee_r_max_force,ankle_l_nom,ankle_l_grav,ankle_l_bal,ankle_l_final,ankle_l_tgt_vel,ankle_l_act,ankle_l_act_vel,ankle_l_nom_err,ankle_l_final_err,ankle_l_lim,ankle_l_demand,ankle_l_max_force,ankle_r_nom,ankle_r_grav,ankle_r_bal,ankle_r_final,ankle_r_tgt_vel,ankle_r_act,ankle_r_act_vel,ankle_r_nom_err,ankle_r_final_err,ankle_r_lim,ankle_r_demand,ankle_r_max_force,pelvis_pitch,trunk_pitch,ref_trunk_pitch,com_ap,com_y,cop_ap,support_min,support_max,contacts,foot_pitch_l,foot_pitch_r,bar_x,bar_y,bar_z,bar_vx,bar_vy,bar_vz,saddle_sep,saddle_att
0.000,0,DESCENT,Descent,0.0030,-0.32,0.00,0.00,-0.32,-31.98,0.93,2.83,1.25,1.25,0.0207,0.0291,2565.0,-0.32,0.00,0.00,-0.32,-31.98,1.00,2.26,1.32,1.32,0.0223,0.0291,2565.0,0.00,3.86,0.00,3.91,-2.19,0.29,-7.39,0.29,-3.61,0.0065,0.0317,1852.5,0.06,3.63,0.00,3.70,2.54,-0.55,-2.95,-0.60,-4.24,0.0157,0.0365,1852.5,0.34,0.00,0.00,0.34,34.19,0.90,1.24,0.56,0.56,0.0062,0.0149,2565.0,0.34,0.00,0.00,0.34,34.19,1.13,0.86,0.79,0.79,0.0078,0.0138,2565.0,-0.10,0.00,3.17,3.06,-10.75,-1.36,-1.81,-1.26,-4.43,0.0303,0.0252,2137.5,-0.10,0.00,3.17,3.06,-10.75,-1.67,-0.96,-1.56,-4.73,0.0371,0.0264,2137.5,0.57,3.29,4.05,-0.0446,1.1180,-0.0382,-0.1547,0.1353,8,-0.02,-0.02,0.0008,1.3968,-0.1453,0.0313,-0.0205,0.0099,0.0192,1
0.010,1,DESCENT,Descent,0.0060,-0.64,0.00,0.00,-0.64,-31.98,1.19,26.34,1.83,1.83,0.0264,0.0470,2565.0,-0.64,0.00,0.00,-0.64,-31.98,1.25,26.10,1.89,1.89,0.0279,0.0472,2565.0,0.09,3.80,0.00,3.89,-2.19,0.29,-2.52,0.20,-3.59,0.0065,0.0276,1852.5,0.13,3.59,0.00,3.72,2.54,-0.56,-1.60,-0.69,-4.28,0.0161,0.0357,1852.5,0.68,0.00,0.00,0.68,34.19,0.70,-22.27,0.01,0.01,0.0048,0.0307,2565.0,0.68,0.00,0.00,0.68,34.19,0.92,-23.74,0.24,0.24,0.0064,0.0302,2565.0,-0.21,0.00,2.97,2.75,-10.75,-1.29,7.82,-1.08,-4.04,0.0287,0.0134,2137.5,-0.21,0.00,2.97,2.75,-10.75,-1.58,9.45,-1.37,-4.34,0.0352,0.0140,2137.5,0.66,3.17,4.20,-0.0446,1.1179,-0.0451,-0.1547,0.1353,8,-0.02,-0.02,0.0008,1.3964,-0.1456,0.0328,-0.0222,0.0087,0.0191,1
0.020,2,DESCENT,Descent,0.0090,-0.96,0.00,0.00,-0.96,-31.98,1.42,23.91,2.38,2.38,0.0317,0.0489,2565.0,-0.96,0.00,0.00,-0.96,-31.98,1.48,22.50,2.44,2.44,0.0328,0.0483,2565.0,0.13,3.73,0.00,3.86,-2.19,0.26,-4.00,0.14,-3.60,0.0059,0.0288,1852.5,0.19,3.55,0.00,3.75,2.54,-0.59,-2.90,-0.78,-4.34,0.0168,0.0371,1852.5,1.03,0.00,0.00,1.03,34.19,0.53,-20.43,-0.50,-0.50,0.0036,0.0324,2565.0,1.03,0.00,0.00,1.03,34.19,0.75,-21.29,-0.28,-0.28,0.0052,0.0317,2565.0,-0.32,0.00,4.12,3.80,-10.75,-1.27,4.80,-0.95,-5.07,0.0282,0.0182,2137.5,-0.32,0.00,4.12,3.80,-10.75,-1.55,7.19,-1.22,-5.34,0.0343,0.0183,2137.5,0.73,3.06,4.34,-0.0447,1.1178,-0.0505,-0.1547,0.1353,8,-0.02,-0.02,0.0009,1.3960,-0.1458,0.0267,-0.0235,0.0163,0.0190,1
0.030,3,DESCENT,Descent,0.0120,-1.28,0.00,0.00,-1.28,-32.56,1.62,19.19,2.90,2.90,0.0359,0.0495,2565.0,-1.28,0.00,0.00,-1.28,-32.56,1.65,17.58,2.93,2.93,0.0366,0.0487,2565.0,0.17,3.67,0.00,3.84,-1.96,0.23,-5.68,0.05,-3.62,0.0051,0.0304,1852.5,0.26,3.51,0.00,3.77,2.87,-0.62,-3.47,-0.88,-4.39,0.0177,0.0382,1852.5,1.37,0.00,0.00,1.37,34.95,0.39,-17.18,-0.98,-0.98,0.0027,0.0337,2565.0,1.37,0.00,0.00,1.37,34.95,0.61,-18.27,-0.77,-0.77,0.0042,0.0331,2565.0,-0.43,0.00,1.83,1.40,-11.10,-1.26,4.22,-0.83,-2.65,0.0279,0.0126,2137.5,-0.43,0.00,1.83,1.40,-11.10,-1.51,7.04,-1.08,-2.90,0.0335,0.0122,2137.5,0.79,2.96,4.48,-0.0448,1.1176,-0.0472,-0.1547,0.1353,8,-0.02,-0.01,0.0010,1.3955,-0.1459,0.0318,-0.0202,0.0212,0.0189,1
0.040,4,DESCENT,Descent,0.0150,-1.61,0.00,0.00,-1.61,-32.56,1.76,15.42,3.37,3.37,0.0392,0.0501,2565.0,-1.61,0.00,0.00,-1.61,-32.56,1.78,13.74,3.39,3.39,0.0395,0.0491,2565.0,0.22,3.60,0.00,3.82,-1.96,0.19,-5.70,-0.03,-3.63,0.0042,0.0306,1852.5,0.33,3.47,0.00,3.80,2.87,-0.65,-3.48,-0.98,-4.46,0.0187,0.0387,1852.5,1.72,0.00,0.00,1.72,34.95,0.29,-12.86,-1.43,-1.43,0.0020,0.0338,2565.0,1.72,0.00,0.00,1.72,34.95,0.50,-14.11,-1.22,-1.22,0.0035,0.0333,2565.0,-0.54,0.00,4.12,3.58,-11.10,-1.26,2.26,-0.72,-4.84,0.0280,0.0185,2137.5,-0.54,0.00,4.12,3.58,-11.10,-1.48,5.33,-0.94,-5.06,0.0330,0.0179,2137.5,0.83,2.88,4.63,-0.0449,1.1174,-0.0534,-0.1547,0.1353,8,-0.02,-0.01,0.0011,1.3951,-0.1461,0.0233,-0.0189,0.0219,0.0187,1
0.050,5,DESCENT,Descent,0.0180,-1.93,0.00,0.00,-1.93,-32.56,1.87,11.35,3.81,3.81,0.0417,0.0503,2565.0,-1.93,0.00,0.00,-1.93,-32.56,1.87,9.19,3.80,3.80,0.0415,0.0489,2565.0,0.27,3.54,0.00,3.80,-1.96,0.14,-7.19,-0.12,-3.66,0.0030,0.0319,1852.5,0.40,3.43,0.00,3.83,2.87,-0.68,-3.67,-1.08,-4.51,0.0195,0.0393,1852.5,2.07,0.00,0.00,2.07,34.95,0.23,-9.76,-1.84,-1.84,0.0016,0.0344,2565.0,2.07,0.00,0.00,2.07,34.95,0.43,-10.80,-1.64,-1.64,0.0030,0.0338,2565.0,-0.65,0.00,1.83,1.18,-11.10,-1.26,1.94,-0.61,-2.44,0.0280,0.0132,2137.5,-0.65,0.00,1.83,1.18,-11.10,-1.46,5.33,-0.80,-2.63,0.0323,0.0122,2137.5,0.86,2.79,4.77,-0.0450,1.1173,-0.0483,-0.1547,0.1353,8,-0.02,-0.01,0.0012,1.3947,-0.1462,0.0319,-0.0250,0.0300,0.0185,1
0.060,6,DESCENT,Descent,0.0210,-2.26,0.00,0.00,-2.26,-33.11,1.95,7.69,4.21,4.21,0.0432,0.0508,2565.0,-2.26,0.00,0.00,-2.26,-33.11,1.92,6.14,4.18,4.18,0.0427,0.0497,2565.0,0.31,3.47,0.00,3.79,-1.77,0.10,-6.59,-0.21,-3.69,0.0020,0.0318,1852.5,0.47,3.39,0.00,3.86,3.17,-0.71,-3.71,-1.18,-4.58,0.0204,0.0400,1852.5,2.42,0.00,0.00,2.42,35.66,0.21,-4.80,-2.21,-2.21,0.0014,0.0341,2565.0,2.42,0.00,0.00,2.42,35.66,0.40,-6.24,-2.02,-2.02,0.0028,0.0338,2565.0,-0.77,0.00,4.12,3.35,-11.42,-1.28,-0.29,-0.52,-4.64,0.0285,0.0189,2137.5,-0.77,0.00,4.12,3.35,-11.42,-1.45,2.94,-0.69,-4.81,0.0323,0.0179,2137.5,0.89,2.71,4.91,-0.0450,1.1171,-0.0536,-0.1547,0.1353,8,-0.02,-0.01,0.0014,1.3943,-0.1461,0.0293,-0.0126,0.0481,0.0181,1
0.070,7,DESCENT,Descent,0.0240,-2.59,0.00,0.00,-2.59,-33.11,1.98,4.64,4.58,4.58,0.0441,0.0512,2565.0,-2.59,0.00,0.00,-2.59,-33.11,1.95,3.57,4.55,4.55,0.0434,0.0503,2565.0,0.36,3.41,0.00,3.77,-1.77,0.04,-8.81,-0.32,-3.73,0.0000,0.0338,1852.5,0.54,3.35,0.00,3.89,3.17,-0.75,-4.57,-1.29,-4.64,0.0213,0.0412,1852.5,2.78,0.00,0.00,2.78,35.66,0.22,-2.76,-2.56,-2.56,0.0015,0.0348,2565.0,2.78,0.00,0.00,2.78,35.66,0.40,-4.09,-2.38,-2.38,0.0027,0.0346,2565.0,-0.88,0.00,1.91,1.03,-11.42,-1.30,-0.02,-0.42,-2.33,0.0289,0.0128,2137.5,-0.88,0.00,1.91,1.03,-11.42,-1.45,2.64,-0.57,-2.48,0.0322,0.0121,2137.5,0.91,2.63,5.06,-0.0451,1.1169,-0.0479,-0.1547,0.1353,8,-0.02,-0.01,0.0017,1.3940,-0.1457,0.0340,-0.0013,0.0689,0.0174,1
0.080,8,DESCENT,Descent,0.0270,-2.92,0.00,0.00,-2.92,-33.11,1.99,1.61,4.91,4.91,0.0442,0.0514,2565.0,-2.92,0.00,0.00,-2.92,-33.11,1.96,1.06,4.88,4.88,0.0435,0.0509,2565.0,0.41,3.34,0.00,3.75,-1.77,0.00,-9.67,-0.41,-3.75,0.0000,0.0348,1852.5,0.61,3.31,0.00,3.92,3.17,-0.78,-4.67,-1.39,-4.70,0.0223,0.0417,1852.5,3.14,0.00,0.00,3.14,35.66,0.27,1.40,-2.87,-2.87,0.0019,0.0342,2565.0,3.14,0.00,0.00,3.14,35.66,0.43,0.18,-2.70,-2.70,0.0030,0.0340,2565.0,-0.99,0.00,4.21,3.21,-11.42,-1.34,-2.07,-0.34,-4.55,0.0297,0.0191,2137.5,-0.99,0.00,4.21,3.21,-11.42,-1.47,0.03,-0.48,-4.68,0.0327,0.0186,2137.5,0.92,2.55,5.20,-0.0451,1.1167,-0.0529,-0.1547,0.1353,8,-0.02,-0.01,0.0020,1.3939,-0.1451,0.0332,0.0095,0.0821,0.0163,1
0.090,9,DESCENT,Descent,0.0300,-3.26,0.00,0.00,-3.26,-33.63,1.97,-0.92,5.22,5.22,0.0437,0.0521,2565.0,-3.26,0.00,0.00,-3.26,-33.63,1.94,-1.73,5.19,5.19,0.0430,0.0513,2565.0,0.45,3.28,0.00,3.73,-1.59,-0.11,-9.96,-0.57,-3.84,0.0032,0.0358,1852.5,0.68,3.27,0.00,3.96,3.43,-0.81,-4.36,-1.49,-4.77,0.0232,0.0422,1852.5,3.49,0.00,0.00,3.49,36.31,0.34,3.65,-3.15,-3.15,0.0024,0.0349,2565.0,3.49,0.00,0.00,3.49,36.31,0.49,2.86,-3.00,-3.00,0.0034,0.0345,2565.0,-1.11,0.00,1.91,0.80,-11.71,-1.38,-2.20,-0.27,-2.18,0.0306,0.0134,2137.5,-1.11,0.00,1.91,0.80,-11.71,-1.50,-0.22,-0.39,-2.30,0.0332,0.0129,2137.5,0.93,2.44,5.34,-0.0452,1.1165,-0.0469,-0.1547,0.1353,8,-0.02,-0.01,0.0023,1.3940,-0.1444,0.0253,0.0168,0.0801,0.0148,1
