time,tick,state,direction,sq,phase_velocity,phase_accel,knee_l_nom,knee_l_grav,knee_l_bal,knee_l_req,knee_l_app,knee_l_act,knee_l_req_app_err,knee_l_app_act_err,knee_l_req_act_err,knee_l_dqds,knee_l_nom_tgt_vel,knee_l_req_tgt_vel,knee_l_app_tgt_vel,knee_l_act_vel,knee_l_ref_accel,knee_l_pos_nm,knee_l_vel_nm,knee_l_tot_nm,knee_l_solv_nm,knee_l_demand,knee_l_max_force,knee_l_lim,hip_l_nom,hip_l_grav,hip_l_bal,hip_l_req,hip_l_app,hip_l_act,hip_l_req_app_err,hip_l_app_act_err,hip_l_req_act_err,hip_l_dqds,hip_l_nom_tgt_vel,hip_l_req_tgt_vel,hip_l_app_tgt_vel,hip_l_act_vel,hip_l_ref_accel,hip_l_pos_nm,hip_l_vel_nm,hip_l_tot_nm,hip_l_solv_nm,hip_l_demand,hip_l_max_force,hip_l_lim,ankle_l_nom,ankle_l_grav,ankle_l_bal,ankle_l_req,ankle_l_app,ankle_l_act,ankle_l_req_app_err,ankle_l_app_act_err,ankle_l_req_act_err,ankle_l_dqds,ankle_l_nom_tgt_vel,ankle_l_req_tgt_vel,ankle_l_app_tgt_vel,ankle_l_act_vel,pelvis_pitch,trunk_pitch,com_z,com_y,cop_z,support_min,support_max,contacts,foot_pitch_l,foot_pitch_r,bar_y,bar_vy
2.640,264,DESCENT,Descent,0.7950,0.30,0.0,97.81,0.00,0.00,97.81,97.81,102.50,0.00,4.69,4.69,95.28,28.58,28.57,28.57,30.26,-51.0,-65.5,-2.4,-67.8,0.0,0.0264,2565.0,0.7069,-95.95,0.00,0.00,-95.95,-95.95,-94.41,0.00,1.53,1.53,-89.56,-26.87,-26.86,-26.86,-33.12,48.6,-24.1,9.8,-14.2,0.0,0.0063,2565.0,0.7868,-24.65,0.00,-3.03,-27.68,-26.49,-31.05,1.19,-4.56,-3.37,-15.23,-4.57,-4.57,-4.57,1.22,-22.98,34.52,-0.0483,0.7667,-0.0463,-0.1547,0.1353,8,0.00,-0.01,1.0241,-0.2668
2.650,265,DESCENT,Descent,0.7980,0.30,0.0,98.10,0.00,0.00,98.10,98.10,102.89,0.00,4.79,4.79,93.54,28.06,28.57,28.57,29.61,-53.5,-66.8,-1.5,-68.3,0.0,0.0266,2565.0,0.7096,-96.21,0.00,0.00,-96.21,-96.21,-94.75,0.00,1.47,1.47,-87.90,-26.37,-26.86,-26.86,-32.31,50.9,-23.1,8.6,-14.5,0.0,0.0064,2565.0,0.7896,-24.70,0.00,-0.73,-25.43,-25.43,-31.12,0.00,-5.69,-5.69,-14.92,-4.48,-4.57,-4.57,0.58,-22.99,34.57,-0.0483,0.7644,-0.0525,-0.1547,0.1353,8,0.00,-0.01,1.0215,-0.2670
2.660,266,DESCENT,Descent,0.8010,0.30,0.0,98.38,0.00,0.00,98.38,98.38,103.27,0.00,4.90,4.90,91.72,27.51,26.73,26.73,29.96,-56.0,-68.4,-4.5,-72.9,0.0,0.0284,2565.0,0.7122,-96.48,0.00,0.00,-96.48,-96.48,-95.08,0.00,1.40,1.40,-86.16,-25.85,-25.11,-25.11,-32.67,53.3,-21.9,11.9,-10.1,0.0,0.0049,2565.0,0.7923,-24.74,0.00,-3.03,-27.77,-26.58,-31.19,1.19,-4.61,-3.42,-14.59,-4.38,-4.24,-4.24,1.61,-23.02,34.61,-0.0483,0.7621,-0.0467,-0.1547,0.1353,8,0.00,-0.01,1.0187,-0.2678
2.670,267,DESCENT,Descent,0.8040,0.30,0.0,98.64,0.00,0.00,98.64,98.64,103.66,0.00,5.02,5.02,89.81,26.94,26.73,26.73,29.66,-58.5,-70.0,-4.1,-74.1,0.0,0.0289,2565.0,0.7149,-96.73,0.00,0.00,-96.73,-96.73,-95.42,0.00,1.31,1.31,-84.34,-25.30,-25.11,-25.11,-33.02,55.7,-20.5,12.4,-8.1,0.0,0.0044,2565.0,0.7952,-24.79,0.00,-0.73,-25.52,-25.52,-31.26,0.00,-5.74,-5.74,-14.26,-4.28,-4.24,-4.24,0.76,-23.04,34.65,-0.0484,0.7598,-0.0527,-0.1547,0.1353,8,0.00,-0.01,1.0160,-0.2679
2.680,268,DESCENT,Descent,0.8070,0.30,0.0,98.91,0.00,0.00,98.91,98.91,104.05,0.00,5.14,5.14,87.82,26.34,26.73,26.73,29.91,-61.0,-71.7,-4.4,-76.2,0.0,0.0297,2565.0,0.7176,-96.98,0.00,0.00,-96.98,-96.98,-95.76,0.00,1.22,1.22,-82.45,-24.73,-25.11,-25.11,-33.26,58.0,-19.1,12.8,-6.3,0.0,0.0039,2565.0,0.7980,-24.83,0.00,-3.03,-27.86,-26.67,-31.33,1.19,-4.66,-3.47,-13.90,-4.17,-4.24,-4.24,1.84,-23.05,34.69,-0.0484,0.7575,-0.0469,-0.1547,0.1353,8,0.00,-0.01,1.0133,-0.2676
2.690,269,DESCENT,Descent,0.8100,0.30,0.0,99.18,0.00,0.00,99.18,99.18,104.43,0.00,5.25,5.25,85.74,25.72,24.62,24.62,29.20,-63.5,-73.3,-6.4,-79.7,0.0,0.0311,2565.0,0.7202,-97.23,0.00,0.00,-97.23,-97.23,-96.09,0.00,1.14,1.14,-80.48,-24.14,-23.09,-23.09,-32.19,60.4,-17.9,14.3,-3.6,0.0,0.0033,2565.0,0.8008,-24.87,0.00,-0.73,-25.61,-25.61,-31.40,0.00,-5.79,-5.79,-13.54,-4.06,-3.87,-3.87,1.10,-23.07,34.74,-0.0484,0.7552,-0.0531,-0.1547,0.1353,8,0.00,-0.01,1.0106,-0.2674
2.700,270,DESCENT,Descent,0.8130,0.30,0.0,99.43,0.00,0.00,99.43,99.43,104.82,0.00,5.40,5.40,83.58,25.07,24.62,24.62,29.95,-66.0,-75.3,-7.5,-82.8,0.0,0.0323,2565.0,0.7229,-97.46,0.00,0.00,-97.46,-97.46,-96.44,0.00,1.03,1.03,-78.42,-23.53,-23.09,-23.09,-33.51,62.7,-16.1,16.4,0.2,0.0,0.0031,2565.0,0.8036,-24.91,0.00,-2.61,-27.52,-26.75,-31.46,0.77,-4.71,-3.94,-13.16,-3.95,-3.87,-3.87,2.07,-23.09,34.78,-0.0485,0.7529,-0.0470,-0.1547,0.1353,8,0.00,-0.01,1.0079,-0.2671
2.710,271,DESCENT,Descent,0.8160,0.30,0.0,99.67,0.00,0.00,99.67,99.67,105.20,0.00,5.53,5.53,81.34,24.40,24.62,24.62,29.11,-68.5,-77.2,-6.3,-83.5,0.0,0.0325,2565.0,0.7255,-97.69,0.00,0.00,-97.69,-97.69,-96.77,0.00,0.92,0.92,-76.29,-22.89,-23.09,-23.09,-32.36,65.1,-14.5,14.6,0.0,0.0,0.0031,2565.0,0.8064,-24.95,0.00,-0.32,-25.27,-25.61,-31.52,-0.34,-5.92,-6.26,-12.77,-3.83,-3.87,-3.87,1.39,-23.10,34.82,-0.0485,0.7506,-0.0533,-0.1547,0.1353,8,0.00,-0.01,1.0053,-0.2660
2.720,272,DESCENT,Descent,0.8190,0.30,0.0,99.92,0.00,0.00,99.92,99.92,105.58,0.00,5.67,5.67,79.01,23.70,24.62,24.62,29.30,-71.0,-79.1,-6.5,-85.6,0.0,0.0334,2565.0,0.7282,-97.92,0.00,0.00,-97.92,-97.92,-97.10,0.00,0.82,0.82,-74.09,-22.23,-23.09,-23.09,-32.44,67.4,-12.9,14.7,1.8,0.0,0.0032,2565.0,0.8092,-24.99,0.00,-2.13,-27.12,-26.75,-31.58,0.37,-4.83,-4.46,-12.36,-3.71,-3.87,-3.87,2.52,-23.11,34.86,-0.0485,0.7483,-0.0470,-0.1547,0.1353,8,0.00,-0.01,1.0026,-0.2643
2.730,273,DESCENT,Descent,0.8220,0.30,0.0,100.16,0.00,0.00,100.16,100.16,105.96,0.00,5.80,5.80,78.41,23.52,23.60,23.60,28.41,8.1,-81.0,-6.7,-87.7,0.0,0.0342,2565.0,0.7307,-98.15,0.00,0.00,-98.15,-98.15,-97.42,0.00,0.72,0.72,-73.47,-22.04,-22.10,-22.10,-31.26,-6.2,-11.4,14.4,3.0,0.0,0.0033,2565.0,0.8119,-25.02,0.00,0.16,-24.86,-25.61,-31.64,-0.74,-6.04,-6.78,-12.20,-3.66,-3.65,-3.65,1.79,-23.11,34.90,-0.0486,0.7460,-0.0532,-0.1547,0.1353,8,0.00,-0.01,0.9999,-0.2624
