tick,time,state,sq,knee_cmd_rate,knee_fd_rate,knee_rate_diff,knee_ref_accel,hip_cmd_rate,hip_fd_rate,hip_rate_diff,hip_ref_accel,ankle_nom_cmd_rate,ankle_nom_fd_rate,ankle_nom_diff
0,0.000,DESCENT,0.0030,34.19,0.00,34.19,23.9,-31.98,0.00,31.98,-18.1,-10.67,0.00,10.67
1,0.010,DESCENT,0.0060,34.19,34.26,0.07,23.5,-31.98,-32.02,0.04,-17.9,-10.78,-10.84,0.05
2,0.020,DESCENT,0.0090,34.19,34.26,0.07,23.0,-31.98,-32.02,0.04,-17.6,-10.89,-10.84,0.06
3,0.030,DESCENT,0.0120,34.95,34.66,0.29,22.5,-32.56,-32.39,0.18,-17.3,-11.00,-11.02,0.02
4,0.040,DESCENT,0.0150,34.95,34.96,0.01,22.0,-32.56,-32.53,0.03,-17.0,-11.10,-11.09,0.01
5,0.050,DESCENT,0.0180,34.95,34.95,0.00,21.5,-32.56,-32.56,0.00,-16.7,-11.20,-11.12,0.08
6,0.060,DESCENT,0.0210,35.66,35.21,0.45,21.1,-33.11,-32.76,0.36,-16.4,-11.30,-11.25,0.05
7,0.070,DESCENT,0.0240,35.66,35.65,0.01,20.6,-33.11,-33.12,0.00,-16.1,-11.39,-11.41,0.02
8,0.080,DESCENT,0.0270,35.66,35.64,0.02,20.1,-33.11,-33.11,0.00,-15.8,-11.48,-11.44,0.04
9,0.090,DESCENT,0.0300,36.31,35.68,0.63,19.6,-33.63,-33.11,0.52,-15.5,-11.57,-11.39,0.18
10,0.100,DESCENT,0.0330,36.31,36.30,0.01,19.1,-33.63,-33.64,0.00,-15.2,-11.65,-11.74,0.08
11,0.110,DESCENT,0.0360,36.31,36.31,0.00,18.7,-33.63,-33.63,0.01,-14.9,-11.73,-11.70,0.03
12,0.120,DESCENT,0.0390,36.31,36.32,0.01,18.2,-33.63,-33.64,0.01,-14.7,-11.81,-11.67,0.14
13,0.130,DESCENT,0.0420,36.91,36.71,0.20,17.7,-34.12,-33.95,0.16,-14.4,-11.89,-11.90,0.01
14,0.140,DESCENT,0.0450,36.91,36.90,0.01,17.2,-34.12,-34.12,0.01,-14.1,-11.96,-11.94,0.02
15,0.150,DESCENT,0.0480,36.91,36.92,0.01,16.7,-34.12,-34.11,0.00,-13.8,-12.03,-11.98,0.05
16,0.160,DESCENT,0.0510,37.46,37.09,0.37,16.2,-34.57,-34.26,0.31,-13.5,-12.10,-12.00,0.09
17,0.170,DESCENT,0.0540,37.46,37.46,0.00,15.8,-34.57,-34.58,0.01,-13.2,-12.16,-12.18,0.02
18,0.180,DESCENT,0.0570,37.46,37.46,0.00,15.3,-34.57,-34.57,0.00,-12.9,-12.22,-12.22,0.01
19,0.190,DESCENT,0.0600,37.46,37.46,0.00,14.8,-34.57,-34.24,0.33,-12.6,-12.28,-12.15,0.14
20,0.200,DESCENT,0.0630,37.95,37.95,0.00,14.3,-34.99,-35.31,0.32,-12.3,-12.34,-12.41,0.07
21,0.210,DESCENT,0.0660,37.95,37.96,0.01,13.8,-34.99,-34.07,0.92,-12.0,-12.39,-12.36,0.03
22,0.220,DESCENT,0.0690,37.95,37.95,0.01,13.4,-34.99,-33.53,1.46,-11.8,-12.44,-12.37,0.07
23,0.230,DESCENT,0.0720,38.39,38.24,0.15,12.9,-35.38,-32.60,2.78,-11.5,-12.49,-12.50,0.01
24,0.240,DESCENT,0.0750,38.39,38.40,0.01,12.4,-35.38,-33.76,1.62,-11.2,-12.53,-12.53,0.01
25,0.250,DESCENT,0.0780,38.39,38.39,0.00,11.9,-35.38,-33.53,1.85,-10.9,-12.57,-12.52,0.05
26,0.260,DESCENT,0.0810,38.78,38.52,0.26,11.4,-35.74,-43.27,7.53,-10.6,-12.61,-12.57,0.04
27,0.270,DESCENT,0.0840,38.78,38.78,0.01,11.0,-35.74,-36.48,0.74,-10.3,-12.65,-12.66,0.02
28,0.280,DESCENT,0.0870,38.78,38.77,0.00,10.5,-35.74,-35.73,0.00,-10.0,-12.68,-12.65,0.03
29,0.290,DESCENT,0.0900,38.78,38.78,0.00,10.0,-35.74,-34.76,0.98,-9.7,-12.71,-12.64,0.07
30,0.300,DESCENT,0.0930,39.11,39.11,0.00,9.5,-36.06,-37.03,0.97,-9.4,-12.74,-12.76,0.02
31,0.310,DESCENT,0.0960,39.11,39.11,0.00,9.0,-36.06,-36.06,0.00,-9.1,-12.76,-12.77,0.01
