load_kg,repeat,sample_index,time_from_squat_start_s,state,direction,s_q,bar_present,bar_y_m,bar_vy_mps,bar_a_raw_mps2,knee_l_joint_space_deg,knee_r_joint_space_deg,hip_l_joint_space_deg,hip_r_joint_space_deg,ankle_l_joint_space_deg,ankle_r_joint_space_deg,knee_l_included_deg,knee_r_included_deg,hip_l_included_deg,hip_r_included_deg,ankle_l_included_deg,ankle_r_included_deg,abdomen_joint_space_deg,thorax_joint_space_deg,world_trunk_pitch_deg,knee_l_omega_deg_s,knee_r_omega_deg_s,hip_l_omega_deg_s,hip_r_omega_deg_s,ankle_l_omega_deg_s,ankle_r_omega_deg_s,abdomen_omega_deg_s,thorax_omega_deg_s,knee_l_ref_deg,knee_r_ref_deg,hip_l_ref_deg,hip_r_ref_deg,ankle_l_ref_deg,ankle_r_ref_deg,knee_l_error_deg,hip_l_error_deg,ankle_l_error_deg,com_x_m,com_y_m,com_z_m,com_vel_x_mps,com_vel_y_mps,com_vel_z_mps,cop_available,cop_z_m,cop_fraction_support_ap,support_ap_min_m,support_ap_max_m,support_ap_center_m,capture_ap_m,capture_margin_rear_m,capture_margin_front_m,support_contacts,left_foot_contact,right_foot_contact,left_foot_contact_count,right_foot_contact_count,left_slip_speed_mps,right_slip_speed_mps,left_slip_accumulated_m,right_slip_accumulated_m,normal_force_contact_estimate_n,saddle_separation_m,bar_rot_x_deg,bar_rot_y_deg,bar_rot_z_deg,bar_ap_relative_com_m,bar_ap_relative_support_m,failure_reason,legal_depth,lockout_reached
0,3,0,0.0099999997764825821,DESCENT,Descent,0.003,0,NaN,NaN,NaN,-0.435211748,-0.197823435,-0.05595291,-0.17245847,0.201741114,0.06852804,174.017715,173.792313,163.061981,162.19487,83.7703,83.65612,0.05595291,0,4.28103,-25.1834469,-26.4096336,23.4380722,24.2309723,10.8991909,11.3699617,4.54426432,1.7111659,0.3403484,0.3403484,-0.318980783,-0.318980783,7.286288,7.286288,-0.775560141,0.263027877,-7.08454657,0.0007324945,1.04771721,-0.0283325836,0.00149777217,8.351054E-05,0.00154937746,1,-0.0257076137,0.444866955,-0.15471904,0.135280982,-0.009719029,-0.02782624,0.1268928,0.163107216,8,1,1,4,4,0.0012942988,0.00139405229,0,0,996.0994,NaN,NaN,NaN,NaN,NaN,NaN,NONE,0,0
0,3,1,0.019999999552965164,DESCENT,Descent,0.006,0,NaN,NaN,NaN,-0.6667568,-0.4279577,0.1480375,0.03956468,0.282548428,0.158258736,174.257553,174.03392,163.096161,162.2254,83.86335,83.75061,0.07912936,0,4.221275,-24.2902775,-24.5792446,22.1253757,22.119175,8.675291,9.062834,1.73510921,-0.06753363,0.6829933,0.6829933,-0.449368715,-0.449368715,9.470648,9.470648,-1.34975,0.5974062,-9.188099,0.000747966231,1.04772747,-0.028317349,0.00156355533,0.00163265713,0.00157806766,1,-0.0339818262,0.4163352,-0.15471904,0.135280982,-0.009719029,-0.0278016273,0.1269174,0.163082615,8,1,1,4,4,0.00140529848,0.00135563058,0,0,992.124756,NaN,NaN,NaN,NaN,NaN,NaN,NONE,0,0
0,3,2,0.029999999329447746,DESCENT,Descent,0.009000001,0,NaN,NaN,NaN,-0.84856987,-0.606515765,0.314035028,0.197823435,0.338040918,0.209356651,174.459778,174.236282,163.121811,162.252,83.93904,83.8268661,0.06852804,0,4.17224,-19.1370029,-19.452919,17.0080662,16.9742241,5.79839,6.221292,-0.00577349449,-0.9033194,1.02563727,1.02563727,-0.9593954,-0.9593954,7.071365,7.071365,-1.87420714,1.27343047,-6.733324,0.000763100747,1.04774857,-0.0283155814,0.00154106715,0.00278370338,0.00010080506,1,-0.0272757784,0.4394595,-0.15471904,0.135280982,-0.009719029,-0.0282826368,0.1264364,0.163563624,8,1,1,4,4,0.00221247133,0.00230755052,0,0,1035.00281,NaN,NaN,NaN,NaN,NaN,NaN,NONE,0,0
0,3,3,0.039999999105930328,DESCENT,Descent,0.012000001,0,NaN,NaN,NaN,-1.00870872,-0.763097346,0.4387938,0.3214251,0.39762035,0.271241874,174.619446,174.393112,163.14006,162.27037,83.99986,83.88708,0.06852804,-0.03956468,4.13337,-16.69629,-17.1326122,12.85196,12.8134,6.268813,6.766179,-0.4413761,-1.2731452,1.37228119,1.37228119,-1.28265929,-1.28265929,9.133634,9.133634,-2.38099,1.72145307,-8.736013,0.0007795996,1.04782474,-0.0283205938,0.00167461636,0.008222117,-0.000333881879,1,-0.0310682133,0.426382124,-0.15471904,0.135280982,-0.009719029,-0.0284297131,0.126289323,0.1637107,8,1,1,4,4,0.001091818,0.00119393645,0,0,983.532654,NaN,NaN,NaN,NaN,NaN,NaN,NONE,0,0
0,3,4,0.04999999888241291,DESCENT,Descent,0.0150000015,0,NaN,NaN,NaN,-1.11696243,-0.8686248,0.523392,0.403482378,0.435211748,0.306466818,174.72966,174.50032,163.153137,162.284851,84.03916,83.92498,0.05595291,-0.05595291,4.101351,-11.227869,-11.9401436,9.041175,9.189335,3.78622842,4.35030937,-0.7241752,-0.9762764,1.72187555,1.72187555,-1.60859859,-1.60859859,6.73080254,6.73080254,-2.838838,2.13199067,-6.295591,0.0007979063,1.04790521,-0.0283195749,0.001837117,0.008511332,0.00032979637,1,-0.02405805,0.450555116,-0.15471904,0.135280982,-0.009719029,-0.0282117855,0.126507252,0.163492769,8,1,1,4,4,0.000941946055,0.00108683622,0,0,997.789,NaN,NaN,NaN,NaN,NaN,NaN,NONE,0,0
0,3,5,0.059999998658895493,DESCENT,Descent,0.0180000011,0,NaN,NaN,NaN,-1.18099606,-0.931244552,0.5760711,0.4545639,0.456282467,0.326258838,174.79306,174.56163,163.16156,162.29332,84.05897,83.94382,0.03956468,-0.07912936,4.076294,-6.877236,-7.6465683,5.60332441,5.79233027,2.14378238,2.70627379,-1.04842758,-0.736818254,2.07141972,2.07141972,-1.93424642,-1.93424642,7.16095161,7.16095161,-3.25241566,2.51031756,-6.704669,0.0008172748,1.04800212,-0.02830885,0.001936772,0.0102260541,0.001176481,1,-0.0279469881,0.437144965,-0.15471904,0.135280982,-0.009719029,-0.0279243179,0.126794726,0.1632053,8,1,1,4,4,0.0006235187,0.0007180459,0,0,949.4627,NaN,NaN,NaN,NaN,NaN,NaN,NONE,0,0
0,3,6,0.069999998435378075,DESCENT,Descent,0.0210000016,0,NaN,NaN,NaN,-1.21947122,-0.969135761,0.5974143,0.478062242,0.474776536,0.344917029,174.820587,174.587646,163.1665,162.296478,84.06569,83.94953,0,-0.08846932,4.057674,-4.26218176,-5.102194,2.53182173,2.80967355,1.784398,2.319899,-1.39348662,-0.7527347,2.42352319,2.42352319,-2.26180816,-2.26180816,7.917874,7.917874,-3.6429944,2.85922241,-7.443097,0.00083653233,1.048068,-0.0282897539,0.00192604866,0.007107481,0.002000184,1,-0.0280334428,0.436846852,-0.15471904,0.135280982,-0.009719029,-0.0276359767,0.127083063,0.162916958,8,1,1,4,4,0.0004084882,0.000415362942,0,0,942.942261,NaN,NaN,NaN,NaN,NaN,NaN,NONE,0,0
0,3,7,0.079999998211860657,DESCENT,Descent,0.0240000021,0,NaN,NaN,NaN,-1.21045208,-0.961025655,0.5908274,0.471467942,0.4647801,0.333378077,174.811829,174.579453,163.168381,162.297821,84.05583,83.9392242,0,-0.10467831,4.04431629,0.4637554,-0.435583234,-0.240426183,0.133308977,-0.9675218,-0.450072765,-1.72394228,-0.4758846,2.78003263,2.78003263,-2.592976,-2.592976,5.51182175,5.51182175,-3.99048471,3.18380356,-5.047042,0.000855016755,1.04809606,-0.0282630417,0.00185438141,0.003338101,0.00273936661,1,-0.0232549477,0.4533244,-0.15471904,0.135280982,-0.009719029,-0.027367644,0.1273514,0.162648618,8,1,1,4,4,0.000579736952,0.000601146137,0,0,969.2861,NaN,NaN,NaN,NaN,NaN,NaN,NONE,0,0
0,3,8,0.089999997988343239,DESCENT,Descent,0.0270000026,0,NaN,NaN,NaN,-1.17701292,-0.9287197,0.552491248,0.437006474,0.451107055,0.3214251,174.770248,174.53894,163.166275,162.293976,84.03443,83.9179459,0,-0.125114515,4.039042,2.813112,2.00121546,-3.13549066,-2.81177473,-1.30459118,-0.815973,-2.00479364,-0.418575853,3.13645673,3.13645673,-2.92412066,-2.92412066,7.6895237,7.6895237,-4.31347,3.47661185,-7.23841667,0.000872498844,1.04811156,-0.0282332487,0.00176627515,0.00220461655,0.002991044,1,-0.0280008353,0.4369593,-0.15471904,0.135280982,-0.009719029,-0.02725558,0.12746346,0.162536561,8,1,1,4,4,0.000523357652,0.000609282055,0,0,944.130737,NaN,NaN,NaN,NaN,NaN,NaN,NONE,0,0
0,3,9,0.099999997764825821,DESCENT,Descent,0.0300000031,0,NaN,NaN,NaN,-1.1085217,-0.8613861,0.497320741,0.381548166,0.416840017,0.285305053,174.703751,174.4746,163.161575,162.289825,84.00183,83.88558,0,-0.137056082,4.038572,6.334995,5.448777,-5.145984,-4.73846626,-3.40224385,-2.9022007,-2.09625363,-0.151589617,3.49327326,3.49327326,-3.25525165,-3.25525165,5.28350163,5.28350163,-4.601795,3.7525723,-4.86666155,0.000889204035,1.04809153,-0.0282026939,0.0016928059,-0.00144395093,0.00312613742,1,-0.0227792431,0.4549648,-0.15471904,0.135280982,-0.009719029,-0.0271808766,0.127538159,0.162461862,8,1,1,4,4,0.000683655264,0.000728169456,0,0,980.575867,NaN,NaN,NaN,NaN,NaN,NaN,NONE,0,0
