load_kg,repeat,variant,cutoff_hz,noise_sigma_multiplier,status,v0_index,vmax1_index,dmax1_index,vmin_index,vmax2_index,stable_vs_default
25,1,fc8_sigma4,8,4,NO_RESOLVABLE_STICKING_REGION,-1,-1,-1,-1,-1,STABLE
25,1,fc10_sigma3,10,3,NO_RESOLVABLE_STICKING_REGION,-1,-1,-1,-1,-1,STABLE
25,1,fc10_sigma4,10,4,NO_RESOLVABLE_STICKING_REGION,-1,-1,-1,-1,-1,STABLE
25,1,fc10_sigma5,10,5,NO_RESOLVABLE_STICKING_REGION,-1,-1,-1,-1,-1,STABLE
25,1,fc12_sigma4,12,4,NO_RESOLVABLE_STICKING_REGION,-1,-1,-1,-1,-1,STABLE
25,2,fc8_sigma4,8,4,NO_RESOLVABLE_STICKING_REGION,-1,-1,-1,-1,-1,STABLE
25,2,fc10_sigma3,10,3,NO_RESOLVABLE_STICKING_REGION,-1,-1,-1,-1,-1,STABLE
25,2,fc10_sigma4,10,4,NO_RESOLVABLE_STICKING_REGION,-1,-1,-1,-1,-1,STABLE
25,2,fc10_sigma5,10,5,NO_RESOLVABLE_STICKING_REGION,-1,-1,-1,-1,-1,STABLE
25,2,fc12_sigma4,12,4,NO_RESOLVABLE_STICKING_REGION,-1,-1,-1,-1,-1,STABLE
25,3,fc8_sigma4,8,4,NO_RESOLVABLE_STICKING_REGION,-1,-1,-1,-1,-1,STABLE
25,3,fc10_sigma3,10,3,NO_RESOLVABLE_STICKING_REGION,-1,-1,-1,-1,-1,STABLE
25,3,fc10_sigma4,10,4,NO_RESOLVABLE_STICKING_REGION,-1,-1,-1,-1,-1,STABLE
25,3,fc10_sigma5,10,5,NO_RESOLVABLE_STICKING_REGION,-1,-1,-1,-1,-1,STABLE
25,3,fc12_sigma4,12,4,NO_RESOLVABLE_STICKING_REGION,-1,-1,-1,-1,-1,STABLE
