experiment,load_kg,channel,input_deg,repeat,tick,time_s,command_tick,valid_local,invalid_reason,has_support,support_contacts,has_cop,cop_ap_m,com_ap_m,com_velocity_ap_mps,capture_ap_m,capture_margin_m,support_ap_min_m,support_ap_max_m,pelvis_y_m,trunk_pitch_rad,saddle_separation_m,ankle_requested_target_deg,ankle_applied_target_deg,hip_requested_target_deg,hip_applied_target_deg,abdomen_requested_target_deg,abdomen_applied_target_deg,thorax_requested_target_deg,thorax_applied_target_deg,ankle_actual_deg,hip_actual_deg,abdomen_actual_deg,thorax_actual_deg,ankle_solver_torque_nm,hip_solver_torque_nm,abdomen_solver_torque_nm,thorax_solver_torque_nm,max_demand
zero,25,zero,0,1,0,0,5,False,SADDLE_DEPARTURE,True,8,False,NaN,-0.04844933,2.55584723E-07,-0.0484492444,0.106269792,-0.15471904,0.135280982,0.9836224,0.100444764,0.05218495,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,0,0,1.0770067,0.944596469,0,0,-7.4505806E-07,-4.38830978E-18,0.258223653
zero,25,zero,0,1,1,0.01,5,True,NONE,True,8,False,NaN,-0.0484493449,-1.27220164E-06,-0.04844978,0.106269255,-0.15471904,0.135280982,0.9834456,0.08486787,0.0445098579,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,0,0.07912936,1.6560694,1.46924019,0.000650901347,-5.51342964E-05,0.0113838352,0.0124037266,0.0231630914
zero,25,zero,0,1,2,0.02,5,True,NONE,True,8,True,-0.151469141,-0.0485022,-0.007727606,-0.0511377677,0.100551195,-0.151688963,0.138809174,0.982474744,0.07137566,0.03651607,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,0.18130818,0.03956468,2.147122,1.89788973,-0.00422382727,1.49011612E-05,-0.00220919028,0.000438094139,0.0367057323
zero,25,zero,0,1,3,0.03,5,True,NONE,True,8,True,-0.135886118,-0.0485986136,-0.00776146,-0.0512417145,0.100447252,-0.151688963,0.138809174,0.980919063,0.0609324425,0.0310194623,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,0.403482378,0.05595291,2.460067,2.22200656,-0.229388475,2.64495611E-05,0.0392156653,-0.0009275973,0.0815138444
zero,25,zero,0,1,4,0.04,5,True,NONE,True,8,True,-0.09453052,-0.04866167,-0.004596333,-0.05022446,0.1014645,-0.151688963,0.138809174,0.979299,0.0528595075,0.0270680748,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,0.4015379,0.03956468,2.680842,2.45752025,0.018453598,6.70552254E-06,0.008045323,0.00113099813,0.0276793055
zero,25,zero,0,1,5,0.05,5,True,NONE,True,8,True,-0.0911235139,-0.048662696,0.00149579626,-0.0481548421,0.103534117,-0.151688963,0.138809174,0.977878749,0.04775327,0.0231695455,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,0.351658732,0.06852804,2.81751,2.607426,0.8384645,-3.7252903E-06,0.0237047672,0.0005185604,0.0344191641
zero,25,zero,0,1,6,0.06,5,True,NONE,True,8,True,-0.09082632,-0.0485715754,0.0107320528,-0.0449320376,0.106756926,-0.151688963,0.138809174,0.976774156,0.0435794331,0.0203698482,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,0.2683408,0.06852804,2.92599416,2.704389,1.99227333,3.7252903E-06,-0.02349019,0.000109523535,0.0440584719
zero,25,zero,0,1,7,0.07,5,True,NONE,True,8,True,-0.09103548,-0.0483641773,0.0218138359,-0.0409725644,0.1107164,-0.151688963,0.138809174,0.976173,0.0403643847,0.01869917,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,0.205584154,0.05595291,3.01246381,2.7712903,3.17343473,1.00582838E-05,-0.0280238688,0.000243633986,0.04677683
zero,25,zero,0,1,8,0.08,5,True,NONE,True,8,True,-0.0915214941,-0.0480350219,0.0331502631,-0.0368075,0.114881463,-0.151688963,0.138809174,0.9761209,0.03813655,0.018032657,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,0.158258736,0.06852804,3.07419419,2.818621,3.69938612,2.98023224E-05,-0.07144138,0.0002786517,0.0484502837
zero,25,zero,0,1,9,0.09,5,True,NONE,True,8,True,-0.09197957,-0.04759623,0.0432180353,-0.0329619981,0.118726969,-0.151688963,0.138809174,0.9764769,0.0365432054,0.0180964153,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,0.142652512,0.07912936,3.121948,2.85833144,3.50955129,5.58793545E-06,-0.07736385,0.000290572643,0.0486554019
