load_kg,tick,time_s,valid_repeats,cop_mean_m,cop_std_m,com_mean_m,com_std_m,trunk_mean_rad,trunk_std_rad
25,0,0,0,0,0,0,0,0,0
25,1,0.01,0,0,0,0,0,0,0
25,2,0.02,0,0,0,0,0,0,0
25,3,0.03,0,0,0,0,0,0,0
25,4,0.04,0,0,0,0,0,0,0
25,5,0.05,3,-0.0911235139,0,-0.048662696,0,0.04775327,0
25,6,0.06,3,-0.09082631,7.450581E-09,-0.0485715754,0,0.0435794331,0
25,7,0.07,3,-0.09103548,0,-0.0483641773,0,0.0403643847,0
25,8,0.08,3,-0.0915214941,0,-0.0480350219,0,0.03813655,0
25,9,0.09,3,-0.09197957,0,-0.04759623,0,0.0365432054,0
25,10,0.1,3,-0.09212422,0,-0.04707132,3.7252903E-09,0.03527216,0
25,11,0.11,3,-0.09171995,7.450581E-09,-0.0464862324,0,0.0339908525,0
25,12,0.12,3,-0.09057448,7.450581E-09,-0.0458623059,0,0.0326902121,0
25,13,0.13,3,-0.08890412,7.450581E-09,-0.0452137031,0,0.0313936137,0
25,14,0.14,3,-0.08699756,0,-0.0445482433,0,0.0302792918,0
25,15,0.15,3,-0.08513462,0,-0.0438683145,3.7252903E-09,0.0292099733,0
25,16,0.16,3,-0.08365669,0,-0.0431729965,0,0.02823011,0
25,17,0.17,3,-0.08254845,0,-0.042459283,0,0.0273763258,0
25,18,0.18,3,-0.08171897,0,-0.0417230166,0,0.02666975,1.86264515E-09
25,19,0.19,3,-0.08108445,0,-0.0409601256,0,0.026263414,0
25,20,0.2,3,-0.0803957,0,-0.04016694,0,0.0256296471,0
25,21,0.21,3,-0.0797076,0,-0.0393421352,0,0.0249568373,0
25,22,0.22,3,-0.07886012,0,-0.03848658,0,0.0243837889,1.86264515E-09
25,23,0.23,3,-0.07786353,0,-0.03760203,0,0.0238937642,0
25,24,0.24,3,-0.07680345,0,-0.03669125,0,0.0233411249,0
25,25,0.25,3,-0.07574493,0,-0.0357568078,0,0.0227752272,0
25,26,0.26,3,-0.07481248,0,-0.0347999521,0,0.0218550172,1.86264515E-09
