load_kg,channel,input_deg,valid_samples,first_valid_tick,last_valid_tick,local_window_start_tick,local_window_end_tick,cop_delay_ticks,com_delay_ticks,trunk_delay_ticks,cop_local_gain_m_per_rad,com_local_gain_m_per_rad,trunk_local_gain_rad_per_rad,cop_peak_delta_m,com_peak_delta_m,trunk_peak_delta_rad,cop_trend_m_per_s,com_trend_m_per_s,trunk_trend_rad_per_s
25,ankle,-0.5,68,5,72,10,30,0,5,23,0.8654376,-0.123387992,0.0239019115,0.009162068,0.0153344609,0.0157213844,0.0354429856,0.03353912,-0.0364407673
25,ankle,0.5,88,5,92,10,30,0,5,23,0.8689933,-0.123674169,0.0216556136,0.0387466848,0.07390172,0.09595161,0.08711488,0.1880287,-0.2380842
25,ankle,-1,62,5,66,10,30,0,3,20,0.864930332,-0.123335518,0.023277197,0.0183229819,0.0257181916,0.0260209963,0.0658037141,0.061805103,-0.06722258
25,ankle,1,103,5,107,10,30,0,3,20,0.8704787,-0.12367665,0.022568861,0.0524435677,0.08050529,0.10410881,0.107063025,0.19391866,-0.238994628
25,ankle,-2,52,5,56,10,30,0,3,6,0.871140838,-0.117782235,0.0184166841,0.03691587,0.0360770971,0.035322085,0.11125125,0.10417556,-0.113988921
25,ankle,2,140,5,144,10,30,0,3,6,0.8783206,-0.118468218,0.01894294,0.0456500053,0.07733837,0.0800414756,0.112964474,0.17787081,-0.214221269
25,hip,-0.5,74,5,78,10,30,1,4,2,0.330448836,0.0121341264,0.8423604,0.004069872,0.00434672832,0.0120039135,0.0100109568,0.009415492,-0.01069797
25,hip,0.5,79,5,83,10,30,1,4,2,0.33867383,0.0125742862,0.800685346,0.0264440048,0.0675010756,0.0807664841,0.06498239,0.175957367,-0.22853303
25,hip,-1,72,5,76,10,30,1,2,1,0.3365631,0.01269133,0.8175478,0.008101098,0.008467637,0.0236583278,0.0201681312,0.0190411,-0.021526169
25,hip,1,82,5,86,10,30,1,2,1,0.342029572,0.0128590614,0.8051648,0.0310375914,0.0700390562,0.07628621,0.072794795,0.181484684,-0.2336023
25,hip,-2,68,5,72,10,30,0,2,1,0.335805327,0.0135002956,0.8072559,0.0161639154,0.0146886706,0.04495931,0.0365750864,0.03555243,-0.0399621
25,hip,2,88,5,92,10,30,0,2,1,0.3438425,0.0138921607,0.772055745,0.03821535,0.0729464,0.06494729,0.0818553,0.183708966,-0.233178332
25,trunk,-0.5,80,5,84,10,30,0,3,0,-0.479952425,-0.0291517042,-1.748702,0.0282813143,0.0687141046,0.07323712,0.06881962,0.179922253,-0.232637018
25,trunk,0.5,74,5,78,10,30,0,3,0,-0.467903554,-0.0286998544,-1.77514243,0.00577162951,0.00564585626,0.0222389251,0.013549475,0.0125673125,-0.0145145636
25,trunk,-1,84,5,88,10,30,0,2,0,-0.4794774,-0.0295365062,-1.70932722,0.0336933,0.07141374,0.0600365028,0.0759412348,0.1824548,-0.232593074
25,trunk,1,71,5,75,10,30,0,2,0,-0.467272341,-0.0286893919,-1.78615534,0.0115729272,0.010057237,0.0431964844,0.0238579735,0.0233606137,-0.0265617147
25,trunk,-2,93,5,97,10,30,0,2,0,-0.460119158,-0.0304322522,-1.71587729,0.0446361043,0.0770178363,0.0922348648,0.08822142,0.185232341,-0.229682073
25,trunk,2,66,5,70,10,30,0,2,0,-0.4723102,-0.0299520735,-1.75307751,0.02288232,0.0171061754,0.08289541,0.04392374,0.0441491678,-0.05049715
60,ankle,-1,62,5,66,10,30,0,4,8,0.6855593,-0.0951839462,-0.03430094,0.015067108,0.02016113,0.0217307881,0.0297004227,0.04862226,-0.05717836
60,ankle,1,107,5,111,10,30,0,4,8,0.693925,-0.09178023,-0.05320004,0.09737896,0.08788166,0.282369375,-0.0556659959,0.194968253,-0.5593456
60,hip,-1,67,5,71,10,30,1,3,1,0.308773041,0.0169545319,0.819264,0.007494457,0.006889807,0.0234613568,0.01867278,0.0175269321,-0.01281554
60,hip,1,76,5,80,10,30,1,3,1,0.30529213,0.0189238433,0.8014926,0.08336311,0.04931926,0.144547135,-0.231321782,0.1376603,-0.437278122
60,trunk,-1,74,5,78,10,30,0,2,0,-0.4384948,-0.03750844,-1.79194582,0.08423911,0.047072798,0.10718172,-0.235811055,0.13524586,-0.39607802
60,trunk,1,69,5,73,10,30,0,2,0,-0.452470571,-0.03610116,-1.79834533,0.0110952854,0.006126698,0.04928492,0.0241410211,0.014429342,-0.0477332175
140,ankle,-1,105,5,109,10,30,0,5,9,0.4423957,-0.06386741,-0.200972691,0.01559161,0.0564035326,0.05376038,0.0367126726,0.08697703,-0.0812489539
140,ankle,1,140,5,144,10,30,0,5,8,0.419424444,-0.06538406,-0.0817227662,0.06440322,0.09057443,0.200519413,-0.0821784,0.0189048089,-0.315848142
140,hip,-1,118,5,122,10,30,0,3,2,0.226544857,0.0204188712,0.8806661,0.007467352,0.0257647969,0.0419936627,0.0150092468,0.0372096449,-0.03593672
140,hip,1,138,5,142,10,30,0,3,2,0.222726151,0.01984601,0.8750096,0.0442998521,0.06541197,0.253365457,-0.0469720028,0.105188832,-0.4062493
140,trunk,-1,140,5,144,10,30,0,3,0,-0.341498047,-0.0454581,-1.93510342,0.0473632924,0.0576272644,0.225669622,-0.04985781,0.09543249,-0.392818183
140,trunk,1,115,5,119,10,30,0,3,0,-0.346474439,-0.0458694547,-1.90119636,0.00926207751,0.0329769254,0.0694861561,0.0198703334,0.0489951633,-0.0478401
170,ankle,-1,116,5,120,10,30,0,5,8,0.353572041,-0.0594753139,-0.09869603,0.0159943551,0.06505316,0.0615069419,0.0337155238,0.0930532143,-0.09051849
170,ankle,1,140,5,144,10,30,0,5,8,0.36490947,-0.0588236637,-0.0979860947,0.0350872129,0.118876666,0.114874169,-0.0522119962,-0.144933075,0.14429976
170,hip,-1,131,5,135,10,30,0,4,1,0.198983833,0.0213422887,0.9162953,0.00906902552,0.0340963043,0.05123304,0.0163138956,0.0447762422,-0.04517372
170,hip,1,140,5,144,10,30,0,4,2,0.2071093,0.02105485,0.8945145,0.0127084069,0.0439416319,0.06112893,-0.0198029261,-0.054403577,0.05514231
170,trunk,-1,140,5,144,10,30,0,3,0,-0.2990332,-0.04581695,-2.055829,0.0129812993,0.0499736853,0.08756155,-0.0232546926,-0.0631746,0.060670197
170,trunk,1,126,5,130,10,30,0,3,0,-0.3264741,-0.0485848226,-1.89930248,0.0122929513,0.0467177033,0.08537991,0.02275799,0.06400767,-0.06468524
300,ankle,-1,11,5,15,10,15,1,6,9,0.2533801,-0.009724979,-0.0533181652,0.0138909146,0.0002823472,0.00136706233,0.0229117274,0.004182011,0.0170072913
300,ankle,1,11,5,15,10,15,1,6,7,0.24928987,-0.0094051,-0.0587710775,0.0115254074,0.0002764091,0.00159932673,-0.0226272643,-0.004147142,-0.0224840641
300,hip,-1,11,5,15,10,15,1,5,2,0.07589315,0.0115909735,0.479102135,0.00174114108,0.0002810061,0.01161468,-0.0177516043,-0.00317618251,-0.132731646
300,hip,1,11,5,15,10,15,1,5,2,0.07518694,0.0116408477,0.479293,0.00154224783,0.00028090924,0.0122477636,0.0116172433,0.00316038728,0.1382035
300,trunk,-1,11,5,15,10,15,1,4,0,-0.0625082552,-0.0195578914,-1.023769,0.00172800571,0.000512450933,0.0240609422,0.0297360122,0.006634742,0.237205625
300,trunk,1,11,5,15,10,15,1,4,0,-0.0618454441,-0.0195210353,-1.054405,0.00192591548,0.0005099699,0.0247215629,-0.0361160934,-0.00658765435,-0.2541259
