sweep,candidate,capacity_model_version,failure_calibration_version,load_kg,run,athlete_mass_kg,bar_mass_kg,trace_count,terminal_reason,terminal_tick,physical_success,p3_evidence,p3_outcome,p3_primary,p3_secondary,failure_onset_tick,failure_latch_tick,p3_evidence_channels,p2_evidence,p2_outcome,p2_violations,squat_command_tick,drive_intent_tick,min_worst_side_depth_m,legal_physical_depth,descent_onset_tick,bottom_tick,ascent_establishment_tick,completion_region_tick,lockout_tick,concentric_duration_s,bottom_to_completion_region_s,concentric_displacement_m,mean_concentric_velocity_mps,time_avg_concentric_velocity_mps,peak_concentric_velocity_mps,min_mid_ascent_velocity_mps,max_downward_reversal_after_ascent_m,max_bar_height_gain_m,max_modeled_demand,mean_ascent_modeled_demand,ascent_near_saturation_fraction,ascent_saturation_fraction,peak_knee_demand,peak_hip_demand,peak_ankle_demand,peak_trunk_demand,peak_knee_tracking_error_rad,peak_hip_tracking_error_rad,peak_ankle_tracking_error_rad,peak_trunk_tracking_error_rad,mean_ascent_knee_tracking_error_rad,mean_ascent_hip_tracking_error_rad,knee_max_force_nm,hip_max_force_nm,ankle_max_force_nm,trunk_max_force_nm,knee_capacity_scale,max_force_constant,trunk_pitch_min_rad,trunk_pitch_max_rad,min_front_support_margin_m,min_rear_support_margin_m,com_z_min_m,com_z_max_m,max_saddle_separation_m,saddle_detached_or_broken,support_ever_lost,sticking,sticking_detector_status,sticking_vmax1_mps,sticking_vmin_mps,sticking_vmax2_mps,sticking_vmax1_tick,sticking_vmin_tick,sticking_vmax2_tick,sticking_velocity_reduction_fraction,sticking_interval_s,noise_velocity_threshold_mps,all_evidence_finite
baseline,unmodified,PRE_GAM13_LOAD_RATIO_CAPACITY_SCALE,GAM12_P3A1_FAILURE_CALIBRATION_PROVISIONAL_V1,25,1,99.99999,25,742,PHYSICAL_LOCKOUT,855,true,EVALUABLE,NO_PHYSICAL_FAILURE,NONE,NONE,NA,NA,NONE,EVALUABLE,NO_LIFT,FAILED_START_POSITION|SUPPORT_VIOLATION,121,475,-0.0283285975,true,185,495,516,747,855,3.6,2.52,0.556079745,0.1544666,0.156483,0.320043117,-0.0072433427,0.006596327,0.5626761,0.258515567,0.247293517,0,0,0.115238383,0.0911205,0.05102097,0.06301362,0.3750522,0.2593001,0.16020593,0.17779851,0.280141681,0.179039821,2565,2565,2137.5,1852.5,8.55,true,-0.557566047,0.1425305,0.18032591,0.104709163,-0.0500098765,-0.04504493,0.006405488,false,false,NO_RESOLVABLE_STICKING,NoStickingRegion,NA,NA,NA,NA,NA,NA,NA,NA,0.0146180075,true
baseline,unmodified,PRE_GAM13_LOAD_RATIO_CAPACITY_SCALE,GAM12_P3A1_FAILURE_CALIBRATION_PROVISIONAL_V1,25,2,99.99999,25,742,PHYSICAL_LOCKOUT,855,true,EVALUABLE,NO_PHYSICAL_FAILURE,NONE,NONE,NA,NA,NONE,EVALUABLE,NO_LIFT,FAILED_START_POSITION|SUPPORT_VIOLATION,121,475,-0.0283285975,true,185,495,516,747,855,3.6,2.52,0.556079745,0.1544666,0.156483,0.320043117,-0.0072433427,0.006596327,0.5626761,0.258515567,0.247293517,0,0,0.115238383,0.0911205,0.05102097,0.06301362,0.3750522,0.2593001,0.16020593,0.17779851,0.280141681,0.179039821,2565,2565,2137.5,1852.5,8.55,true,-0.557566047,0.1425305,0.18032591,0.104709163,-0.0500098765,-0.04504493,0.006405488,false,false,NO_RESOLVABLE_STICKING,NoStickingRegion,NA,NA,NA,NA,NA,NA,NA,NA,0.0146180075,true
baseline,unmodified,PRE_GAM13_LOAD_RATIO_CAPACITY_SCALE,GAM12_P3A1_FAILURE_CALIBRATION_PROVISIONAL_V1,25,3,99.99999,25,742,PHYSICAL_LOCKOUT,855,true,EVALUABLE,NO_PHYSICAL_FAILURE,NONE,NONE,NA,NA,NONE,EVALUABLE,NO_LIFT,FAILED_START_POSITION|SUPPORT_VIOLATION,121,475,-0.0283285975,true,185,495,516,747,855,3.6,2.52,0.556079745,0.1544666,0.156483,0.320043117,-0.0072433427,0.006596327,0.5626761,0.258515567,0.247293517,0,0,0.115238383,0.0911205,0.05102097,0.06301362,0.3750522,0.2593001,0.16020593,0.17779851,0.280141681,0.179039821,2565,2565,2137.5,1852.5,8.55,true,-0.557566047,0.1425305,0.18032591,0.104709163,-0.0500098765,-0.04504493,0.006405488,false,false,NO_RESOLVABLE_STICKING,NoStickingRegion,NA,NA,NA,NA,NA,NA,NA,NA,0.0146180075,true
baseline,unmodified,PRE_GAM13_LOAD_RATIO_CAPACITY_SCALE,GAM12_P3A1_FAILURE_CALIBRATION_PROVISIONAL_V1,60,1,99.99999,60,1503,TIMEOUT,1833,false,EVALUABLE,PHYSICAL_FAILURE,POSTURE_OR_BAR_LOSS,FAILED_REVERSAL|BALANCE_LOSS|BALANCE_LOSS,331,332,JOINT_KINEMATICS|TRUNK_KINEMATICS,INCOMPLETE_ATTEMPT,UNDETERMINED,NONE,334,688,-0.414013684,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3283.19971,3283.2,2736,2371.2,10.9439993,true,1.40224028,1.52423823,0.05404353,-0.4185052,-1.77181971,-1.69876707,0.0130050434,false,true,INSUFFICIENT_SIGNAL,InsufficientSignal,NA,NA,NA,NA,NA,NA,NA,NA,NA,true
baseline,unmodified,PRE_GAM13_LOAD_RATIO_CAPACITY_SCALE,GAM12_P3A1_FAILURE_CALIBRATION_PROVISIONAL_V1,60,2,99.99999,60,1503,TIMEOUT,1833,false,EVALUABLE,PHYSICAL_FAILURE,POSTURE_OR_BAR_LOSS,FAILED_REVERSAL|BALANCE_LOSS|BALANCE_LOSS,331,332,JOINT_KINEMATICS|TRUNK_KINEMATICS,INCOMPLETE_ATTEMPT,UNDETERMINED,NONE,334,688,-0.414013684,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3283.19971,3283.2,2736,2371.2,10.9439993,true,1.40224028,1.52423823,0.05404353,-0.4185052,-1.77181971,-1.69876707,0.0130050434,false,true,INSUFFICIENT_SIGNAL,InsufficientSignal,NA,NA,NA,NA,NA,NA,NA,NA,NA,true
baseline,unmodified,PRE_GAM13_LOAD_RATIO_CAPACITY_SCALE,GAM12_P3A1_FAILURE_CALIBRATION_PROVISIONAL_V1,60,3,99.99999,60,1503,TIMEOUT,1833,false,EVALUABLE,PHYSICAL_FAILURE,POSTURE_OR_BAR_LOSS,FAILED_REVERSAL|BALANCE_LOSS|BALANCE_LOSS,331,332,JOINT_KINEMATICS|TRUNK_KINEMATICS,INCOMPLETE_ATTEMPT,UNDETERMINED,NONE,334,688,-0.414013684,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3283.19971,3283.2,2736,2371.2,10.9439993,true,1.40224028,1.52423823,0.05404353,-0.4185052,-1.77181971,-1.69876707,0.0130050434,false,true,INSUFFICIENT_SIGNAL,InsufficientSignal,NA,NA,NA,NA,NA,NA,NA,NA,NA,true
baseline,unmodified,PRE_GAM13_LOAD_RATIO_CAPACITY_SCALE,GAM12_P3A1_FAILURE_CALIBRATION_PROVISIONAL_V1,140,1,99.99999,140,1503,TIMEOUT,1746,false,EVALUABLE,PHYSICAL_FAILURE,POSTURE_OR_BAR_LOSS,FAILED_REVERSAL,244,245,JOINT_KINEMATICS|TRUNK_KINEMATICS,INCOMPLETE_ATTEMPT,UNDETERMINED,NONE,247,601,-0.428799748,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4924.79932,4924.80029,4104,3556.8,16.4159985,true,1.18843675,1.56771946,1.09749579,-1.19775033,-1.398039,-1.31362951,0.01497892,false,true,INSUFFICIENT_SIGNAL,InsufficientSignal,NA,NA,NA,NA,NA,NA,NA,NA,NA,true
baseline,unmodified,PRE_GAM13_LOAD_RATIO_CAPACITY_SCALE,GAM12_P3A1_FAILURE_CALIBRATION_PROVISIONAL_V1,140,2,99.99999,140,1503,TIMEOUT,1746,false,EVALUABLE,PHYSICAL_FAILURE,POSTURE_OR_BAR_LOSS,FAILED_REVERSAL,244,245,JOINT_KINEMATICS|TRUNK_KINEMATICS,INCOMPLETE_ATTEMPT,UNDETERMINED,NONE,247,601,-0.428799748,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4924.79932,4924.80029,4104,3556.8,16.4159985,true,1.18843675,1.56771946,1.09749579,-1.19775033,-1.398039,-1.31362951,0.01497892,false,true,INSUFFICIENT_SIGNAL,InsufficientSignal,NA,NA,NA,NA,NA,NA,NA,NA,NA,true
baseline,unmodified,PRE_GAM13_LOAD_RATIO_CAPACITY_SCALE,GAM12_P3A1_FAILURE_CALIBRATION_PROVISIONAL_V1,140,3,99.99999,140,1503,TIMEOUT,1746,false,EVALUABLE,PHYSICAL_FAILURE,POSTURE_OR_BAR_LOSS,FAILED_REVERSAL,244,245,JOINT_KINEMATICS|TRUNK_KINEMATICS,INCOMPLETE_ATTEMPT,UNDETERMINED,NONE,247,601,-0.428799748,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4924.79932,4924.80029,4104,3556.8,16.4159985,true,1.18843675,1.56771946,1.09749579,-1.19775033,-1.398039,-1.31362951,0.01497892,false,true,INSUFFICIENT_SIGNAL,InsufficientSignal,NA,NA,NA,NA,NA,NA,NA,NA,NA,true
baseline,unmodified,PRE_GAM13_LOAD_RATIO_CAPACITY_SCALE,GAM12_P3A1_FAILURE_CALIBRATION_PROVISIONAL_V1,170,1,99.99999,170,1503,TIMEOUT,1780,false,EVALUABLE,PHYSICAL_FAILURE,POSTURE_OR_BAR_LOSS,FAILED_REVERSAL,278,279,JOINT_KINEMATICS|TRUNK_KINEMATICS,INCOMPLETE_ATTEMPT,UNDETERMINED,NONE,281,635,-0.428800017,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5540.4,5540.4,4617.00049,4001.40015,18.468,true,1.178143,1.49410748,1.12900066,-1.22148919,-1.310829,-1.228222,0.0157692619,false,true,INSUFFICIENT_SIGNAL,InsufficientSignal,NA,NA,NA,NA,NA,NA,NA,NA,NA,true
