load_kg,profile,intervention,window,samples,window_end_tick,bar_mass_kg,contact_impulse_sign,contact_sign_votes,contact_radial_cosine_p50,bar_support_vertical_over_weight_p50,arm_contact_normal_vertical_over_weight_p50,joint_plus_friction_vertical_over_weight_p50,friction_bound_over_weight_p50,joint_vertical_share_p50,joint_share_low_p50,joint_share_high_p50,joint_share_low_p05,joint_share_high_p95,quasi_static_samples,drive_realized_stiffness_fraction_p50,engine_force_nonzero_ticks,engine_force_nonzero_at_linear_limit,attached_samples
140,p28-v1,production,v1,11,21,140,1,1165,-0.999886,1.36094,0.241111,1.16624,0.433387,0.841552,0.519941,1.14495,0.277044,1.20532,0,NA,0,0,187
140,p28-v1,production,pre_gross,38,48,140,1,1165,-0.999886,0.91299,0.0434127,0.975929,0.252944,0.949833,0.654405,1.20772,0.467863,1.33717,2,0.80635,0,0,187
140,p28-v1,production,attached,187,601,140,1,1165,-0.999886,0.945467,-0.00561267,0.964027,0.00722825,1.0048,1.00131,1.01387,0.467863,1.35812,15,1.00477,0,0,187
170,p28-v1,production,v1,0,1,170,1,1144,-0.999907,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,174
170,p28-v1,production,pre_gross,33,43,170,1,1144,-0.999907,0.884194,0.033231,0.914744,0.223204,0.959886,0.699221,1.20376,0.519046,1.33587,0,NA,0,0,174
170,p28-v1,production,attached,174,601,170,1,1144,-0.999907,0.878182,0,0.896404,0.00962415,1,1,1.02123,0.527708,1.36309,7,1.07658,0,0,174
25,p28-v1,production,v1,591,601,25,1,1232,-0.999932,1.00143,-0.02816,1.02545,0.129047,1.02815,0.899019,1.1573,0.635728,1.63169,553,0.797712,0,0,599
25,p28-v1,production,pre_gross,591,601,25,1,1232,-0.999932,1.00143,-0.02816,1.02545,0.129047,1.02815,0.899019,1.1573,0.635728,1.63169,553,0.797712,0,0,599
25,p28-v1,production,attached,599,601,25,1,1232,-0.999932,1.0015,-0.0281434,1.02517,0.129054,1.02814,0.899009,1.15732,-0.445523,1.6958,553,0.797712,0,0,599
300,p28-v1,production,v1,0,1,300,1,1460,-0.999869,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,62,62,130
300,p28-v1,production,pre_gross,23,33,300,1,1460,-0.999869,0.919526,0.0177268,0.847277,0.0947676,0.983359,0.891794,1.07638,0.481647,1.11012,1,4.26685,62,62,130
300,p28-v1,production,attached,130,601,300,1,1460,-0.999869,0.895996,0,0.884546,0.00607219,1,0.997892,1.00642,0.660435,1.10013,2,2.77305,62,62,130
60,p28-v1,production,v1,32,42,60,1,6167,-6.64767e-05,1.06821,-0.152836,1.22633,16.3409,1.14084,-14.0862,16.6488,-15.6298,19.5783,2,2.58529,0,0,186
60,p28-v1,production,pre_gross,77,87,60,1,6167,-6.64767e-05,1.03454,-0.257707,1.29975,15.6032,1.25189,-13.2989,16.4781,-16.3916,20.6172,3,1.72926,0,0,186
60,p28-v1,production,attached,186,601,60,1,6167,-6.64767e-05,1.00743,-0.134004,1.15363,15.2482,1.11668,-13.8077,16.561,-28.9483,39.0276,4,1.23594,0,0,186
