load_kg,profile,intervention,window,samples,window_end_tick,bar_mass_kg,contact_impulse_sign,contact_sign_votes,contact_radial_cosine_p50,bar_support_vertical_over_weight_p50,arm_contact_normal_vertical_over_weight_p50,joint_plus_friction_vertical_over_weight_p50,friction_bound_over_weight_p50,joint_vertical_share_p50,joint_share_low_p50,joint_share_high_p50,joint_share_low_p05,joint_share_high_p95,quasi_static_samples,drive_realized_stiffness_fraction_p50,engine_force_nonzero_ticks,engine_force_nonzero_at_linear_limit,attached_samples
25,p28-v1,production,v1,591,601,25,1,1232,-0.999932,1.00143,-0.02816,1.02545,0.129047,1.02815,0.899019,1.1573,0.635728,1.63169,553,0.797712,0,0,599
25,p28-v1,production,pre_gross,591,601,25,1,1232,-0.999932,1.00143,-0.02816,1.02545,0.129047,1.02815,0.899019,1.1573,0.635728,1.63169,553,0.797712,0,0,599
25,p28-v1,production,attached,599,601,25,1,1232,-0.999932,1.0015,-0.0281434,1.02517,0.129054,1.02814,0.899009,1.15732,-0.445523,1.6958,553,0.797712,0,0,599
300,p28-v1,production,v1,0,1,300,1,1460,-0.999869,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,62,62,130
300,p28-v1,production,pre_gross,23,33,300,1,1460,-0.999869,0.919526,0.0177268,0.847277,0.0947676,0.983359,0.891794,1.07638,0.481647,1.11012,1,4.26685,62,62,130
300,p28-v1,production,attached,130,601,300,1,1460,-0.999869,0.895996,0,0.884546,0.00607219,1,0.997892,1.00642,0.660435,1.10013,2,2.77305,62,62,130
60,p28-v1,production,v1,32,42,60,1,6167,-6.64767e-05,1.06821,-0.152836,1.22633,16.3409,1.14084,-14.0862,16.6488,-15.6298,19.5783,2,2.58529,0,0,186
60,p28-v1,production,pre_gross,77,87,60,1,6167,-6.64767e-05,1.03454,-0.257707,1.29975,15.6032,1.25189,-13.2989,16.4781,-16.3916,20.6172,3,1.72926,0,0,186
60,p28-v1,production,attached,186,601,60,1,6167,-6.64767e-05,1.00743,-0.134004,1.15363,15.2482,1.11668,-13.8077,16.561,-28.9483,39.0276,4,1.23594,0,0,186
25,p32-v1,production,v1,591,601,25,1,1224,-0.999857,1.00211,-0.0313403,1.02729,0.135694,1.03133,0.895546,1.16727,0.503264,1.4753,550,0.800258,0,0,599
25,p32-v1,production,pre_gross,591,601,25,1,1224,-0.999857,1.00211,-0.0313403,1.02729,0.135694,1.03133,0.895546,1.16727,0.503264,1.4753,550,0.800258,0,0,599
25,p32-v1,production,attached,599,601,25,1,1224,-0.999857,1.00235,-0.0313265,1.02714,0.135699,1.03133,0.895537,1.16728,0.201387,1.60384,550,0.800258,0,0,599
300,p32-v1,production,v1,0,1,300,1,1102,-0.999787,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,63,63,131
300,p32-v1,production,pre_gross,24,34,300,1,1102,-0.999787,0.909793,0.023706,0.843598,0.129689,0.976846,0.847759,1.08934,0.461696,1.12409,1,4.12201,63,63,131
300,p32-v1,production,attached,131,601,300,1,1102,-0.999787,0.890479,0,0.866446,0.00374958,1,1,1.00262,0.705164,1.11795,2,2.70119,63,63,131
60,p32-v1,production,v1,30,40,60,1,6574,-0.00947013,1.08499,-0.178365,1.23806,18.427,1.16706,-15.4594,18.7651,-18.2981,22.0362,1,3.10726,0,0,160
60,p32-v1,production,pre_gross,73,83,60,1,6574,-0.00947013,1.03862,-0.333773,1.34026,17.3273,1.33178,-15.0997,18.5555,-18.0291,24.5817,1,3.10726,0,0,160
60,p32-v1,production,attached,160,601,60,1,6574,-0.00947013,0.998015,-0.184089,1.18369,17.1087,1.18572,-15.4928,19.2509,-31.0579,32.5575,1,3.10726,0,0,160
25,p40-v1,production,v1,591,601,25,1,1210,-0.999933,1.00271,-0.0277861,1.02238,0.138228,1.02772,0.890441,1.16563,-0.800445,1.72691,533,0.78614,0,0,599
25,p40-v1,production,pre_gross,591,601,25,1,1210,-0.999933,1.00271,-0.0277861,1.02238,0.138228,1.02772,0.890441,1.16563,-0.800445,1.72691,533,0.78614,0,0,599
25,p40-v1,production,attached,599,601,25,1,1210,-0.999933,1.00271,-0.0277782,1.02235,0.138232,1.02771,0.890425,1.16567,-1.30785,1.75225,533,0.78614,0,0,599
300,p40-v1,production,v1,0,1,300,1,1094,-0.999747,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,62,62,132
300,p40-v1,production,pre_gross,24,34,300,1,1094,-0.999747,0.93346,0.0367708,0.842849,0.16893,0.963777,0.79804,1.12791,0.481808,1.31711,1,3.90543,62,62,132
300,p40-v1,production,attached,132,601,300,1,1094,-0.999747,0.862385,0,0.849581,0,1,1,1,0.611026,1.30632,1,3.90543,62,62,132
60,p40-v1,production,v1,28,38,60,1,5909,-0.00907782,1.07504,-0.131689,1.18709,22.868,1.13006,-19.6656,22.0101,-23.7261,28.7307,0,NA,0,0,144
60,p40-v1,production,pre_gross,61,71,60,1,5909,-0.00907782,1.04161,-0.258052,1.31328,22.1102,1.27432,-19.567,23.2659,-26.8363,31.605,0,NA,0,0,144
60,p40-v1,production,attached,144,601,60,1,5909,-0.00907782,0.977051,-0.533573,1.45734,21.6949,1.55962,-20.1218,24.6923,-29.5317,37.5347,0,NA,0,0,144
